date,예금금리높은은행
2022-05-30,0.42372
2022-05-31,0.29335
2022-06-01,0.16297
2022-06-02,0.5867
2022-06-03,0.45632
2022-06-04,0.22816
2022-06-07,0.22816
2022-06-08,0.29335
2022-06-13,0.52151
2022-06-14,0.19556
2022-06-16,0.16297
2022-06-17,0.5541
2022-06-18,0.35853
2022-06-19,0.39113
2022-06-20,0.42372
2022-06-21,0.5867
2022-06-22,0.42372
2022-06-23,0.35853
2022-06-24,0.81486
2022-06-25,0.16297
2022-06-26,0.19556
2022-06-27,0.29335
2022-06-28,0.68448
2022-06-29,0.84745
2022-06-30,0.45632
2022-07-01,0.81486
2022-07-02,0.29335
2022-07-03,0.32594
2022-07-04,0.74967
2022-07-05,0.61929
2022-07-06,0.78226
2022-07-07,0.71707
2022-07-08,0.35853
2022-07-09,0.39113
2022-07-10,0.81486
2022-07-11,0.45632
2022-07-12,0.61929
2022-07-13,1.27118
2022-07-14,1.40156
2022-07-15,1.1734
2022-07-16,0.39113
2022-07-17,0.65189
2022-07-18,1.07561
2022-07-19,3.03129
2022-07-20,2.44458
2022-07-21,2.15123
2022-07-22,1.69491
2022-07-23,1.1408
2022-07-24,1.27118
2022-07-25,2.44458
2022-07-26,2.41199
2022-07-27,2.50977
2022-07-28,2.64015
2022-07-29,1.66232
2022-07-30,1.30378
2022-07-31,1.27118
2022-08-01,1.85788
2022-08-02,2.50977
2022-08-03,2.3468
2022-08-04,1.7601
2022-08-05,1.85788
2022-08-06,1.07561
2022-08-07,0.91264
2022-08-08,1.79269
2022-08-09,1.33637
2022-08-10,1.85788
2022-08-11,1.30378
2022-08-12,1.20599
2022-08-13,0.48891
2022-08-14,0.81486
2022-08-15,0.91264
2022-08-16,1.69491
2022-08-17,1.79269
2022-08-18,1.69491
2022-08-19,1.40156
2022-08-20,0.71707
2022-08-21,0.5867
2022-08-22,2.50977
2022-08-23,2.60756
2022-08-24,1.43415
2022-08-25,3.03129
2022-08-26,2.21642
2022-08-27,1.43415
2022-08-28,1.66232
2022-08-29,2.24902
2022-08-30,1.46675
2022-08-31,2.15123
2022-09-01,2.02086
2022-09-02,1.62972
2022-09-03,0.88005
2022-09-04,0.78226
2022-09-05,2.3794
2022-09-06,1.89048
2022-09-07,1.7601
2022-09-08,1.7275
2022-09-09,0.42372
2022-09-10,0.32594
2022-09-11,0.94524
2022-09-12,1.23859
2022-09-13,2.70534
2022-09-14,2.11864
2022-09-15,2.05345
2022-09-16,0.81486
2022-09-17,0.35853
2022-09-18,0.81486
2022-09-19,0.52151
2022-09-20,2.11864
2022-09-21,2.47718
2022-09-22,2.3794
2022-09-23,1.46675
2022-09-24,0.91264
2022-09-25,0.91264
2022-09-26,2.54237
2022-09-27,1.36897
2022-09-28,1.01043
2022-09-29,2.3794
2022-09-30,9.74576
2022-10-01,10.49543
2022-10-02,11.76662
2022-10-03,19.52411
2022-10-04,32.07301
2022-10-05,35.56062
2022-10-06,46.08865
2022-10-07,42.43807
2022-10-08,18.90482
2022-10-09,17.8292
2022-10-10,25.06518
2022-10-11,41.68839
2022-10-12,69.45893
2022-10-13,100.0
2022-10-14,89.63494
2022-10-15,38.6897
2022-10-16,40.80834
2022-10-17,86.24511
2022-10-18,92.63363
2022-10-19,93.97001
2022-10-20,97.22946
2022-10-21,77.24902
2022-10-22,38.16818
2022-10-23,44.06779
2022-10-24,93.74185
2022-10-25,89.96088
2022-10-26,83.80052
2022-10-27,80.80182
2022-10-28,70.89308
2022-10-29,32.98565
2022-10-30,31.22555
2022-10-31,75.48891
2022-11-01,77.47718
2022-11-02,67.86179
2022-11-03,70.69752
2022-11-04,59.55019
2022-11-05,29.85658
2022-11-06,30.86701
2022-11-07,70.2086
2022-11-08,63.72229
2022-11-09,61.17992
2022-11-10,55.47588
2022-11-11,46.61016
2022-11-12,22.78357
2022-11-13,27.80312
2022-11-14,71.61016
2022-11-15,64.40677
2022-11-16,55.67144
2022-11-17,46.08865
2022-11-18,44.6219
2022-11-19,22.19687
2022-11-20,23.33767
2022-11-21,57.33376
2022-11-22,50.26075
2022-11-23,49.18513
2022-11-24,63.20078
2022-11-25,53.61799
2022-11-26,26.92307
2022-11-27,28.94393
2022-11-28,63.10299
2022-11-29,55.83441
2022-11-30,52.77053
2022-12-01,48.66362
2022-12-02,39.96088
2022-12-03,17.11212
2022-12-04,17.27509
2022-12-05,39.47196
2022-12-06,39.34159
2022-12-07,38.55932
2022-12-08,39.70013
2022-12-09,33.34419
2022-12-10,15.18904
2022-12-11,18.31812
2022-12-12,33.86571
2022-12-13,31.06258
2022-12-14,27.83572
2022-12-15,31.77966
2022-12-16,27.67275
2022-12-17,12.94002
2022-12-18,17.95958
2022-12-19,29.66101
2022-12-20,27.77053
2022-12-21,26.7275
2022-12-22,24.57627
2022-12-23,22.78357
2022-12-24,12.4511
2022-12-25,13.62451
2022-12-26,28.22685
2022-12-27,28.29204
2022-12-28,28.09647
2022-12-29,26.62972
2022-12-30,24.51108
2022-12-31,10.72359
2023-01-01,14.70013
2023-01-02,33.80052
2023-01-03,29.66101
2023-01-04,29.62842
2023-01-05,29.53063
2023-01-06,27.05345
2023-01-07,14.11342
2023-01-08,16.6558
2023-01-09,29.95436
2023-01-10,29.46544
2023-01-11,31.25814
2023-01-12,28.45501
2023-01-13,32.52933
2023-01-14,16.49282
2023-01-15,16.42764
2023-01-16,34.09387
2023-01-17,32.33376
2023-01-18,27.3794
2023-01-19,25.5867
2023-01-20,24.25032
2023-01-21,9.58279
2023-01-22,10.26727
2023-01-23,11.99478
2023-01-24,18.64406
2023-01-25,37.32073
2023-01-26,31.45371
2023-01-27,27.44458
2023-01-28,12.80964
2023-01-29,13.55932
2023-01-30,29.17209
2023-01-31,26.07561
2023-02-01,23.37027
2023-02-02,26.66232
2023-02-03,21.51238
2023-02-04,11.73402
2023-02-05,11.99478
2023-02-06,25.84745
2023-02-07,22.91395
2023-02-08,22.19687
2023-02-09,20.07822
2023-02-10,20.17601
2023-02-11,11.04954
2023-02-12,10.75619
2023-02-13,23.30508
2023-02-14,20.66492
