date,이차전지관련주
2020-03-20,4.39432
2020-03-21,3.16935
2020-03-22,2.41104
2020-03-23,3.4999
2020-03-24,4.35543
2020-03-25,6.14427
2020-03-26,4.37487
2020-03-27,4.89986
2020-03-28,4.23877
2020-03-29,3.22768
2020-03-30,4.06377
2020-03-31,3.67489
2020-04-01,4.70542
2020-04-02,3.65545
2020-04-03,3.57767
2020-04-04,2.48881
2020-04-05,1.55551
2020-04-06,3.811
2020-04-07,4.33599
2020-04-08,9.43029
2020-04-09,8.08866
2020-04-10,7.40812
2020-04-11,10.16916
2020-04-12,9.93583
2020-04-13,7.60256
2020-04-14,8.73031
2020-04-15,7.85533
2020-04-16,11.60801
2020-04-17,13.31907
2020-04-18,8.88586
2020-04-19,8.39976
2020-04-20,7.71923
2020-04-21,5.34707
2020-04-22,5.7165
2020-04-23,5.13319
2020-04-24,3.811
2020-04-25,3.16935
2020-04-26,3.16935
2020-04-27,3.77211
2020-04-28,4.7832
2020-04-29,3.986
2020-04-30,3.77211
2020-05-01,3.3249
2020-05-02,1.63328
2020-05-03,1.65273
2020-05-04,2.89714
2020-05-05,2.08049
2020-05-06,3.07213
2020-05-07,3.53879
2020-05-08,3.09158
2020-05-09,2.41104
2020-05-10,1.69161
2020-05-11,2.48881
2020-05-12,2.11938
2020-05-13,11.41357
2020-05-14,9.89694
2020-05-15,7.1748
2020-05-16,4.53042
2020-05-17,2.62492
2020-05-18,7.01924
2020-05-19,7.77756
2020-05-20,8.08866
2020-05-21,8.45809
2020-05-22,5.34707
2020-05-23,4.23877
2020-05-24,6.92202
2020-05-25,13.08574
2020-05-26,19.36612
2020-05-27,13.51351
2020-05-28,9.11919
2020-05-29,5.79428
2020-05-30,4.37487
2020-05-31,3.86933
2020-06-01,5.93039
2020-06-02,7.07758
2020-06-03,6.90258
2020-06-04,8.53587
2020-06-05,7.73867
2020-06-06,5.26929
2020-06-07,6.63037
2020-06-08,7.13591
2020-06-09,6.18316
2020-06-10,7.54423
2020-06-11,8.61364
2020-06-12,4.80264
2020-06-13,2.66381
2020-06-14,4.25821
2020-06-15,5.26929
2020-06-16,4.72486
2020-06-17,7.85533
2020-06-18,5.21096
2020-06-19,6.78592
2020-06-20,5.15263
2020-06-21,5.44429
2020-06-22,8.22477
2020-06-23,6.88314
2020-06-24,7.89422
2020-06-25,6.49426
2020-06-26,5.21096
2020-06-27,3.69434
2020-06-28,4.35543
2020-06-29,4.51098
2020-06-30,5.05541
2020-07-01,5.46373
2020-07-02,5.26929
2020-07-03,6.41648
2020-07-04,5.4054
2020-07-05,4.45265
2020-07-06,9.25529
2020-07-07,9.15807
2020-07-08,8.39976
2020-07-09,9.50806
2020-07-10,6.78592
2020-07-11,4.10266
2020-07-12,3.61656
2020-07-13,6.98036
2020-07-14,5.24985
2020-07-15,5.42484
2020-07-16,6.35815
2020-07-17,6.72759
2020-07-18,3.20824
2020-07-19,4.2971
2020-07-20,5.30818
2020-07-21,6.16371
2020-07-22,5.0943
2020-07-23,6.59148
2020-07-24,3.94711
2020-07-25,1.7305
2020-07-26,3.44157
2020-07-27,4.33599
2020-07-28,5.44429
2020-07-29,5.23041
2020-07-30,4.89986
2020-07-31,7.4859
2020-08-01,5.94983
2020-08-02,7.1748
2020-08-03,16.97452
2020-08-04,12.98852
2020-08-05,16.04122
2020-08-06,17.79117
2020-08-07,26.15205
2020-08-08,20.97997
2020-08-09,20.33832
2020-08-10,24.34376
2020-08-11,20.16332
2020-08-12,13.74684
2020-08-13,13.08574
2020-08-14,9.76083
2020-08-15,7.4859
2020-08-16,5.59984
2020-08-17,7.19424
2020-08-18,6.61092
2020-08-19,7.13591
2020-08-20,7.33035
2020-08-21,7.62201
2020-08-22,4.1221
2020-08-23,4.45265
2020-08-24,5.87205
2020-08-25,6.84425
2020-08-26,8.22477
2020-08-27,8.26365
2020-08-28,6.10538
2020-08-29,3.55823
2020-08-30,4.27765
2020-08-31,5.52206
2020-09-01,5.0943
2020-09-02,6.47482
2020-09-03,6.59148
2020-09-04,6.04705
2020-09-05,3.16935
2020-09-06,3.0138
2020-09-07,5.24985
2020-09-08,4.53042
2020-09-09,4.31654
2020-09-10,5.42484
2020-09-11,4.37487
2020-09-12,2.99436
2020-09-13,3.44157
2020-09-14,6.96091
2020-09-15,6.74703
2020-09-16,6.3776
2020-09-17,5.50262
2020-09-18,5.67762
2020-09-19,5.44429
2020-09-20,5.52206
2020-09-21,8.04977
2020-09-22,7.54423
2020-09-23,9.13863
2020-09-24,5.0943
2020-09-25,3.51934
2020-09-26,2.97491
2020-09-27,3.44157
2020-09-28,4.53042
2020-09-29,3.75267
2020-09-30,2.54715
2020-10-01,2.7027
2020-10-02,1.88605
2020-10-03,2.7027
2020-10-04,2.56659
2020-10-05,4.53042
2020-10-06,4.19988
2020-10-07,3.4999
2020-10-08,3.05269
2020-10-09,1.92494
2020-10-10,1.80828
2020-10-11,2.06105
2020-10-12,2.60548
2020-10-13,2.43048
2020-10-14,2.27493
2020-10-15,2.76103
2020-10-16,2.00272
2020-10-17,1.2444
2020-10-18,1.2444
2020-10-19,2.66381
2020-10-20,1.84717
2020-10-21,2.87769
2020-10-22,2.3916
2020-10-23,2.37215
2020-10-24,1.88605
2020-10-25,1.43884
2020-10-26,2.89714
2020-10-27,1.96383
2020-10-28,2.15827
2020-10-29,2.37215
2020-10-30,4.33599
2020-10-31,2.5277
2020-11-01,2.11938
2020-11-02,2.58603
2020-11-03,5.19152
2020-11-04,4.37487
2020-11-05,6.55259
2020-11-06,6.59148
2020-11-07,5.0943
2020-11-08,4.04433
2020-11-09,10.46082
2020-11-10,7.27202
2020-11-11,4.70542
2020-11-12,4.1221
2020-11-13,3.94711
2020-11-14,2.85825
2020-11-15,3.48045
2020-11-16,5.30818
2020-11-17,5.24985
2020-11-18,6.35815
2020-11-19,6.12482
2020-11-20,4.58876
2020-11-21,3.22768
2020-11-22,3.1888
2020-11-23,4.84153
2020-11-24,6.5137
2020-11-25,8.98308
2020-11-26,6.66925
2020-11-27,9.19696
2020-11-28,5.21096
2020-11-29,6.04705
2020-11-30,5.96927
2020-12-01,6.63037
2020-12-02,7.66089
2020-12-03,10.83025
2020-12-04,8.36087
2020-12-05,5.21096
2020-12-06,6.88314
2020-12-07,10.38304
2020-12-08,7.77756
2020-12-09,9.79972
2020-12-10,10.07194
2020-12-11,8.43865
2020-12-12,4.41376
2020-12-13,3.88878
2020-12-14,5.11374
2020-12-15,4.99708
2020-12-16,12.0941
2020-12-17,15.65234
2020-12-18,13.29963
2020-12-19,8.16643
2020-12-20,8.01088
2020-12-21,10.75247
2020-12-22,9.99416
2020-12-23,12.52187
2020-12-24,9.15807
2020-12-25,6.3776
2020-12-26,6.70814
2020-12-27,10.73303
2020-12-28,9.04141
2020-12-29,10.26638
2020-12-30,12.46354
2020-12-31,9.78028
2021-01-01,14.38848
2021-01-02,11.66634
2021-01-03,21.58273
