date,전자단기사채
2020-12-01,8.71794
2020-12-02,8.20512
2020-12-03,15.89743
2020-12-04,10.76923
2020-12-05,2.5641
2020-12-07,13.84615
2020-12-08,12.82051
2020-12-09,9.74358
2020-12-10,7.6923
2020-12-11,12.30769
2020-12-14,4.10256
2020-12-15,21.02564
2020-12-16,8.71794
2020-12-17,16.41025
2020-12-18,10.25641
2020-12-19,5.1282
2020-12-21,6.66666
2020-12-22,9.23076
2020-12-23,10.25641
2020-12-24,9.74358
2020-12-25,3.58974
2020-12-27,2.5641
2020-12-28,10.25641
2020-12-29,11.28205
2020-12-30,10.76923
2020-12-31,2.5641
2021-01-01,2.5641
2021-01-04,3.58974
2021-01-05,11.28205
2021-01-06,12.82051
2021-01-07,10.25641
2021-01-08,10.76923
2021-01-11,13.33333
2021-01-12,13.84615
2021-01-13,16.41025
2021-01-14,17.43589
2021-01-15,18.46153
2021-01-16,3.58974
2021-01-18,13.33333
2021-01-19,14.35897
2021-01-20,16.41025
2021-01-21,19.48717
2021-01-22,11.79487
2021-01-23,4.10256
2021-01-25,12.82051
2021-01-26,13.84615
2021-01-27,13.33333
2021-01-28,17.43589
2021-01-29,13.33333
2021-01-30,2.5641
2021-01-31,2.5641
2021-02-01,17.43589
2021-02-02,15.89743
2021-02-03,12.82051
2021-02-04,18.97435
2021-02-05,12.30769
2021-02-06,4.10256
2021-02-07,4.10256
2021-02-08,16.92307
2021-02-09,13.33333
2021-02-10,8.20512
2021-02-13,4.10256
2021-02-14,3.58974
2021-02-15,8.71794
2021-02-16,18.46153
2021-02-17,24.10256
2021-02-18,21.53846
2021-02-19,9.23076
2021-02-21,7.17948
2021-02-22,10.76923
2021-02-23,12.30769
2021-02-24,16.92307
2021-02-25,17.43589
2021-02-26,10.76923
2021-03-02,8.20512
2021-03-03,11.28205
2021-03-04,15.89743
2021-03-05,14.87179
2021-03-06,2.5641
2021-03-07,8.20512
2021-03-08,11.28205
2021-03-09,14.35897
2021-03-10,17.43589
2021-03-11,26.15384
2021-03-12,17.94871
2021-03-13,5.1282
2021-03-14,2.5641
2021-03-15,14.87179
2021-03-16,12.30769
2021-03-17,14.87179
2021-03-18,26.66666
2021-03-19,11.79487
2021-03-22,7.6923
2021-03-23,12.82051
2021-03-24,19.48717
2021-03-25,19.48717
2021-03-26,11.28205
2021-03-27,3.07692
2021-03-29,15.89743
2021-03-30,10.76923
2021-03-31,13.84615
2021-04-01,15.38461
2021-04-02,17.43589
2021-04-03,2.5641
2021-04-04,4.10256
2021-04-05,7.6923
2021-04-06,15.89743
2021-04-07,11.79487
2021-04-08,16.41025
2021-04-09,14.35897
2021-04-12,10.76923
2021-04-13,17.43589
2021-04-14,14.87179
2021-04-15,8.71794
2021-04-16,14.87179
2021-04-19,13.84615
2021-04-20,13.33333
2021-04-21,14.35897
2021-04-22,11.79487
2021-04-23,11.79487
2021-04-24,3.07692
2021-04-25,2.5641
2021-04-26,23.07692
2021-04-27,11.79487
2021-04-28,16.92307
2021-04-29,21.02564
2021-04-30,7.17948
2021-05-01,5.64102
2021-05-03,11.28205
2021-05-04,12.82051
2021-05-05,2.5641
2021-05-06,9.23076
2021-05-07,8.71794
2021-05-10,8.20512
2021-05-11,14.35897
2021-05-12,14.35897
2021-05-13,14.35897
2021-05-14,12.30769
2021-05-15,2.5641
2021-05-17,10.76923
2021-05-18,9.74358
2021-05-20,2.5641
2021-05-21,8.20512
2021-05-22,6.66666
2021-05-24,11.28205
2021-05-25,11.79487
2021-05-26,17.94871
2021-05-27,17.94871
2021-05-28,12.30769
2021-05-31,5.1282
2021-06-01,12.30769
2021-06-02,14.35897
2021-06-03,16.92307
2021-06-04,7.17948
2021-06-07,10.25641
2021-06-08,13.33333
2021-06-09,9.74358
2021-06-10,22.05128
2021-06-11,10.76923
2021-06-13,2.5641
2021-06-14,10.76923
2021-06-15,11.28205
2021-06-16,16.41025
2021-06-17,14.87179
2021-06-18,16.41025
2021-06-20,2.5641
2021-06-21,12.82051
2021-06-22,12.82051
2021-06-23,11.79487
2021-06-24,11.28205
2021-06-25,10.25641
2021-06-28,10.25641
2021-06-29,16.92307
2021-06-30,11.79487
2021-07-01,9.23076
2021-07-02,9.23076
2021-07-05,11.79487
2021-07-06,17.94871
2021-07-07,10.76923
2021-07-08,4.61538
2021-07-09,4.10256
2021-07-10,3.07692
2021-07-12,11.79487
2021-07-13,7.6923
2021-07-14,14.35897
2021-07-15,13.33333
2021-07-16,14.87179
2021-07-17,3.07692
2021-07-19,14.35897
2021-07-20,14.35897
2021-07-21,15.89743
2021-07-22,12.82051
2021-07-23,12.82051
2021-07-26,10.76923
2021-07-27,15.89743
2021-07-28,13.84615
2021-07-30,10.76923
2021-08-02,11.79487
2021-08-03,11.79487
2021-08-04,9.74358
2021-08-05,15.89743
2021-08-06,2.5641
2021-08-09,9.23076
2021-08-10,7.6923
2021-08-11,13.33333
2021-08-12,10.25641
2021-08-13,7.6923
2021-08-14,4.10256
2021-08-15,3.07692
2021-08-17,14.35897
2021-08-18,15.89743
2021-08-19,8.20512
2021-08-20,7.17948
2021-08-23,8.71794
2021-08-24,14.87179
2021-08-25,11.79487
2021-08-26,17.43589
2021-08-27,9.74358
2021-08-29,3.07692
2021-08-30,7.6923
2021-08-31,15.38461
2021-09-01,5.1282
2021-09-02,9.74358
2021-09-03,10.76923
2021-09-06,8.71794
2021-09-07,10.76923
2021-09-08,11.79487
2021-09-09,6.66666
2021-09-10,8.71794
2021-09-13,11.28205
2021-09-14,7.17948
2021-09-15,13.33333
