date,ESG
2020-03-20,0.09153
2020-03-21,0.03606
2020-03-22,0.02718
2020-03-23,0.10041
2020-03-24,0.11095
2020-03-25,0.11206
2020-03-26,0.12482
2020-03-27,0.11483
2020-03-28,0.04549
2020-03-29,0.04271
2020-03-30,0.11983
2020-03-31,0.13092
2020-04-01,0.12649
2020-04-02,0.11262
2020-04-03,0.10318
2020-04-04,0.03328
2020-04-05,0.04993
2020-04-06,0.12815
2020-04-07,0.12926
2020-04-08,0.11761
2020-04-09,0.14146
2020-04-10,0.13259
2020-04-11,0.03217
2020-04-12,0.05325
2020-04-13,0.13425
2020-04-14,0.13425
2020-04-15,0.03938
2020-04-16,0.1459
2020-04-17,0.10818
2020-04-18,0.04438
2020-04-19,0.03495
2020-04-20,0.14535
2020-04-21,0.13092
2020-04-22,0.17087
2020-04-23,0.10097
2020-04-24,0.11206
2020-04-25,0.03827
2020-04-26,0.03439
2020-04-27,0.11983
2020-04-28,0.12926
2020-04-29,0.10429
2020-04-30,0.03606
2020-05-01,0.03328
2020-05-02,0.0294
2020-05-03,0.03883
2020-05-04,0.09042
2020-05-05,0.07212
2020-05-06,0.14923
2020-05-07,0.12038
2020-05-08,0.12704
2020-05-09,0.05492
2020-05-10,0.05769
2020-05-11,0.11705
2020-05-12,0.1459
2020-05-13,0.14257
2020-05-14,0.14701
2020-05-15,0.12316
2020-05-16,0.04549
2020-05-17,0.04993
2020-05-18,0.11095
2020-05-19,0.15367
2020-05-20,0.12981
2020-05-21,0.15755
2020-05-22,0.16366
2020-05-23,0.04493
2020-05-24,0.05159
2020-05-25,0.12926
2020-05-26,0.15922
2020-05-27,0.17031
2020-05-28,0.13092
2020-05-29,0.12038
2020-05-30,0.03827
2020-05-31,0.0355
2020-06-01,0.12205
2020-06-02,0.1509
2020-06-03,0.1631
2020-06-04,0.14923
2020-06-05,0.15644
2020-06-06,0.03439
2020-06-07,0.0527
2020-06-08,8.75889
2020-06-09,1.44243
2020-06-10,0.52926
2020-06-11,0.26019
2020-06-12,0.20748
2020-06-13,0.11483
2020-06-14,0.08266
2020-06-15,0.30013
2020-06-16,0.2097
2020-06-17,0.15922
2020-06-18,0.16754
2020-06-19,0.22246
2020-06-20,0.06324
2020-06-21,0.07877
2020-06-22,0.17753
2020-06-23,0.1975
2020-06-24,0.27184
2020-06-25,0.17309
2020-06-26,0.15422
2020-06-27,0.05381
2020-06-28,0.0649
2020-06-29,0.15256
2020-06-30,0.18141
2020-07-01,0.18363
2020-07-02,0.19361
2020-07-03,0.14812
2020-07-04,0.04882
2020-07-05,0.03827
2020-07-06,0.15589
2020-07-07,0.15478
2020-07-08,0.15256
2020-07-09,0.14923
2020-07-10,0.14146
2020-07-11,0.03661
2020-07-12,0.0588
2020-07-13,0.233
2020-07-14,0.24465
2020-07-15,0.20859
2020-07-16,0.18141
2020-07-17,0.18363
2020-07-18,0.06047
2020-07-19,0.07156
2020-07-20,0.21414
2020-07-21,0.18196
2020-07-22,0.17087
2020-07-23,0.18696
2020-07-24,0.14701
2020-07-25,0.0416
2020-07-26,0.05658
2020-07-27,0.18529
2020-07-28,0.67295
2020-07-29,0.36726
2020-07-30,0.19639
2020-07-31,0.15145
2020-08-01,0.04271
2020-08-02,0.04771
2020-08-03,0.16532
2020-08-04,0.16754
2020-08-05,0.16366
2020-08-06,0.22579
2020-08-07,0.17863
2020-08-08,0.07323
2020-08-09,0.06546
2020-08-10,0.21581
2020-08-11,0.21248
2020-08-12,0.22857
2020-08-13,0.19694
2020-08-14,0.18529
2020-08-15,0.10818
2020-08-16,0.09486
2020-08-17,0.0932
2020-08-18,0.19694
2020-08-19,0.19139
2020-08-20,0.19528
2020-08-21,0.17475
2020-08-22,0.04993
2020-08-23,0.06712
2020-08-24,0.22246
2020-08-25,0.18696
2020-08-26,0.21858
2020-08-27,0.1864
2020-08-28,0.18696
2020-08-29,0.06657
2020-08-30,0.07545
2020-08-31,0.20526
2020-09-01,0.22413
2020-09-02,0.25298
2020-09-03,0.31511
2020-09-04,0.24133
2020-09-05,0.07378
2020-09-06,0.11816
2020-09-07,0.29458
2020-09-08,0.25242
2020-09-09,0.28293
2020-09-10,0.31012
2020-09-11,0.22524
2020-09-12,0.10374
2020-09-13,0.10707
2020-09-14,0.30901
2020-09-15,0.29347
2020-09-16,0.33397
2020-09-17,0.34341
2020-09-18,0.28293
2020-09-19,0.11483
2020-09-20,0.12482
2020-09-21,0.43162
2020-09-22,0.51095
2020-09-23,0.36726
2020-09-24,0.29347
2020-09-25,0.22801
2020-09-26,0.07988
2020-09-27,0.10707
2020-09-28,0.238
2020-09-29,0.24632
2020-09-30,0.12038
2020-10-01,0.06601
2020-10-02,0.08432
2020-10-03,0.09875
2020-10-04,0.12316
2020-10-05,0.33897
2020-10-06,0.33342
2020-10-07,0.31123
2020-10-08,0.3079
2020-10-09,0.11761
2020-10-10,0.09209
2020-10-11,0.11373
2020-10-12,0.4699
2020-10-13,1.0219
2020-10-14,1.39638
2020-10-15,1.11178
2020-10-16,0.80887
2020-10-17,0.29458
2020-10-18,0.24465
2020-10-19,0.74729
2020-10-20,0.68071
2020-10-21,0.71511
2020-10-22,0.83439
2020-10-23,0.60082
2020-10-24,0.21858
2020-10-25,0.19972
2020-10-26,0.82385
2020-10-27,0.71899
2020-10-28,1.18834
2020-10-29,1.3004
2020-10-30,0.63023
2020-10-31,0.27739
2020-11-01,0.55367
2020-11-02,1.19111
2020-11-03,1.68653
2020-11-04,0.83605
2020-11-05,0.82551
2020-11-06,0.55422
2020-11-07,0.25852
2020-11-08,0.89652
2020-11-09,1.08848
2020-11-10,1.53452
2020-11-11,0.93869
2020-11-12,0.78723
2020-11-13,0.89597
2020-11-14,0.66684
2020-11-15,0.46768
2020-11-16,1.00859
2020-11-17,0.85269
2020-11-18,1.06573
2020-11-19,1.39916
2020-11-20,0.7606
2020-11-21,0.48155
2020-11-22,0.42107
2020-11-23,0.71733
2020-11-24,0.83605
2020-11-25,0.69625
2020-11-26,0.88709
2020-11-27,0.97197
2020-11-28,0.40665
2020-11-29,0.43494
2020-11-30,0.91428
2020-12-01,1.21164
2020-12-02,100.0
2020-12-03,2.35782
2020-12-04,1.83188
2020-12-05,0.61136
2020-12-06,0.6968
2020-12-07,1.03411
2020-12-08,0.97586
2020-12-09,1.20276
2020-12-10,0.94146
2020-12-11,1.40359
2020-12-12,0.60138
2020-12-13,0.75949
2020-12-14,1.13175
2020-12-15,1.28043
2020-12-16,1.30984
2020-12-17,0.81663
2020-12-18,1.34035
2020-12-19,0.47933
2020-12-20,0.40942
2020-12-21,0.93203
2020-12-22,0.95311
2020-12-23,1.76642
2020-12-24,1.11733
2020-12-25,0.45103
2020-12-26,0.54867
2020-12-27,0.56365
2020-12-28,1.09513
2020-12-29,1.04409
2020-12-30,1.39694
2020-12-31,0.75949
2021-01-01,1.16337
2021-01-02,0.75616
2021-01-03,1.19777
2021-01-04,5.17833
2021-01-05,3.87293
2021-01-06,2.7323
2021-01-07,2.31288
2021-01-08,1.99166
2021-01-09,1.31816
2021-01-10,1.4735
2021-01-11,2.36503
2021-01-12,3.91454
2021-01-13,2.76836
2021-01-14,3.42189
2021-01-15,2.90261
2021-01-16,1.20332
2021-01-17,1.62662
2021-01-18,2.37391
2021-01-19,2.942
2021-01-20,2.97196
2021-01-21,2.38944
2021-01-22,2.58528
2021-01-23,1.58168
2021-01-24,1.28432
2021-01-25,2.35227
2021-01-26,2.53479
2021-01-27,2.4083
2021-01-28,2.15699
2021-01-29,1.68598
2021-01-30,0.69958
2021-01-31,1.58667
2021-02-01,2.30456
2021-02-02,2.56974
2021-02-03,2.82605
2021-02-04,2.06711
2021-02-05,1.64603
2021-02-06,0.54146
2021-02-07,2.01163
2021-02-08,2.27127
2021-02-09,2.33674
2021-02-10,1.61108
2021-02-11,0.56532
2021-02-12,1.10179
2021-02-13,0.71067
2021-02-14,0.88099
2021-02-15,2.83216
2021-02-16,3.06461
2021-02-17,2.43438
2021-02-18,2.82328
2021-02-19,3.14616
2021-02-20,1.114
2021-02-21,1.35588
2021-02-22,2.4893
2021-02-23,2.39388
2021-02-24,1.9495
2021-02-25,2.12037
2021-02-26,1.34368
2021-02-27,0.633
2021-02-28,0.64299
2021-03-01,0.72343
2021-03-02,1.84243
2021-03-03,1.82523
2021-03-04,2.14201
2021-03-05,1.65269
2021-03-06,0.64576
2021-03-07,1.01747
2021-03-08,2.09818
2021-03-09,2.08154
2021-03-10,2.09763
2021-03-11,1.92453
2021-03-12,1.909
2021-03-13,0.88376
2021-03-14,1.03023
2021-03-15,2.31344
2021-03-16,2.08986
2021-03-17,2.14256
2021-03-18,2.02772
2021-03-19,1.97058
2021-03-20,1.15006
2021-03-21,1.34756
2021-03-22,2.37391
2021-03-23,2.61801
2021-03-24,2.81163
2021-03-25,2.61857
2021-03-26,2.16975
2021-03-27,0.90595
2021-03-28,2.10428
2021-03-29,2.92203
2021-03-30,2.85601
2021-03-31,3.41468
2021-04-01,3.09679
2021-04-02,2.15199
2021-04-03,1.28099
2021-04-04,1.23272
2021-04-05,3.51953
2021-04-06,3.66211
2021-04-07,2.87543
2021-04-08,2.56142
2021-04-09,2.7445
2021-04-10,1.09458
2021-04-11,1.18168
2021-04-12,2.76281
2021-04-13,2.46045
2021-04-14,2.47432
2021-04-15,2.92259
2021-04-16,2.36226
2021-04-17,0.94201
2021-04-18,1.58945
2021-04-19,2.69346
2021-04-20,2.80331
2021-04-21,2.52425
2021-04-22,2.74339
2021-04-23,2.19527
2021-04-24,1.06407
2021-04-25,1.1434
2021-04-26,2.52536
2021-04-27,2.62744
2021-04-28,2.68625
2021-04-29,2.77612
2021-04-30,2.4022
2021-05-01,1.22218
2021-05-02,1.52509
2021-05-03,2.79443
2021-05-04,2.83327
2021-05-05,1.27544
2021-05-06,2.50151
2021-05-07,2.26794
2021-05-08,1.18834
2021-05-09,1.16337
2021-05-10,2.623
2021-05-11,2.69013
2021-05-12,2.79554
2021-05-13,2.94478
2021-05-14,2.2979
2021-05-15,1.04964
2021-05-16,5.18166
2021-05-17,3.79359
2021-05-18,3.18222
2021-05-19,1.63827
2021-05-20,3.02467
2021-05-21,2.46378
2021-05-22,1.16504
2021-05-23,1.55117
2021-05-24,2.87709
2021-05-25,2.82439
2021-05-26,3.27043
2021-05-27,3.39692
2021-05-28,3.21995
2021-05-29,1.90734
2021-05-30,1.80803
2021-05-31,3.73867
2021-06-01,3.03188
2021-06-02,2.91926
2021-06-03,2.94922
2021-06-04,2.6452
2021-06-05,1.3925
2021-06-06,1.53563
2021-06-07,3.11177
2021-06-08,3.16835
2021-06-09,3.00747
2021-06-10,2.90039
2021-06-11,2.66239
2021-06-12,1.17336
2021-06-13,1.4685
2021-06-14,2.91704
2021-06-15,2.90261
2021-06-16,2.85046
2021-06-17,2.46933
2021-06-18,2.13258
2021-06-19,1.04409
2021-06-20,1.21885
2021-06-21,2.47377
2021-06-22,2.50373
2021-06-23,2.75171
2021-06-24,2.87321
2021-06-25,2.26517
2021-06-26,1.12731
2021-06-27,2.17751
2021-06-28,2.81496
2021-06-29,2.33785
2021-06-30,2.50317
2021-07-01,2.56642
2021-07-02,2.36891
2021-07-03,0.91039
2021-07-04,0.98973
2021-07-05,2.41219
2021-07-06,2.42439
2021-07-07,2.75837
2021-07-08,2.67848
2021-07-09,2.17474
2021-07-10,0.86213
2021-07-11,1.00803
2021-07-12,2.40997
2021-07-13,2.47932
2021-07-14,2.74838
2021-07-15,2.56253
2021-07-16,2.22689
2021-07-17,0.89486
2021-07-18,1.30484
2021-07-19,2.69069
2021-07-20,2.81108
2021-07-21,2.44603
2021-07-22,2.23077
2021-07-23,1.909
2021-07-24,0.89819
2021-07-25,0.96476
2021-07-26,2.34728
2021-07-27,2.30234
2021-07-28,2.13868
2021-07-29,2.05158
2021-07-30,1.76587
2021-07-31,0.83993
2021-08-01,0.83106
2021-08-02,1.82967
2021-08-03,1.92675
2021-08-04,2.02772
2021-08-05,1.8918
