date,광교아파트
2020-03-20,17.46163
2020-03-21,20.57237
2020-03-22,23.30982
2020-03-23,22.06553
2020-03-24,21.27747
2020-03-25,18.16673
2020-03-26,20.19908
2020-03-27,17.29572
2020-03-28,23.30982
2020-03-29,27.45748
2020-03-30,22.35586
2020-03-31,19.90875
2020-04-01,19.12069
2020-04-02,19.61841
2020-04-03,18.95479
2020-04-04,23.68311
2020-04-05,27.20862
2020-04-06,24.72003
2020-04-07,20.32351
2020-04-08,20.86271
2020-04-09,18.66445
2020-04-10,19.03774
2020-04-11,22.72915
2020-04-12,26.95976
2020-04-13,25.96433
2020-04-14,23.68311
2020-04-15,24.84446
2020-04-16,25.8399
2020-04-17,21.73372
2020-04-18,26.95976
2020-04-19,29.40688
2020-04-20,25.54956
2020-04-21,25.13479
2020-04-22,21.73372
2020-04-23,22.35586
2020-04-24,21.85815
2020-04-25,25.8399
2020-04-26,29.57279
2020-04-27,24.13936
2020-04-28,23.51721
2020-04-29,23.60016
2020-04-30,25.34218
2020-05-01,27.78929
2020-05-02,26.79386
2020-05-03,28.53587
2020-05-04,24.47117
2020-05-05,24.84446
2020-05-06,24.88593
2020-05-07,21.65076
2020-05-08,17.75197
2020-05-09,20.15761
2020-05-10,21.89962
2020-05-11,22.14848
2020-05-12,19.95022
2020-05-13,22.27291
2020-05-14,21.9411
2020-05-15,17.95935
2020-05-16,22.14848
2020-05-17,28.20406
2020-05-18,25.67399
2020-05-19,22.6462
2020-05-20,23.01949
2020-05-21,21.73372
2020-05-22,22.43882
2020-05-23,27.91372
2020-05-24,28.74326
2020-05-25,23.10244
2020-05-26,21.89962
2020-05-27,21.02861
2020-05-28,20.36499
2020-05-29,20.19908
2020-05-30,29.28245
2020-05-31,30.44379
2020-06-01,24.92741
2020-06-02,23.1854
2020-06-03,25.25922
2020-06-04,30.31936
2020-06-05,27.66486
2020-06-06,34.6744
2020-06-07,33.51306
2020-06-08,33.47158
2020-06-09,31.52218
2020-06-10,28.36997
2020-06-11,28.24554
