date,무료경매사이트
2020-03-20,21.15384
2020-03-21,22.64957
2020-03-22,26.92307
2020-03-23,36.53846
2020-03-24,21.79487
2020-03-25,20.72649
2020-03-26,44.23076
2020-03-27,42.52136
2020-03-28,31.19658
2020-03-29,22.22222
2020-03-30,26.92307
2020-03-31,23.29059
2020-04-01,18.80341
2020-04-02,24.35897
2020-04-03,32.47863
2020-04-04,23.71794
2020-04-05,21.58119
2020-04-06,19.23076
2020-04-07,20.51282
2020-04-08,26.7094
2020-04-09,17.09401
2020-04-10,20.29914
2020-04-11,23.50427
2020-04-12,23.71794
2020-04-13,29.70085
2020-04-14,27.99145
2020-04-15,23.07692
2020-04-16,24.14529
2020-04-17,20.94017
2020-04-18,15.17094
2020-04-19,25.0
2020-04-20,26.49572
2020-04-21,26.92307
2020-04-22,28.4188
2020-04-23,25.64102
2020-04-24,23.71794
2020-04-25,24.14529
2020-04-26,27.35042
2020-04-27,25.64102
2020-04-28,25.8547
2020-04-29,25.8547
2020-04-30,25.64102
2020-05-01,26.28205
2020-05-02,20.94017
2020-05-03,26.7094
2020-05-04,24.78632
2020-05-05,22.00854
2020-05-06,26.06837
2020-05-07,28.20512
2020-05-08,29.48717
2020-05-09,28.4188
2020-05-10,29.2735
2020-05-11,34.61538
2020-05-12,27.77777
2020-05-13,23.29059
2020-05-14,24.78632
2020-05-15,22.43589
2020-05-16,22.00854
2020-05-17,19.01709
2020-05-18,24.35897
2020-05-19,25.64102
2020-05-20,26.49572
2020-05-21,22.43589
2020-05-22,24.57264
2020-05-23,12.39316
2020-05-24,19.87179
2020-05-25,21.15384
2020-05-26,21.36752
2020-05-27,23.07692
2020-05-28,27.35042
2020-05-29,19.44444
2020-05-30,19.44444
2020-05-31,10.47008
2020-06-01,20.29914
2020-06-02,27.99145
2020-06-03,27.35042
2020-06-04,20.51282
2020-06-05,18.16239
2020-06-06,18.80341
2020-06-07,21.58119
2020-06-08,20.94017
2020-06-09,22.86324
2020-06-10,23.71794
2020-06-11,19.01709
2020-06-12,21.58119
2020-06-13,17.52136
2020-06-14,18.58974
2020-06-15,24.14529
2020-06-16,23.07692
2020-06-17,17.30769
2020-06-18,21.36752
2020-06-19,17.73504
2020-06-20,18.37606
2020-06-21,14.95726
2020-06-22,19.01709
2020-06-23,17.94871
2020-06-24,16.88034
2020-06-25,21.15384
2020-06-26,14.95726
2020-06-27,15.17094
2020-06-28,18.37606
2020-06-29,24.35897
2020-06-30,17.73504
2020-07-01,19.87179
2020-07-02,19.44444
2020-07-03,20.51282
2020-07-04,13.24786
2020-07-05,16.88034
2020-07-06,21.58119
2020-07-07,23.93162
2020-07-08,25.21367
2020-07-09,24.57264
2020-07-10,18.80341
2020-07-11,13.67521
2020-07-12,24.78632
2020-07-13,21.15384
2020-07-14,23.29059
2020-07-15,20.72649
2020-07-16,18.80341
2020-07-17,22.00854
2020-07-18,15.59829
2020-07-19,14.95726
2020-07-20,29.48717
2020-07-21,27.77777
2020-07-22,31.62393
2020-07-23,25.21367
2020-07-24,29.2735
2020-07-25,19.01709
2020-07-26,21.15384
2020-07-27,25.8547
2020-07-28,19.01709
2020-07-29,27.13675
2020-07-30,18.58974
2020-07-31,18.58974
2020-08-01,14.10256
2020-08-02,14.95726
2020-08-03,19.87179
2020-08-04,14.95726
2020-08-05,20.94017
2020-08-06,22.86324
2020-08-07,21.15384
2020-08-08,14.52991
2020-08-09,14.74358
2020-08-10,26.92307
2020-08-11,17.09401
2020-08-12,22.00854
2020-08-13,19.65811
2020-08-14,18.80341
2020-08-15,16.45299
2020-08-16,19.01709
2020-08-17,20.94017
2020-08-18,22.64957
2020-08-19,20.08547
2020-08-20,19.01709
2020-08-21,23.71794
2020-08-22,17.09401
2020-08-23,16.23931
2020-08-24,25.0
2020-08-25,22.00854
2020-08-26,14.95726
2020-08-27,18.80341
2020-08-28,21.79487
2020-08-29,43.58974
2020-08-30,40.59829
2020-08-31,36.11111
2020-09-01,31.41025
2020-09-02,29.05982
2020-09-03,22.64957
2020-09-04,18.37606
2020-09-05,14.52991
2020-09-06,17.09401
2020-09-07,16.02564
2020-09-08,21.58119
2020-09-09,21.15384
2020-09-10,18.16239
2020-09-11,23.29059
2020-09-12,15.17094
2020-09-13,17.09401
2020-09-14,15.59829
2020-09-15,21.79487
2020-09-16,21.79487
2020-09-17,16.66666
2020-09-18,14.95726
2020-09-19,17.94871
2020-09-20,24.14529
2020-09-21,20.72649
