date,증시현황
2020-11-08,2.52492
2020-11-09,21.28706
2020-11-10,28.86184
2020-11-11,23.42354
2020-11-12,23.47533
2020-11-13,23.31995
2020-11-14,4.82972
2020-11-15,2.39544
2020-11-16,20.40657
2020-11-17,24.67952
2020-11-18,23.2811
2020-11-19,24.82196
2020-11-20,21.99922
2020-11-21,4.6355
2020-11-22,2.11057
2020-11-23,21.30001
2020-11-24,23.48828
2020-11-25,29.80706
2020-11-26,23.03508
2020-11-27,21.22232
2020-11-28,5.29586
2020-11-29,2.31775
2020-11-30,22.16755
2020-12-01,23.6825
2020-12-02,23.00919
2020-12-03,36.47546
2020-12-04,22.34882
2020-12-05,5.20523
2020-12-06,2.77094
2020-12-07,23.04803
2020-12-08,30.2732
2020-12-09,25.2363
2020-12-10,26.16858
2020-12-11,24.56299
2020-12-12,5.011
2020-12-13,3.01696
2020-12-14,23.85083
2020-12-15,27.04907
2020-12-16,23.29405
2020-12-17,24.26518
2020-12-18,21.85679
2020-12-19,5.0369
2020-12-20,2.66735
2020-12-21,21.53308
2020-12-22,30.41564
2020-12-23,26.60883
2020-12-24,22.30998
2020-12-25,5.32176
2020-12-26,2.42133
2020-12-27,2.08468
2020-12-28,20.85976
2020-12-29,22.28408
2020-12-30,22.86676
2020-12-31,7.54887
2021-01-01,2.66735
2021-01-02,1.70918
2021-01-03,1.9034
2021-01-04,23.38469
2021-01-05,29.43156
2021-01-06,32.2543
2021-01-07,30.84293
2021-01-08,32.08597
2021-01-09,7.67836
2021-01-10,4.35064
2021-01-11,39.76434
2021-01-12,49.21662
2021-01-13,40.68367
2021-01-14,36.25534
2021-01-15,44.05023
2021-01-16,9.23216
2021-01-17,3.78091
2021-01-18,39.2723
2021-01-19,39.53127
2021-01-20,37.21351
2021-01-21,33.87284
2021-01-22,33.89874
2021-01-23,7.28991
2021-01-24,3.14644
2021-01-25,29.18554
2021-01-26,38.13284
2021-01-27,37.07108
2021-01-28,44.37394
2021-01-29,57.30933
2021-01-30,10.37161
2021-01-31,4.40243
2021-02-01,36.06111
2021-02-02,36.9416
2021-02-03,35.72445
2021-02-04,38.26233
2021-02-05,32.6816
2021-02-06,6.2152
2021-02-07,2.71915
2021-02-08,31.34792
2021-02-09,30.09193
2021-02-10,27.29509
2021-02-11,5.65842
2021-02-12,4.55781
2021-02-13,3.69027
2021-02-14,2.26595
2021-02-15,23.60481
2021-02-16,26.75126
2021-02-17,29.27618
2021-02-18,28.81004
2021-02-19,30.36384
2021-02-20,5.29586
2021-02-21,2.3048
2021-02-22,25.67655
2021-02-23,32.55211
2021-02-24,44.07613
2021-02-25,33.63977
2021-02-26,40.58008
2021-02-27,8.55885
2021-02-28,2.48608
2021-03-01,6.88851
2021-03-02,32.07302
2021-03-03,29.63874
2021-03-04,34.88281
2021-03-05,34.53321
2021-03-06,7.09568
2021-03-07,3.06875
2021-03-08,30.15667
2021-03-09,35.23242
2021-03-10,36.07406
2021-03-11,32.52622
2021-03-12,29.87181
2021-03-13,6.82377
2021-03-14,2.6803
2021-03-15,24.89965
2021-03-16,27.87776
2021-03-17,28.20147
2021-03-18,28.18852
2021-03-19,27.70943
2021-03-20,5.61957
2021-03-21,2.43428
2021-03-22,24.53709
2021-03-23,29.70348
2021-03-24,29.04311
2021-03-25,28.3957
2021-03-26,24.20044
2021-03-27,5.73611
2021-03-28,2.24006
2021-03-29,23.86378
2021-03-30,24.79606
2021-03-31,27.90366
2021-04-01,25.56001
2021-04-02,24.35582
2021-04-03,5.55483
2021-04-04,2.34364
2021-04-05,24.73132
2021-04-06,25.46937
2021-04-07,25.62475
2021-04-08,24.13569
2021-04-09,23.56597
2021-04-10,4.44127
2021-04-11,2.13647
2021-04-12,20.41952
2021-04-13,23.07393
2021-04-14,24.29107
2021-04-15,23.69545
2021-04-16,22.20639
2021-04-17,5.32176
2021-04-18,2.22711
2021-04-19,20.82092
2021-04-20,21.31296
2021-04-21,29.13375
2021-04-22,24.92554
2021-04-23,22.76317
2021-04-24,5.04985
2021-04-25,2.14942
2021-04-26,18.81393
2021-04-27,22.43946
2021-04-28,27.89071
2021-04-29,24.95144
2021-04-30,25.45642
2021-05-01,5.011
2021-05-02,2.78389
2021-05-03,24.5112
2021-05-04,25.46937
2021-05-05,8.19629
2021-05-06,23.04803
2021-05-07,20.53606
2021-05-08,4.27295
2021-05-09,1.69623
2021-05-10,20.1735
2021-05-11,30.88178
2021-05-12,36.87686
2021-05-13,37.39479
2021-05-14,29.62579
2021-05-15,6.02097
2021-05-16,2.6544
2021-05-17,23.96737
2021-05-18,23.56597
2021-05-19,8.83076
2021-05-20,25.56001
2021-05-21,25.39168
2021-05-22,5.32176
2021-05-23,2.05878
2021-05-24,22.56894
2021-05-25,21.90858
2021-05-26,21.54603
2021-05-27,23.2811
2021-05-28,21.19642
2021-05-29,4.40243
2021-05-30,1.85161
2021-05-31,18.33484
2021-06-01,20.30299
2021-06-02,20.83387
2021-06-03,22.21934
2021-06-04,21.7791
2021-06-05,4.45422
2021-06-06,1.99404
2021-06-07,20.08286
2021-06-08,22.25818
2021-06-09,22.16755
2021-06-10,21.66256
2021-06-11,20.74323
2021-06-12,4.2341
2021-06-13,1.74802
2021-06-14,17.67447
2021-06-15,18.87867
2021-06-16,20.96335
2021-06-17,21.09283
2021-06-18,20.48426
2021-06-19,5.33471
2021-06-20,2.14942
2021-06-21,19.83685
2021-06-22,20.93745
2021-06-23,21.09283
2021-06-24,19.97928
2021-06-25,20.66554
2021-06-26,4.28589
2021-06-27,1.57969
2021-06-28,16.44438
2021-06-29,18.17946
2021-06-30,21.53308
2021-07-01,19.56493
2021-07-02,18.96931
2021-07-03,3.58668
2021-07-04,1.68328
2021-07-05,15.52505
2021-07-06,16.6904
2021-07-07,18.60675
2021-07-08,24.52414
2021-07-09,29.31503
2021-07-10,5.45124
2021-07-11,1.64443
2021-07-12,16.57387
2021-07-13,17.95934
2021-07-14,18.38663
2021-07-15,19.48724
2021-07-16,21.04104
2021-07-17,3.66437
2021-07-18,1.9293
2021-07-19,18.91751
2021-07-20,22.29703
2021-07-21,22.89265
2021-07-22,19.55198
2021-07-23,18.15356
2021-07-24,4.32474
2021-07-25,1.70918
2021-07-26,18.07587
2021-07-27,18.04998
2021-07-28,20.76913
2021-07-29,19.30596
2021-07-30,21.92153
2021-07-31,4.44127
2021-08-01,2.03288
2021-08-02,14.41149
2021-08-03,17.75216
2021-08-04,19.047
2021-08-05,20.52311
2021-08-06,18.50317
2021-08-07,3.87155
2021-08-08,1.89045
2021-08-09,16.41849
2021-08-10,19.70736
2021-08-11,19.28007
2021-08-12,19.7721
2021-08-13,25.98731
2021-08-14,4.79088
2021-08-15,1.9034
2021-08-16,6.51301
2021-08-17,26.00025
2021-08-18,21.61077
2021-08-19,28.95247
2021-08-20,27.12676
2021-08-21,5.61957
2021-08-22,2.51197
2021-08-23,21.30001
2021-08-24,22.64663
2021-08-25,22.91855
2021-08-26,22.37472
2021-08-27,21.3777
