date,영진약품주가
2020-11-07,1.28201
2020-11-08,0.84953
2020-11-09,15.22461
2020-11-10,12.52156
2020-11-11,16.44484
2020-11-12,27.67666
2020-11-13,17.25061
2020-11-14,1.73767
2020-11-15,1.33093
2020-11-16,16.75633
2020-11-17,13.68515
2020-11-18,12.98236
2020-11-19,21.59093
2020-11-20,21.68104
2020-11-21,2.41729
2020-11-22,2.0157
2020-11-23,18.96254
2020-11-24,15.57214
2020-11-25,15.69056
2020-11-26,21.09666
2020-11-27,15.76522
2020-11-28,1.70163
2020-11-29,1.40558
2020-11-30,14.53983
2020-12-01,13.53069
2020-12-02,13.74951
2020-12-03,12.79186
2020-12-04,15.96601
2020-12-05,1.59608
2020-12-06,1.35924
2020-12-07,15.13965
2020-12-08,13.67743
2020-12-09,14.26438
2020-12-10,13.40455
2020-12-11,16.11275
2020-12-12,1.81233
2020-12-13,1.39271
2020-12-14,21.31291
2020-12-15,16.19513
2020-12-16,15.25807
2020-12-17,13.94516
2020-12-18,17.63418
2020-12-19,2.0054
2020-12-20,1.82005
2020-12-21,21.66044
2020-12-22,38.27262
2020-12-23,32.45977
2020-12-24,20.69764
2020-12-25,2.39155
2020-12-26,1.67846
2020-12-27,1.7145
2020-12-28,18.74115
2020-12-29,17.59557
2020-12-30,18.71283
2020-12-31,3.25395
2021-01-01,1.16102
2021-01-02,1.08894
2021-01-03,1.07864
2021-01-04,15.55927
2021-01-05,15.66997
2021-01-06,21.05032
2021-01-07,21.15587
2021-01-08,17.57755
2021-01-09,1.88183
2021-01-10,1.34637
2021-01-11,16.94684
2021-01-12,15.54125
2021-01-13,14.73033
2021-01-14,13.46376
2021-01-15,12.59879
2021-01-16,1.32578
2021-01-17,1.37211
2021-01-18,13.40198
2021-01-19,14.68657
2021-01-20,14.53726
2021-01-21,13.79842
2021-01-22,11.92946
2021-01-23,1.46222
2021-01-24,1.14557
2021-01-25,14.07388
2021-01-26,13.02612
2021-01-27,11.27043
2021-01-28,10.38486
2021-01-29,10.77358
2021-01-30,0.99369
2021-01-31,0.74655
2021-02-01,11.84193
2021-02-02,11.52271
2021-02-03,10.27674
2021-02-04,9.97296
2021-02-05,9.71296
2021-02-06,0.95765
2021-02-07,0.73625
2021-02-08,9.6486
2021-02-09,8.84283
2021-02-10,8.22757
2021-02-11,0.7414
2021-02-12,0.5509
2021-02-13,0.5509
2021-02-14,0.58437
2021-02-15,9.13373
2021-02-16,8.72956
2021-02-17,8.36658
2021-02-18,8.46698
2021-02-19,8.04479
2021-02-20,0.97567
2021-02-21,0.65902
2021-02-22,9.24185
2021-02-23,8.09628
2021-02-24,9.02818
2021-02-25,10.12228
2021-02-26,9.79534
2021-02-27,1.18419
2021-02-28,0.79546
2021-03-01,1.28716
2021-03-02,9.51731
2021-03-03,8.50817
2021-03-04,7.60458
2021-03-05,7.59171
2021-03-06,0.85467
2021-03-07,0.54833
2021-03-08,7.56081
2021-03-09,7.48101
2021-03-10,7.52477
2021-03-11,7.3317
2021-03-12,7.66636
2021-03-13,0.8315
2021-03-14,0.62813
2021-03-15,7.5119
2021-03-16,8.98957
2021-03-17,8.25588
2021-03-18,7.44754
2021-03-19,7.23387
2021-03-20,0.78259
2021-03-21,0.54575
2021-03-22,7.19268
2021-03-23,6.70356
2021-03-24,6.43068
2021-03-25,6.09859
2021-03-26,6.33286
2021-03-27,0.58694
2021-03-28,0.50456
2021-03-29,6.41266
2021-03-30,6.16038
2021-03-31,6.25048
2021-04-01,6.30711
2021-04-02,6.27365
2021-04-03,0.66417
2021-04-04,0.42991
2021-04-05,5.91324
2021-04-06,5.8875
2021-04-07,6.02394
2021-04-08,7.04595
2021-04-09,7.54279
2021-04-10,0.83665
2021-04-11,0.58952
2021-04-12,6.45642
2021-04-13,8.55708
2021-04-14,7.35229
2021-04-15,6.40751
2021-04-16,6.38434
2021-04-17,1.02458
2021-04-18,0.70279
2021-04-19,7.23902
2021-04-20,6.52336
2021-04-21,5.99047
2021-04-22,5.87977
2021-04-23,7.25704
2021-04-24,1.9951
2021-04-25,1.20993
2021-04-26,9.94465
2021-04-27,9.70523
2021-04-28,8.26103
2021-04-29,8.01132
2021-04-30,7.48358
2021-05-01,0.63843
2021-05-02,0.5509
2021-05-03,7.47586
2021-05-04,6.95327
2021-05-05,0.84695
2021-05-06,8.37688
2021-05-07,7.983
2021-05-08,1.2228
2021-05-09,0.97309
2021-05-10,9.1672
2021-05-11,7.40893
2021-05-12,6.85545
2021-05-13,7.03308
2021-05-14,6.3689
2021-05-15,0.57665
2021-05-16,0.47882
2021-05-17,6.23503
2021-05-18,6.50534
2021-05-19,0.66932
2021-05-20,6.1784
2021-05-21,5.91324
2021-05-22,0.4711
2021-05-23,0.40417
2021-05-24,5.60689
2021-05-25,6.05483
2021-05-26,6.29682
2021-05-27,5.4756
2021-05-28,5.56056
2021-05-29,0.50456
2021-05-30,0.40931
2021-05-31,5.55541
2021-06-01,5.69957
2021-06-02,5.85918
2021-06-03,5.86948
2021-06-04,5.45501
2021-06-05,0.53546
2021-06-06,0.43763
2021-06-07,5.2954
2021-06-08,5.23876
2021-06-09,4.88351
2021-06-10,4.94272
2021-06-11,4.94272
2021-06-12,0.47882
2021-06-13,0.41961
2021-06-14,5.03539
2021-06-15,4.96074
2021-06-16,4.94529
2021-06-17,4.55142
2021-06-18,4.83459
2021-06-19,0.53288
2021-06-20,0.39644
2021-06-21,5.26708
2021-06-22,5.35976
2021-06-23,5.80512
2021-06-24,5.72274
2021-06-25,5.29797
2021-06-26,0.48912
2021-06-27,0.43248
2021-06-28,4.88608
2021-06-29,5.1152
2021-06-30,4.86549
2021-07-01,4.6338
2021-07-02,4.99163
2021-07-03,0.50714
2021-07-04,0.4505
2021-07-05,7.19783
2021-07-06,6.07542
2021-07-07,5.12549
2021-07-08,4.98648
2021-07-09,5.00965
2021-07-10,0.53288
2021-07-11,0.41704
2021-07-12,5.32629
2021-07-13,4.91182
2021-07-14,4.49736
2021-07-15,4.68013
2021-07-16,4.4227
2021-07-17,0.39387
2021-07-18,0.26258
2021-07-19,4.45359
2021-07-20,4.2219
2021-07-21,4.13952
2021-07-22,4.27081
2021-07-23,4.09319
2021-07-24,0.39387
2021-07-25,0.26258
2021-07-26,4.27339
2021-07-27,4.5231
2021-07-28,4.00051
2021-07-29,4.16269
2021-07-30,4.1215
2021-07-31,0.43248
2021-08-01,0.33723
2021-08-02,4.11121
2021-08-03,4.04685
2021-08-04,4.26309
2021-08-05,6.17582
2021-08-06,4.78053
2021-08-07,0.46852
2021-08-08,0.31921
2021-08-09,4.42785
2021-08-10,4.3326
2021-08-11,4.05457
2021-08-12,4.36349
2021-08-13,4.65954
2021-08-14,0.40674
2021-08-15,0.2703
2021-08-16,0.6616
2021-08-17,4.11121
2021-08-18,5.22074
2021-08-19,4.78053
2021-08-20,4.75736
2021-08-21,0.41704
2021-08-22,0.30119
2021-08-23,5.31342
2021-08-24,6.08829
2021-08-25,5.62491
2021-08-26,5.51422
2021-08-27,4.73677
2021-08-28,0.3604
2021-08-29,0.32694
2021-08-30,4.92212
2021-08-31,4.62865
2021-09-01,5.04054
2021-09-02,5.67383
2021-09-03,5.48333
2021-09-04,0.47625
2021-09-05,0.2703
2021-09-06,5.11262
2021-09-07,4.6029
2021-09-08,4.05715
2021-09-09,3.96962
2021-09-10,4.55399
2021-09-11,0.38615
2021-09-12,0.24713
2021-09-13,4.0211
2021-09-14,4.40468
2021-09-15,4.1421
2021-09-16,3.60664
2021-09-17,3.64783
2021-09-18,0.28575
2021-09-19,0.18535
2021-09-20,0.14416
2021-09-21,0.16733
2021-09-22,0.19822
2021-09-23,3.68387
2021-09-24,3.7508
2021-09-25,0.49942
2021-09-26,0.26773
2021-09-27,3.7405
2021-09-28,3.52683
2021-09-29,3.66585
2021-09-30,3.76625
2021-10-01,3.3595
2021-10-02,0.36298
2021-10-03,0.18792
2021-10-04,0.50971
2021-10-05,4.02368
2021-10-06,4.04427
2021-10-07,5.07658
2021-10-08,4.33002
2021-10-09,0.27802
2021-10-10,0.17505
2021-10-11,0.51744
2021-10-12,3.78684
2021-10-13,3.91041
2021-10-14,4.70845
2021-10-15,4.24765
2021-10-16,0.41189
2021-10-17,0.31664
2021-10-18,3.81258
2021-10-19,3.39297
2021-10-20,3.55515
2021-10-21,3.49337
2021-10-22,3.41614
2021-10-23,0.33981
2021-10-24,0.26
2021-10-25,3.54485
2021-10-26,3.96189
2021-10-27,3.12524
2021-10-28,3.2797
2021-10-29,3.01454
2021-10-30,0.26
2021-10-31,0.23426
2021-11-01,3.69931
2021-11-02,4.97618
2021-11-03,4.03655
2021-11-04,4.22963
2021-11-05,3.79456
2021-11-06,0.34238
2021-11-07,0.22911
2021-11-08,3.88724
2021-11-09,3.56545
2021-11-10,3.32346
2021-11-11,3.32089
2021-11-12,3.61951
2021-11-13,0.35525
2021-11-14,0.30119
2021-11-15,4.05457
2021-11-16,3.28999
2021-11-17,2.96305
2021-11-18,3.0789
2021-11-19,3.24623
2021-11-20,0.42733
2021-11-21,0.30634
2021-11-22,3.57832
2021-11-23,3.39297
2021-11-24,3.27455
2021-11-25,3.10464
2021-11-26,2.96563
2021-11-27,0.42991
2021-11-28,0.35783
2021-11-29,3.61436
2021-11-30,3.56545
2021-12-01,3.68387
2021-12-02,4.15754
2021-12-03,3.68902
2021-12-04,0.36555
2021-12-05,0.31664
2021-12-06,3.91298
2021-12-07,12.14313
2021-12-08,8.77847
2021-12-09,7.16179
2021-12-10,5.83601
2021-12-11,0.59981
2021-12-12,0.49684
2021-12-13,6.36117
2021-12-14,7.22358
2021-12-15,7.30595
2021-12-16,6.45642
2021-12-17,6.38177
2021-12-18,0.72596
2021-12-19,0.6513
2021-12-20,6.5491
2021-12-21,6.84515
2021-12-22,5.93898
2021-12-23,5.57858
2021-12-24,5.04312
2021-12-25,0.54833
2021-12-26,0.44793
2021-12-27,5.92096
2021-12-28,5.07143
2021-12-29,5.15381
2021-12-30,4.6235
2021-12-31,1.30518
2022-01-01,0.37327
2022-01-02,0.55348
2022-01-03,5.41639
2022-01-04,4.8037
2022-01-05,4.36607
2022-01-06,4.06229
2022-01-07,4.29913
2022-01-08,0.59981
2022-01-09,0.43763
2022-01-10,4.23477
2022-01-11,4.22705
2022-01-12,4.73677
2022-01-13,4.11635
2022-01-14,3.40069
2022-01-15,0.39902
2022-01-16,0.30892
2022-01-17,3.39554
2022-01-18,3.49594
2022-01-19,3.2797
2022-01-20,4.28369
2022-01-21,3.6607
2022-01-22,0.40931
2022-01-23,0.34496
2022-01-24,3.671
2022-01-25,3.78169
2022-01-26,3.91813
2022-01-27,3.41099
2022-01-28,4.18329
2022-01-29,0.4505
2022-01-30,0.27545
2022-01-31,0.21881
2022-02-01,0.29604
2022-02-02,0.33208
2022-02-03,4.50765
2022-02-04,4.17042
2022-02-05,0.42476
2022-02-06,0.2806
2022-02-07,3.77912
2022-02-08,4.35319
2022-02-09,3.79714
2022-02-10,4.45102
2022-02-11,3.49851
2022-02-12,0.38615
2022-02-13,0.31406
2022-02-14,3.10979
2022-02-15,3.33118
2022-02-16,3.81258
2022-02-17,3.48049
2022-02-18,3.24366
2022-02-19,0.44535
2022-02-20,0.30634
2022-02-21,3.48049
2022-02-22,3.04801
2022-02-23,3.63495
2022-02-24,3.09177
2022-02-25,3.42901
2022-02-26,0.4711
2022-02-27,0.39129
2022-02-28,3.67614
2022-03-01,0.66675
2022-03-02,4.06229
2022-03-03,4.11378
2022-03-04,4.22963
2022-03-05,0.75427
2022-03-06,0.62298
2022-03-07,3.74823
2022-03-08,4.46646
2022-03-09,0.72596
2022-03-10,4.48963
2022-03-11,4.17814
2022-03-12,0.52258
2022-03-13,0.42476
2022-03-14,4.0314
2022-03-15,3.80229
2022-03-16,4.14725
2022-03-17,4.73677
2022-03-18,4.16269
2022-03-19,0.79546
2022-03-20,0.57407
2022-03-21,3.71476
2022-03-22,3.69159
2022-03-23,3.84348
2022-03-24,3.37495
2022-03-25,3.38524
2022-03-26,0.27802
2022-03-27,0.26773
2022-03-28,3.11236
2022-03-29,4.42785
2022-03-30,3.91298
2022-03-31,3.8409
2022-04-01,3.16643
2022-04-02,0.40674
2022-04-03,0.32694
2022-04-04,3.44445
2022-04-05,3.07375
2022-04-06,2.85236
2022-04-07,2.89097
2022-04-08,2.80087
2022-04-09,0.28575
2022-04-10,0.23941
2022-04-11,2.66186
2022-04-12,2.55373
2022-04-13,2.85236
2022-04-14,3.11494
2022-04-15,2.74423
2022-04-16,0.22654
2022-04-17,0.18792
2022-04-18,2.92701
2022-04-19,2.84206
2022-04-20,2.97078
2022-04-21,2.81374
2022-04-22,2.4765
2022-04-23,0.24971
2022-04-24,0.22654
2022-04-25,2.46363
2022-04-26,2.75711
2022-04-27,2.40185
2022-04-28,2.80859
2022-04-29,2.86265
2022-04-30,0.30119
2022-05-01,0.23941
2022-05-02,2.41472
2022-05-03,2.49452
2022-05-04,2.25511
2022-05-05,0.35268
2022-05-06,2.04144
2022-05-07,0.20852
2022-05-08,0.1802
2022-05-09,2.286
2022-05-10,2.23967
2022-05-11,2.3169
2022-05-12,2.22679
2022-05-13,2.67473
2022-05-14,0.31406
2022-05-15,0.22654
2022-05-16,2.66443
2022-05-17,2.50997
2022-05-18,2.56146
2022-05-19,2.30145
2022-05-20,2.66186
2022-05-21,0.33723
2022-05-22,0.22654
2022-05-23,2.61294
2022-05-24,2.33234
2022-05-25,2.7983
2022-05-26,2.49967
2022-05-27,2.39413
2022-05-28,0.21109
2022-05-29,0.16733
2022-05-30,2.53314
2022-05-31,2.43274
2022-06-01,0.37585
2022-06-02,2.44819
2022-06-03,2.27571
2022-06-04,0.23426
2022-06-05,0.29089
2022-06-06,0.24713
2022-06-07,2.1959
2022-06-08,2.37868
2022-06-09,2.60007
2022-06-10,3.42386
2022-06-11,0.55863
2022-06-12,0.29089
2022-06-13,2.8884
2022-06-14,2.83691
2022-06-15,2.6876
2022-06-16,3.00939
2022-06-17,2.74166
2022-06-18,0.35783
2022-06-19,0.26515
2022-06-20,2.81889
2022-06-21,2.81632
2022-06-22,2.85493
2022-06-23,3.00424
2022-06-24,3.50881
2022-06-25,0.33466
2022-06-26,0.26258
2022-06-27,3.42901
2022-06-28,2.68245
2022-06-29,2.76483
2022-06-30,2.84978
2022-07-01,2.65156
2022-07-02,0.33208
2022-07-03,0.23941
2022-07-04,2.58977
2022-07-05,3.11236
2022-07-06,3.20247
2022-07-07,3.13296
2022-07-08,2.8678
2022-07-09,0.27287
2022-07-10,0.23169
2022-07-11,3.11494
2022-07-12,2.96048
2022-07-13,2.99652
2022-07-14,2.84721
2022-07-15,2.81117
2022-07-16,0.32694
2022-07-17,0.23169
2022-07-18,3.02484
2022-07-19,3.00939
2022-07-20,3.06088
2022-07-21,2.83691
2022-07-22,2.69017
2022-07-23,0.33723
2022-07-24,0.27287
2022-07-25,2.38383
2022-07-26,2.52284
2022-07-27,2.38125
2022-07-28,2.62582
2022-07-29,2.26541
2022-07-30,0.28317
2022-07-31,0.25228
2022-08-01,2.4765
2022-08-02,2.15214
2022-08-03,2.61552
2022-08-04,2.62324
2022-08-05,3.7508
2022-08-06,0.38357
2022-08-07,0.26258
2022-08-08,3.00424
2022-08-09,2.92444
2022-08-10,2.29373
2022-08-11,3.05315
2022-08-12,2.97078
2022-08-13,0.24713
2022-08-14,0.13129
2022-08-15,0.22654
2022-08-16,2.53829
2022-08-17,2.40442
2022-08-18,2.28343
2022-08-19,2.08263
2022-08-20,0.1596
2022-08-21,0.19307
2022-08-22,1.97708
2022-08-23,2.09808
2022-08-24,2.19333
2022-08-25,2.44304
2022-08-26,2.43274
2022-08-27,0.22139
2022-08-28,0.11584
2022-08-29,2.15986
2022-08-30,2.27313
2022-08-31,2.26283
2022-09-01,1.85609
2022-09-02,1.98481
2022-09-03,0.19564
2022-09-04,0.09267
2022-09-05,2.04144
2022-09-06,2.03887
2022-09-07,1.94362
2022-09-08,1.77371
2022-09-09,0.17248
2022-09-10,0.11069
2022-09-11,0.14158
2022-09-12,0.16733
2022-09-13,2.33234
