date,하나은행파킹통장
2020-03-29,0.9836
2020-03-30,1.96721
2020-03-31,3.27868
2020-04-01,2.62295
2020-04-02,2.45901
2020-04-03,8.68852
2020-04-04,11.80327
2020-04-05,2.29508
2020-04-06,5.57377
2020-04-07,3.44262
2020-04-08,5.2459
2020-04-09,4.26229
2020-04-10,2.29508
2020-04-11,2.29508
2020-04-12,2.29508
2020-04-13,2.29508
2020-04-14,4.42622
2020-04-15,2.62295
2020-04-16,3.44262
2020-04-17,2.78688
2020-04-18,0.9836
2020-04-19,1.31147
2020-04-20,1.80327
2020-04-21,1.4754
2020-04-22,5.90163
2020-04-23,4.42622
2020-04-24,3.11475
2020-04-25,1.4754
2020-04-26,2.13114
2020-04-27,1.96721
2020-04-28,2.45901
2020-04-29,2.62295
2020-04-30,1.31147
2020-05-01,0.81967
2020-05-02,0.9836
2020-05-04,2.13114
2020-05-05,1.63934
2020-05-06,0.81967
2020-05-07,1.80327
2020-05-08,3.44262
2020-05-09,1.80327
2020-05-11,3.44262
2020-05-12,2.95081
2020-05-13,0.9836
2020-05-14,1.31147
2020-05-15,1.63934
2020-05-18,3.11475
2020-05-19,1.31147
2020-05-21,1.96721
2020-05-22,3.11475
2020-05-23,2.13114
2020-05-25,3.11475
2020-05-30,0.81967
2020-06-02,2.45901
2020-06-03,1.63934
2020-06-04,1.31147
2020-06-05,0.9836
2020-06-08,0.81967
2020-06-11,37.21311
2020-06-12,25.40983
2020-06-13,13.60655
2020-06-14,12.62295
2020-06-15,12.95081
2020-06-16,11.63934
2020-06-17,10.65573
2020-06-18,10.32786
2020-06-19,9.83606
2020-06-20,5.08196
2020-06-21,4.42622
2020-06-22,8.19672
2020-06-23,11.14754
2020-06-24,5.90163
2020-06-25,7.04918
2020-06-26,7.37704
2020-06-27,6.2295
2020-06-28,3.77049
2020-06-29,4.91803
2020-06-30,5.57377
2020-07-01,6.06557
2020-07-02,2.62295
2020-07-03,3.11475
2020-07-04,1.31147
2020-07-05,1.31147
2020-07-07,3.60655
2020-07-08,1.31147
2020-07-09,1.14754
2020-07-10,1.14754
2020-07-11,0.9836
2020-07-14,2.95081
2020-07-15,2.45901
2020-07-16,2.13114
2020-07-21,1.63934
2020-07-22,1.31147
2020-07-23,0.81967
2020-07-24,0.9836
2020-07-25,0.81967
2020-07-26,0.9836
2020-07-27,0.81967
2020-07-28,7.54098
2020-07-29,1.4754
2020-07-30,1.4754
2020-08-02,1.14754
2020-08-03,1.96721
2020-08-04,0.9836
2020-08-05,0.81967
2020-08-06,1.31147
2020-08-07,1.63934
2020-08-08,0.9836
2020-08-09,0.81967
2020-08-11,1.63934
2020-08-12,0.81967
2020-08-13,0.81967
2020-08-14,1.14754
2020-08-16,1.31147
2020-08-17,0.81967
2020-08-18,0.81967
2020-08-19,1.80327
2020-08-21,1.31147
2020-08-22,0.9836
2020-08-24,0.9836
2020-08-25,0.81967
2020-08-26,0.81967
2020-08-27,1.14754
2020-08-31,2.45901
2020-09-04,4.09836
2020-09-05,1.63934
2020-09-06,1.14754
2020-09-14,2.62295
2020-09-16,0.81967
2020-09-23,0.81967
2020-09-25,1.14754
2020-09-28,1.63934
2020-09-29,1.31147
2020-10-05,0.9836
2020-10-07,0.81967
2020-10-08,1.63934
2020-10-12,0.9836
2020-10-13,0.81967
2020-10-22,0.81967
2020-10-28,1.31147
2020-10-29,2.78688
2020-10-30,0.81967
2020-10-31,1.96721
2020-11-01,3.77049
2020-11-02,4.09836
2020-11-03,1.14754
2020-11-06,0.81967
2020-11-07,0.81967
2020-11-08,0.81967
2020-11-10,2.62295
2020-11-14,1.96721
2020-11-17,0.81967
2020-11-20,0.9836
2020-11-23,0.81967
2020-11-26,1.31147
2020-11-27,1.31147
2020-11-28,1.14754
2020-11-29,0.9836
2020-12-04,1.31147
2020-12-05,0.9836
2020-12-06,0.81967
2020-12-07,0.81967
2020-12-11,2.45901
2020-12-13,0.9836
2020-12-15,0.81967
2020-12-16,0.81967
2020-12-17,0.81967
2020-12-19,0.9836
2020-12-22,6.55737
2020-12-23,3.27868
2020-12-24,1.4754
2020-12-26,0.9836
2020-12-27,0.9836
2020-12-28,0.9836
2020-12-29,1.96721
2020-12-31,1.14754
2021-01-01,1.14754
2021-01-03,1.14754
2021-01-05,1.63934
2021-01-06,1.96721
2021-01-08,0.9836
2021-01-10,1.14754
2021-01-11,0.81967
2021-01-13,0.81967
2021-01-14,8.36065
2021-01-15,20.16393
2021-01-16,6.2295
2021-01-17,5.2459
2021-01-18,6.2295
2021-01-19,4.59016
2021-01-20,2.13114
2021-01-21,3.77049
2021-01-22,4.09836
2021-01-23,6.72131
2021-01-24,2.78688
2021-01-25,3.60655
2021-01-26,3.11475
2021-01-27,1.31147
2021-01-28,0.81967
2021-01-29,2.13114
2021-01-30,2.13114
2021-01-31,2.62295
2021-02-01,2.62295
2021-02-02,2.95081
2021-02-03,3.44262
2021-02-04,1.4754
2021-02-05,2.78688
2021-02-06,0.9836
2021-02-07,3.11475
2021-02-08,4.09836
2021-02-09,2.78688
2021-02-10,3.11475
2021-02-11,0.81967
2021-02-12,1.96721
2021-02-13,1.14754
2021-02-14,2.45901
2021-02-15,3.77049
2021-02-16,3.44262
2021-02-17,2.13114
2021-02-18,1.80327
2021-02-20,1.14754
2021-02-21,2.13114
2021-02-22,3.44262
2021-02-23,2.13114
2021-02-24,2.13114
2021-02-25,2.13114
2021-02-26,1.80327
2021-02-27,0.81967
2021-03-02,1.4754
2021-03-03,1.63934
2021-03-04,0.9836
2021-03-05,2.78688
2021-03-06,1.4754
2021-03-07,1.63934
2021-03-08,1.80327
2021-03-09,0.81967
2021-03-10,4.75409
2021-03-11,4.26229
2021-03-12,1.63934
2021-03-13,0.9836
2021-03-14,7.86885
2021-03-15,8.68852
2021-03-16,1.96721
2021-03-18,1.4754
2021-03-20,2.78688
2021-03-21,1.14754
2021-03-22,4.42622
2021-03-23,1.80327
2021-03-26,1.14754
2021-03-29,0.9836
2021-03-30,1.31147
2021-03-31,0.9836
2021-04-01,2.29508
2021-04-02,0.81967
2021-04-05,2.29508
2021-04-09,26.2295
2021-04-10,4.59016
2021-04-11,4.59016
2021-04-12,2.62295
