date,주성엔지니어링주가
2020-03-20,9.06257
2020-03-21,0.76387
2020-03-22,0.37888
2020-03-23,7.36983
2020-03-24,8.11537
2020-03-25,9.05646
2020-03-26,9.86922
2020-03-27,8.16426
2020-03-28,0.50109
2020-03-29,0.34832
2020-03-30,7.56538
2020-03-31,7.53483
2020-04-01,7.68149
2020-04-02,7.62038
2020-04-03,6.94206
2020-04-04,0.53165
2020-04-05,0.53165
2020-04-06,7.95037
2020-04-07,8.37203
2020-04-08,8.39036
2020-04-09,8.56147
2020-04-10,7.33317
2020-04-11,0.54387
2020-04-12,0.51332
2020-04-13,6.28208
2020-04-14,6.65485
2020-04-15,0.61109
2020-04-16,6.10486
2020-04-17,7.71816
2020-04-18,0.6722
2020-04-19,0.40332
2020-04-20,7.05206
2020-04-21,6.50818
2020-04-22,6.60596
2020-04-23,8.0787
2020-04-24,7.02762
2020-04-25,0.40332
2020-04-26,0.2811
2020-04-27,7.02762
2020-04-28,6.00097
2020-04-29,6.74651
2020-04-30,0.62331
2020-05-01,0.62331
2020-05-02,0.24443
2020-05-03,0.18332
2020-05-04,4.67489
2020-05-05,0.51943
2020-05-06,6.00097
2020-05-07,6.89929
2020-05-08,6.97262
2020-05-09,0.69665
2020-05-10,0.42165
2020-05-11,5.98875
2020-05-12,5.66487
2020-05-13,5.99486
2020-05-14,4.91322
2020-05-15,4.91933
2020-05-16,0.43387
2020-05-17,0.27499
2020-05-18,4.98044
2020-05-19,6.94817
2020-05-20,6.2943
2020-05-21,8.98313
2020-05-22,7.07039
2020-05-23,0.51332
2020-05-24,0.26277
2020-05-25,6.59374
2020-05-26,6.53874
2020-05-27,5.76264
2020-05-28,5.65265
2020-05-29,5.76264
2020-05-30,0.43387
2020-05-31,0.48276
2020-06-01,6.48985
2020-06-02,6.39208
2020-06-03,7.27817
2020-06-04,7.25372
2020-06-05,7.07039
2020-06-06,0.70887
2020-06-07,0.4461
2020-06-08,6.94817
2020-06-09,6.14764
2020-06-10,5.87264
2020-06-11,5.0721
2020-06-12,4.92544
2020-06-13,0.28721
2020-06-14,0.26277
2020-06-15,4.64434
2020-06-16,6.20263
2020-06-17,5.6282
2020-06-18,4.97433
2020-06-19,4.91322
2020-06-20,0.32388
2020-06-21,0.29332
2020-06-22,4.98655
2020-06-23,5.15766
2020-06-24,5.09655
2020-06-25,4.49767
2020-06-26,5.47543
2020-06-27,0.36665
2020-06-28,0.19555
2020-06-29,4.54045
2020-06-30,4.98655
2020-07-01,12.61305
2020-07-02,8.23759
2020-07-03,10.73698
2020-07-04,1.20386
2020-07-05,1.05108
2020-07-06,9.73478
2020-07-07,8.76313
2020-07-08,8.06037
2020-07-09,8.05426
2020-07-10,11.49474
2020-07-11,1.10608
2020-07-12,0.98386
2020-07-13,10.95697
2020-07-14,8.48814
2020-07-15,10.07699
2020-07-16,8.75702
2020-07-17,7.23539
2020-07-18,0.64165
2020-07-19,0.48276
2020-07-20,6.74651
2020-07-21,7.82204
2020-07-22,8.46981
2020-07-23,7.20483
2020-07-24,6.33708
2020-07-25,0.40332
2020-07-26,0.37276
2020-07-27,6.72818
2020-07-28,6.54485
2020-07-29,7.54094
2020-07-30,7.14984
2020-07-31,6.47763
2020-08-01,0.3911
2020-08-02,0.35443
2020-08-03,5.86042
2020-08-04,5.60987
2020-08-05,5.6282
2020-08-06,6.19041
2020-08-07,8.45758
2020-08-08,0.83109
2020-08-09,0.91053
2020-08-10,8.71425
2020-08-11,8.11537
2020-08-12,6.69762
2020-08-13,7.24761
2020-08-14,5.46932
2020-08-15,0.3911
2020-08-16,0.37276
2020-08-17,0.76387
2020-08-18,5.54876
2020-08-19,5.43265
2020-08-20,5.05988
2020-08-21,5.91542
2020-08-22,0.32388
2020-08-23,0.19555
2020-08-24,5.71987
2020-08-25,6.14153
2020-08-26,5.60376
2020-08-27,5.03544
2020-08-28,5.31043
2020-08-29,0.26888
2020-08-30,0.34221
2020-08-31,5.15766
2020-09-01,4.96822
2020-09-02,5.56709
2020-09-03,7.44316
2020-09-04,5.48154
2020-09-05,0.59887
2020-09-06,0.29943
2020-09-07,9.75922
2020-09-08,8.13981
2020-09-09,6.39819
2020-09-10,6.41041
2020-09-11,5.40821
2020-09-12,0.53165
2020-09-13,0.42776
2020-09-14,6.11708
2020-09-15,5.99486
2020-09-16,5.37154
2020-09-17,7.47983
2020-09-18,5.38376
2020-09-19,0.41554
2020-09-20,0.2811
2020-09-21,5.7932
2020-09-22,5.65876
2020-09-23,5.77487
2020-09-24,5.49987
2020-09-25,5.24932
2020-09-26,0.4461
2020-09-27,0.39721
2020-09-28,5.49376
2020-09-29,5.10877
2020-09-30,0.36054
2020-10-01,0.19555
2020-10-02,0.20777
2020-10-03,0.21999
2020-10-04,0.16499
2020-10-05,6.11708
2020-10-06,5.38376
2020-10-07,5.01711
2020-10-08,5.82375
2020-10-09,0.45221
2020-10-10,0.20166
2020-10-11,0.29332
2020-10-12,5.76876
2020-10-13,5.42654
2020-10-14,5.01099
2020-10-15,4.33268
2020-10-16,4.50378
2020-10-17,0.45221
2020-10-18,0.26277
2020-10-19,5.74431
2020-10-20,4.54045
2020-10-21,4.83378
2020-10-22,4.71156
2020-10-23,5.2921
2020-10-24,0.43387
2020-10-25,0.26277
2020-10-26,4.11268
2020-10-27,5.01711
2020-10-28,8.41481
2020-10-29,5.86042
2020-10-30,5.2371
2020-10-31,0.39721
2020-11-01,0.36665
2020-11-02,5.05377
2020-11-03,4.99266
2020-11-04,4.82155
2020-11-05,4.96211
2020-11-06,4.48545
2020-11-07,0.48887
2020-11-08,0.18332
2020-11-09,4.77878
2020-11-10,4.32657
2020-11-11,4.77878
2020-11-12,7.96871
2020-11-13,5.3471
2020-11-14,0.45221
2020-11-15,0.31777
2020-11-16,5.87264
2020-11-17,5.82375
2020-11-18,4.99877
2020-11-19,4.82155
2020-11-20,4.57712
2020-11-21,0.42165
2020-11-22,0.28721
2020-11-23,5.7382
2020-11-24,5.24932
2020-11-25,6.20875
2020-11-26,5.84209
2020-11-27,6.45318
2020-11-28,0.64165
2020-11-29,6.67929
2020-11-30,12.39305
2020-12-01,10.25421
2020-12-02,23.59447
2020-12-03,25.23221
2020-12-04,19.25568
2020-12-05,2.70716
2020-12-06,2.09606
2020-12-07,15.43632
2020-12-08,14.34245
2020-12-09,14.4769
