date,다우지수선물
2020-03-20,70.01011
2020-03-21,18.64406
2020-03-22,10.75132
2020-03-23,86.55451
2020-03-24,71.92006
2020-03-25,95.67417
2020-03-26,83.15203
2020-03-27,59.97976
2020-03-28,16.51909
2020-03-29,9.25879
2020-03-30,100.0
2020-03-31,63.58461
2020-04-01,80.09107
2020-04-02,90.14672
2020-04-03,60.33392
2020-04-04,13.15456
2020-04-05,7.24766
2020-04-06,60.73867
2020-04-07,76.92891
2020-04-08,70.18719
2020-04-09,64.29294
2020-04-10,34.12598
2020-04-11,7.13382
2020-04-12,5.21123
2020-04-13,58.00657
2020-04-14,41.82899
2020-04-15,35.22641
2020-04-16,51.27751
2020-04-17,42.43612
2020-04-18,8.44927
2020-04-19,4.54085
2020-04-20,46.20541
2020-04-21,57.17176
2020-04-22,50.53124
2020-04-23,42.29698
2020-04-24,37.79408
2020-04-25,6.48874
2020-04-26,3.57955
2020-04-27,30.97647
2020-04-28,33.75917
2020-04-29,25.98026
2020-04-30,20.14925
2020-05-01,30.41993
2020-05-02,8.00657
2020-05-03,4.51555
2020-05-04,37.0984
2020-05-05,30.62231
2020-05-06,36.85808
2020-05-07,32.77257
2020-05-08,24.766
2020-05-09,5.12269
2020-05-10,2.78269
2020-05-11,29.80015
2020-05-12,28.72501
2020-05-13,32.19074
2020-05-14,37.17429
2020-05-15,26.18264
2020-05-16,4.62939
2020-05-17,1.83405
2020-05-18,25.09486
2020-05-19,30.02782
2020-05-20,27.76372
2020-05-21,26.84037
2020-05-22,25.94232
2020-05-23,4.30053
2020-05-24,2.13761
2020-05-25,20.75638
2020-05-26,23.15962
2020-05-27,24.39919
2020-05-28,25.96761
2020-05-29,19.44093
2020-05-30,3.40247
2020-05-31,1.96053
2020-06-01,32.29193
2020-06-02,22.94459
2020-06-03,21.80622
2020-06-04,23.00784
2020-06-05,18.08752
2020-06-06,2.40323
2020-06-07,1.66961
2020-06-08,22.0086
2020-06-09,25.23399
2020-06-10,21.46471
2020-06-11,30.41993
2020-06-12,51.04983
2020-06-13,6.42549
2020-06-14,3.18745
2020-06-15,58.61371
2020-06-16,44.4093
2020-06-17,36.92132
2020-06-18,35.01138
2020-06-19,26.87832
2020-06-20,5.70452
2020-06-21,2.69415
2020-06-22,31.73539
2020-06-23,29.74955
2020-06-24,30.00252
2020-06-25,45.3706
2020-06-26,27.66253
2020-06-27,6.4002
2020-06-28,3.1242
2020-06-29,46.34454
2020-06-30,33.07614
2020-07-01,30.53377
2020-07-02,26.94156
2020-07-03,19.99747
2020-07-04,4.94561
2020-07-05,1.93523
2020-07-06,22.4513
2020-07-07,24.89248
2020-07-08,24.77864
2020-07-09,20.89552
2020-07-10,21.21173
2020-07-11,3.18745
2020-07-12,1.15102
2020-07-13,19.35239
2020-07-14,24.46243
2020-07-15,21.22438
2020-07-16,23.00784
2020-07-17,17.74601
2020-07-18,2.54237
2020-07-19,1.13837
2020-07-20,17.79661
2020-07-21,16.16493
2020-07-22,17.99898
2020-07-23,16.41791
2020-07-24,19.84568
2020-07-25,3.55426
2020-07-26,1.03718
2020-07-27,14.95067
2020-07-28,14.90007
2020-07-29,14.81153
2020-07-30,19.21325
2020-07-31,13.93878
2020-08-01,2.2641
2020-08-02,0.79686
2020-08-03,11.58613
2020-08-04,10.71338
2020-08-05,10.71338
2020-08-06,13.20516
2020-08-07,10.87781
2020-08-08,2.22615
2020-08-09,0.67037
2020-08-10,12.93953
2020-08-11,13.59726
2020-08-12,15.35542
2020-08-13,13.16721
2020-08-14,12.66126
2020-08-15,1.80875
2020-08-16,0.72097
2020-08-17,10.78927
2020-08-18,16.40526
2020-08-19,14.00202
2020-08-20,19.18795
2020-08-21,11.96559
2020-08-22,2.04907
2020-08-23,0.59448
2020-08-24,12.93953
2020-08-25,12.8004
2020-08-26,13.25575
2020-08-27,12.72451
2020-08-28,9.67619
2020-08-29,1.53048
2020-08-30,0.34151
2020-08-31,11.01694
2020-09-01,10.37186
2020-09-02,8.84138
2020-09-03,10.35922
2020-09-04,21.84416
2020-09-05,2.98507
2020-09-06,1.20161
2020-09-07,13.88818
2020-09-08,21.76827
2020-09-09,25.22135
2020-09-10,19.28914
2020-09-11,16.30407
2020-09-12,2.39058
2020-09-13,0.92334
2020-09-14,14.29294
2020-09-15,12.24386
2020-09-16,13.2431
2020-09-17,20.42752
2020-09-18,14.81153
2020-09-19,2.64356
2020-09-20,1.21426
2020-09-21,26.54945
2020-09-22,32.25398
2020-09-23,21.71768
2020-09-24,34.8596
2020-09-25,20.38957
2020-09-26,3.50366
2020-09-27,1.16367
2020-09-28,15.51985
2020-09-29,12.78775
2020-09-30,9.28408
2020-10-01,8.6643
2020-10-02,38.0091
2020-10-03,6.56463
2020-10-04,2.52972
2020-10-05,15.87401
2020-10-06,16.98709
2020-10-07,17.12623
2020-10-08,11.0043
2020-10-09,7.43738
2020-10-10,1.70756
2020-10-11,0.84745
2020-10-12,12.93953
2020-10-13,12.68656
2020-10-14,14.02732
2020-10-15,22.53984
2020-10-16,15.81077
2020-10-17,2.18821
2020-10-18,0.78421
2020-10-19,13.76169
2020-10-20,16.26612
2020-10-21,16.53174
2020-10-22,18.30255
2020-10-23,10.66278
2020-10-24,1.7961
2020-10-25,0.70832
2020-10-26,16.83531
2020-10-27,20.06071
2020-10-28,26.66329
2020-10-29,29.55982
2020-10-30,27.16923
2020-10-31,3.98431
2020-11-01,1.93523
2020-11-02,21.89476
2020-11-03,19.01087
2020-11-04,29.18036
2020-11-05,22.31216
2020-11-06,18.32785
2020-11-07,2.7068
2020-11-08,1.37869
2020-11-09,24.46243
2020-11-10,25.89172
2020-11-11,20.52871
2020-11-12,20.22514
2020-11-13,15.46926
2020-11-14,1.93523
2020-11-15,0.99924
2020-11-16,15.60839
2020-11-17,14.57121
2020-11-18,14.21705
2020-11-19,16.07639
2020-11-20,10.4857
2020-11-21,2.03642
2020-11-22,0.77156
2020-11-23,11.13078
2020-11-24,10.99165
2020-11-25,14.16645
2020-11-26,11.52289
2020-11-27,9.1323
2020-11-28,1.69491
2020-11-29,0.56918
2020-11-30,12.47154
2020-12-01,10.32127
2020-12-02,11.3964
2020-12-03,10.30862
2020-12-04,7.79155
2020-12-05,1.18897
2020-12-06,0.53124
2020-12-07,10.59954
2020-12-08,12.28181
2020-12-09,10.22008
2020-12-10,12.16797
2020-12-11,10.42246
2020-12-12,1.84669
2020-12-13,0.68302
2020-12-14,11.32051
2020-12-15,11.63673
2020-12-16,10.78927
2020-12-17,10.78927
2020-12-18,8.80344
2020-12-19,1.73286
2020-12-20,0.48064
2020-12-21,21.79357
2020-12-22,18.92233
2020-12-23,12.87629
2020-12-24,8.13306
2020-12-25,1.88464
2020-12-26,0.60713
2020-12-27,0.64507
2020-12-28,7.85479
2020-12-29,8.171
2020-12-30,7.00733
2020-12-31,2.92183
2021-01-01,0.82216
2021-01-02,0.55653
2021-01-03,0.74626
2021-01-04,8.31014
2021-01-05,14.40677
2021-01-06,18.40374
2021-01-07,14.76094
2021-01-08,10.15684
2021-01-09,1.92259
2021-01-10,0.64507
2021-01-11,16.13964
2021-01-12,15.35542
2021-01-13,12.40829
2021-01-14,13.7364
2021-01-15,13.66051
2021-01-16,3.16215
2021-01-17,1.80875
2021-01-18,13.57197
2021-01-19,13.86288
2021-01-20,12.95218
2021-01-21,12.06678
2021-01-22,12.3577
2021-01-23,3.18745
2021-01-24,1.3281
2021-01-25,11.45965
2021-01-26,17.8725
2021-01-27,19.79509
2021-01-28,37.70554
2021-01-29,29.3195
2021-01-30,7.3109
2021-01-31,2.71945
2021-02-01,27.63723
2021-02-02,20.97141
