date,아마존주가
2020-03-20,28.28324
2020-03-21,20.25488
2020-03-22,13.22156
2020-03-23,20.69788
2020-03-24,27.25414
2020-03-25,25.31861
2020-03-26,22.20404
2020-03-27,19.62107
2020-03-28,13.06481
2020-03-29,14.34607
2020-03-30,14.51645
2020-03-31,17.2221
2020-04-01,18.25802
2020-04-02,19.18489
2020-04-03,14.00531
2020-04-04,10.04566
2020-04-05,8.3214
2020-04-06,12.33558
2020-04-07,16.70415
2020-04-08,27.29503
2020-04-09,18.33299
2020-04-10,12.34239
2020-04-11,8.27369
2020-04-12,7.13555
2020-04-13,16.30205
2020-04-14,28.98521
2020-04-15,26.97471
2020-04-16,26.89974
2020-04-17,38.1517
2020-04-18,19.57336
2020-04-19,11.81762
2020-04-20,16.79274
2020-04-21,23.92148
2020-04-22,25.36631
2020-04-23,23.04913
2020-04-24,17.93089
2020-04-25,13.97123
2020-04-26,10.84304
2020-04-27,90.39051
2020-04-28,20.69788
2020-04-29,19.66196
2020-04-30,16.7723
2020-05-01,19.84597
2020-05-02,16.86771
2020-05-03,7.92612
2020-05-04,11.79036
2020-05-05,12.27424
2020-05-06,13.04436
2020-05-07,12.26742
2020-05-08,10.97253
2020-05-09,9.22101
2020-05-10,5.84065
2020-05-11,8.57357
2020-05-12,12.54003
2020-05-13,11.62679
2020-05-14,12.28106
2020-05-15,10.78852
2020-05-16,8.43045
2020-05-17,5.20002
2020-05-18,9.03019
2020-05-19,12.67634
2020-05-20,13.47372
2020-05-21,13.40557
2020-05-22,13.1943
2020-05-23,8.86662
2020-05-24,5.26817
2020-05-25,8.97566
2020-05-26,10.3319
2020-05-27,13.24882
2020-05-28,12.1243
2020-05-29,10.72718
2020-05-30,7.04014
2020-05-31,4.69569
2020-06-01,8.22599
2020-06-02,10.66584
2020-06-03,10.97934
2020-06-04,11.72902
2020-06-05,10.65903
2020-06-06,9.22783
2020-06-07,5.13187
2020-06-08,8.59401
2020-06-09,13.9099
2020-06-10,19.07585
2020-06-11,16.84727
2020-06-12,18.50337
2020-06-13,9.65719
2020-06-14,5.3704
2020-06-15,9.80031
2020-06-16,12.62863
2020-06-17,12.02889
2020-06-18,12.69679
2020-06-19,12.00163
2020-06-20,8.15784
2020-06-21,4.66162
2020-06-22,7.97382
2020-06-23,14.312
2020-06-24,15.01397
2020-06-25,14.39378
2020-06-26,12.62182
2020-06-27,9.7049
2020-06-28,4.73659
2020-06-29,9.05063
2020-06-30,12.13112
2020-07-01,13.4192
2020-07-02,19.24623
2020-07-03,14.5369
2020-07-04,6.16097
2020-07-05,5.46582
2020-07-06,12.15838
2020-07-07,26.63395
2020-07-08,19.92775
2020-07-09,22.81741
2020-07-10,25.1346
2020-07-11,18.2035
2020-07-12,9.45955
2020-07-13,17.25618
2020-07-14,28.41273
2020-07-15,27.4177
2020-07-16,30.04157
2020-07-17,24.63708
