date,동운아나텍주가
2020-03-20,0.2333
2020-03-21,0.03499
2020-03-23,0.39661
2020-03-24,0.24496
2020-03-25,0.47827
2020-03-26,0.64741
2020-03-27,0.47827
2020-03-28,0.02916
2020-03-30,0.36745
2020-03-31,0.33245
2020-04-01,0.37911
2020-04-02,0.39661
2020-04-03,0.32079
2020-04-05,0.04666
2020-04-06,0.38495
2020-04-07,0.62992
2020-04-08,0.62992
2020-04-09,0.47827
2020-04-10,0.30912
2020-04-11,0.05832
2020-04-12,0.04666
2020-04-13,0.46077
2020-04-14,0.44911
2020-04-15,0.03499
2020-04-16,0.61242
2020-04-17,0.53076
2020-04-18,0.05832
2020-04-19,0.02916
2020-04-20,0.46077
2020-04-21,0.40244
2020-04-22,0.37328
2020-04-23,0.55993
2020-04-24,0.52493
2020-04-25,0.03499
2020-04-26,0.04082
2020-04-27,0.54826
2020-04-28,0.47827
2020-04-29,0.34995
2020-04-30,0.06415
2020-05-01,0.05832
2020-05-04,0.35578
2020-05-05,0.04666
2020-05-06,0.45494
2020-05-07,0.57159
2020-05-08,0.57159
2020-05-09,0.04082
2020-05-10,0.04082
2020-05-11,0.25663
2020-05-12,0.18081
2020-05-13,0.31496
2020-05-14,0.28579
2020-05-15,0.20997
2020-05-17,0.02916
2020-05-18,0.20414
2020-05-19,0.34995
2020-05-20,0.2158
2020-05-21,0.18664
2020-05-22,0.34412
2020-05-23,0.04666
2020-05-24,0.12248
2020-05-25,0.22747
2020-05-26,0.19247
2020-05-27,0.15748
2020-05-28,0.16331
2020-05-29,0.11665
2020-06-01,0.16914
2020-06-02,0.12831
2020-06-03,0.12248
2020-06-04,0.36745
2020-06-05,0.34995
2020-06-07,0.03499
2020-06-08,0.1983
2020-06-09,0.13998
2020-06-10,0.2333
2020-06-11,0.18664
2020-06-12,0.33829
2020-06-15,0.13998
2020-06-16,0.15748
2020-06-17,0.20997
2020-06-18,0.27413
2020-06-19,0.2333
2020-06-20,0.03499
2020-06-21,0.06999
2020-06-22,0.65325
2020-06-23,0.41994
2020-06-24,0.30329
2020-06-25,0.11665
2020-06-26,0.18664
2020-06-27,0.07582
2020-06-28,0.06415
2020-06-29,0.10498
2020-06-30,0.08748
2020-07-01,0.08165
2020-07-02,0.11665
2020-07-03,0.19247
2020-07-05,0.04082
2020-07-06,0.2158
2020-07-07,0.24496
2020-07-08,0.11081
2020-07-09,0.12248
2020-07-10,0.08165
2020-07-13,0.09332
2020-07-14,0.09332
2020-07-15,0.11665
2020-07-16,0.14581
2020-07-17,0.19247
2020-07-18,0.06415
2020-07-19,0.02916
2020-07-20,0.16914
2020-07-21,0.09915
2020-07-22,0.06999
2020-07-23,0.08165
2020-07-24,0.06999
2020-07-27,0.07582
