date,자동차보험료비교견적
2020-03-20,40.89912
2020-03-21,27.41228
2020-03-22,26.97368
2020-03-23,52.57675
2020-03-24,49.83552
2020-03-25,41.72149
2020-03-26,43.3114
2020-03-27,40.24122
2020-03-28,22.91666
2020-03-29,27.13815
2020-03-30,53.125
2020-03-31,47.64254
2020-04-01,49.89035
2020-04-02,46.49122
2020-04-03,43.36622
2020-04-04,29.38596
2020-04-05,29.98903
2020-04-06,61.01973
2020-04-07,49.89035
2020-04-08,49.83552
2020-04-09,51.97368
2020-04-10,45.06578
2020-04-11,26.53508
2020-04-12,30.8114
2020-04-13,63.54166
2020-04-14,45.7785
2020-04-15,34.21052
2020-04-16,55.48245
2020-04-17,53.83771
2020-04-18,25.60307
2020-04-19,32.40131
2020-04-20,62.2807
2020-04-21,51.86403
2020-04-22,58.11403
2020-04-23,51.53508
2020-04-24,45.72368
2020-04-25,29.60526
2020-04-26,30.53728
2020-04-27,59.53947
2020-04-28,50.21929
2020-04-29,45.72368
2020-04-30,29.11184
2020-05-01,32.12719
2020-05-02,26.15131
2020-05-03,27.08333
2020-05-04,61.12938
2020-05-05,38.21271
2020-05-06,60.63596
2020-05-07,57.62061
2020-05-08,55.31798
2020-05-09,34.70394
2020-05-10,28.94736
2020-05-11,62.33552
2020-05-12,69.57236
2020-05-13,63.92543
2020-05-14,59.21052
2020-05-15,58.60745
2020-05-16,30.8114
2020-05-17,30.75657
2020-05-18,65.13157
2020-05-19,67.05043
2020-05-20,62.11622
2020-05-21,45.01096
2020-05-22,48.79385
2020-05-23,32.07236
2020-05-24,31.30482
2020-05-25,63.32236
2020-05-26,56.35964
2020-05-27,54.55043
2020-05-28,51.97368
2020-05-29,41.22807
2020-05-30,24.1228
2020-05-31,27.13815
2020-06-01,57.29166
2020-06-02,53.89254
2020-06-03,56.68859
2020-06-04,53.83771
2020-06-05,46.76535
2020-06-06,25.0
2020-06-07,28.67324
2020-06-08,64.19956
2020-06-09,53.89254
2020-06-10,54.60526
2020-06-11,54.76973
2020-06-12,43.91447
2020-06-13,29.71491
2020-06-14,33.2785
2020-06-15,64.25438
2020-06-16,56.14035
2020-06-17,51.48026
2020-06-18,49.5614
2020-06-19,44.40789
2020-06-20,23.62938
2020-06-21,28.78289
2020-06-22,61.45833
2020-06-23,50.10964
2020-06-24,55.3728
2020-06-25,47.69736
2020-06-26,46.49122
2020-06-27,25.82236
2020-06-28,30.8114
2020-06-29,56.41447
2020-06-30,57.73026
2020-07-01,55.86622
2020-07-02,57.12719
2020-07-03,47.64254
2020-07-04,26.53508
2020-07-05,26.91885
2020-07-06,59.21052
2020-07-07,50.05482
2020-07-08,50.21929
2020-07-09,45.55921
2020-07-10,47.80701
2020-07-11,27.41228
2020-07-12,30.26315
2020-07-13,60.80043
2020-07-14,59.92324
2020-07-15,54.93421
2020-07-16,51.37061
2020-07-17,44.73684
2020-07-18,25.32894
2020-07-19,28.78289
2020-07-20,58.16885
2020-07-21,50.65789
2020-07-22,53.34429
2020-07-23,49.06798
2020-07-24,42.81798
2020-07-25,28.17982
2020-07-26,25.32894
2020-07-27,56.74342
2020-07-28,48.73903
2020-07-29,49.23245
2020-07-30,45.83333
2020-07-31,39.14473
2020-08-01,24.17763
2020-08-02,21.76535
2020-08-03,49.61622
2020-08-04,53.34429
2020-08-05,46.60087
2020-08-06,59.64912
2020-08-07,47.64254
2020-08-08,24.94517
2020-08-09,25.60307
2020-08-10,58.9364
2020-08-11,52.30263
2020-08-12,46.32675
2020-08-13,37.93859
2020-08-14,41.72149
2020-08-15,23.30043
2020-08-16,26.53508
2020-08-17,37.44517
2020-08-18,57.34649
2020-08-19,63.76096
2020-08-20,53.17982
2020-08-21,46.71052
2020-08-22,29.00219
2020-08-23,31.25
2020-08-24,62.66447
2020-08-25,55.09868
2020-08-26,52.63157
2020-08-27,48.95833
2020-08-28,42.59868
2020-08-29,28.45394
2020-08-30,27.30263
2020-08-31,63.37719
2020-09-01,58.88157
2020-09-02,58.88157
2020-09-03,52.9057
2020-09-04,45.9978
2020-09-05,25.27412
2020-09-06,23.68421
2020-09-07,57.51096
2020-09-08,53.61842
2020-09-09,47.20394
2020-09-10,46.60087
2020-09-11,47.86184
2020-09-12,26.75438
2020-09-13,27.35745
2020-09-14,58.22368
2020-09-15,54.49561
2020-09-16,56.35964
2020-09-17,49.94517
2020-09-18,49.50657
2020-09-19,27.57675
2020-09-20,26.58991
2020-09-21,57.18201
2020-09-22,55.09868
2020-09-23,51.53508
2020-09-24,49.89035
2020-09-25,43.91447
2020-09-26,23.9035
2020-09-27,26.31578
2020-09-28,52.9057
2020-09-29,42.98245
2020-09-30,20.39473
2020-10-01,24.06798
2020-10-02,23.9035
2020-10-03,23.62938
2020-10-04,27.52192
2020-10-05,84.48464
2020-10-06,78.89254
2020-10-07,69.73684
2020-10-08,59.53947
2020-10-09,34.10087
2020-10-10,29.87938
2020-10-11,33.60745
2020-10-12,73.84868
2020-10-13,65.73464
2020-10-14,62.00657
2020-10-15,53.23464
2020-10-16,50.71271
2020-10-17,30.92105
2020-10-18,29.76973
