date,금한돈중량
2020-03-20,29.4714
2020-03-21,20.44071
2020-03-22,16.43909
2020-03-23,18.65621
2020-03-24,24.6316
2020-03-25,20.44071
2020-03-26,20.00811
2020-03-27,16.61484
2020-03-28,17.76395
2020-03-29,15.11423
2020-03-30,14.85737
2020-03-31,14.78977
2020-04-01,14.04623
2020-04-02,14.99256
2020-04-03,12.74841
2020-04-04,16.49317
2020-04-05,16.68243
2020-04-06,13.78937
2020-04-07,15.35757
2020-04-08,17.19616
2020-04-09,14.19494
2020-04-10,21.17074
2020-04-11,18.92659
2020-04-12,45.04528
2020-04-13,50.06083
2020-04-14,41.23293
2020-04-15,23.19859
2020-04-16,20.22441
2020-04-17,23.03636
2020-04-18,19.81884
2020-04-19,24.61808
2020-04-20,20.61646
2020-04-21,21.63039
2020-04-22,23.55008
2020-04-23,20.73813
2020-04-24,31.83723
2020-04-25,22.31985
2020-04-26,18.69676
2020-04-27,42.16574
2020-04-28,23.42841
2020-04-29,19.80532
2020-04-30,20.60294
2020-05-01,17.57469
2020-05-02,14.952
2020-05-03,19.42679
2020-05-04,18.08841
2020-05-05,18.21008
2020-05-06,21.2113
2020-05-07,19.61606
2020-05-08,19.7918
2020-05-09,18.57509
2020-05-10,17.66932
2020-05-11,17.25023
2020-05-12,17.4395
2020-05-13,14.81681
2020-05-14,14.84385
2020-05-15,16.45261
2020-05-16,16.19575
2020-05-17,16.47965
2020-05-18,29.33621
2020-05-19,32.43206
2020-05-20,20.9274
2020-05-21,18.91307
2020-05-22,17.50709
2020-05-23,15.11423
2020-05-24,18.57509
2020-05-25,18.89955
2020-05-26,19.42679
2020-05-27,16.47965
2020-05-28,16.52021
2020-05-29,16.20927
2020-05-30,16.81762
2020-05-31,15.85778
2020-06-01,16.56076
2020-06-02,19.99459
2020-06-03,17.91266
2020-06-04,15.08719
2020-06-05,15.20886
2020-06-06,15.56036
2020-06-07,16.11464
2020-06-08,15.87129
2020-06-09,16.53372
2020-06-10,16.60132
2020-06-11,14.99256
2020-06-12,15.99297
2020-06-13,17.33135
2020-06-14,16.95281
2020-06-15,19.87292
2020-06-16,17.30431
2020-06-17,15.97945
2020-06-18,15.83074
2020-06-19,14.62755
2020-06-20,16.81762
2020-06-21,14.24901
2020-06-22,19.0077
2020-06-23,19.75125
2020-06-24,16.45261
2020-06-25,17.18264
2020-06-26,16.15519
2020-06-27,20.6435
2020-06-28,15.14127
2020-06-29,17.088
2020-06-30,17.57469
2020-07-01,18.7238
2020-07-02,22.18466
2020-07-03,19.0077
2020-07-04,18.54806
2020-07-05,24.9831
2020-07-06,27.28133
2020-07-07,20.41368
2020-07-08,26.19981
2020-07-09,23.11748
2020-07-10,17.60173
2020-07-11,20.87332
2020-07-12,19.81884
2020-07-13,38.66432
2020-07-14,100.0
2020-07-15,54.22468
2020-07-16,29.52548
2020-07-17,27.29484
2020-07-18,25.53738
2020-07-19,28.7549
2020-07-20,23.37434
2020-07-21,21.25185
2020-07-22,53.04853
2020-07-23,61.30863
2020-07-24,54.53562
2020-07-25,63.80965
2020-07-26,35.31161
2020-07-27,66.97309
2020-07-28,91.33432
2020-07-29,81.56009
2020-07-30,34.68973
2020-07-31,28.80897
2020-08-01,28.55211
2020-08-02,25.34811
2020-08-03,21.7115
2020-08-04,18.85899
2020-08-05,39.11045
2020-08-06,26.64593
2020-08-07,28.55211
2020-08-08,22.07651
2020-08-09,28.28173
2020-08-10,22.54968
2020-08-11,24.96958
2020-08-12,37.39353
