date,AI관련주식
2020-03-20,8.49673
2020-03-21,7.84313
2020-03-22,3.92156
2020-03-23,4.57516
2020-03-26,5.22875
2020-03-27,3.92156
2020-03-28,8.49673
2020-03-29,5.88235
2020-03-30,4.57516
2020-04-02,7.84313
2020-04-06,9.15032
2020-04-08,3.92156
2020-04-14,4.57516
2020-04-15,4.57516
2020-04-16,3.26797
2020-04-17,5.88235
2020-04-18,3.26797
2020-04-19,7.84313
2020-04-20,3.26797
2020-04-21,3.92156
2020-04-22,4.57516
2020-04-23,13.72549
2020-04-24,11.7647
2020-04-25,3.92156
2020-04-26,3.92156
2020-04-27,4.57516
2020-05-02,3.92156
2020-05-05,4.57516
2020-05-06,10.45751
2020-05-08,6.53594
2020-05-11,5.22875
2020-05-12,5.22875
2020-05-13,3.92156
2020-05-14,3.92156
2020-05-15,3.92156
2020-05-16,4.57516
2020-05-17,3.26797
2020-05-19,6.53594
2020-05-20,3.92156
2020-05-23,5.22875
2020-05-24,5.22875
2020-05-25,7.18954
2020-05-26,3.26797
2020-05-28,3.26797
2020-06-04,6.53594
2020-06-05,6.53594
2020-06-06,5.22875
2020-06-07,3.92156
2020-06-08,6.53594
2020-06-09,3.92156
2020-06-10,3.92156
2020-06-13,9.80392
2020-06-16,7.18954
2020-06-17,3.26797
2020-06-18,3.92156
2020-06-20,3.92156
2020-06-24,4.57516
2020-07-05,5.22875
2020-07-06,6.53594
2020-07-08,4.57516
2020-07-13,3.92156
2020-07-14,3.26797
2020-07-15,3.92156
2020-07-19,3.26797
2020-07-23,3.92156
2020-07-26,3.92156
2020-08-06,4.57516
2020-08-08,5.22875
2020-08-09,3.26797
2020-08-10,3.26797
2020-08-11,3.26797
2020-08-15,5.88235
2020-08-19,3.26797
2020-08-23,3.92156
2020-08-24,3.26797
2020-08-28,3.92156
2020-08-30,3.26797
2020-09-01,4.57516
2020-09-02,6.53594
2020-09-03,3.26797
2020-09-05,3.92156
2020-09-07,4.57516
2020-09-09,3.26797
2020-09-10,3.92156
2020-09-14,3.92156
2020-09-22,3.26797
2020-09-24,3.26797
2020-10-01,3.26797
2020-10-04,3.26797
2020-10-25,5.22875
2020-10-26,3.26797
2020-10-30,5.22875
2020-11-03,3.26797
2020-11-10,6.53594
2020-11-16,3.26797
2020-11-18,8.49673
2020-11-19,7.84313
2020-11-22,5.88235
2020-11-23,3.92156
2020-11-24,4.57516
2020-11-25,9.15032
2020-11-26,7.84313
2020-11-27,6.53594
2020-11-28,18.95424
2020-11-29,13.07189
2020-11-30,11.7647
2020-12-01,3.92156
2020-12-02,11.11111
2020-12-03,5.88235
2020-12-05,7.84313
2020-12-06,5.88235
2020-12-07,14.37908
2020-12-08,9.15032
2020-12-09,5.22875
2020-12-10,6.53594
2020-12-11,7.18954
2020-12-12,7.18954
2020-12-13,6.53594
2020-12-14,5.88235
2020-12-15,3.26797
2020-12-16,12.4183
2020-12-17,9.15032
2020-12-18,5.88235
2020-12-19,8.49673
2020-12-20,10.45751
2020-12-21,11.11111
2020-12-22,5.22875
2020-12-23,6.53594
2020-12-25,3.26797
2020-12-26,5.22875
2020-12-28,7.18954
2020-12-31,3.26797
2021-01-01,4.57516
2021-01-02,5.22875
2021-01-03,6.53594
2021-01-04,8.49673
2021-01-05,5.22875
2021-01-06,5.22875
2021-01-07,7.84313
2021-01-09,6.53594
2021-01-10,7.18954
2021-01-11,9.80392
2021-01-12,13.07189
2021-01-13,7.18954
2021-01-14,6.53594
2021-01-15,6.53594
2021-01-17,13.72549
2021-01-18,6.53594
2021-01-19,3.92156
2021-01-20,3.92156
2021-01-21,9.80392
2021-01-22,5.22875
2021-01-23,5.22875
2021-01-24,5.22875
2021-01-25,7.18954
2021-01-26,5.88235
2021-01-27,10.45751
2021-01-28,12.4183
2021-01-29,5.88235
2021-01-30,13.07189
2021-01-31,23.52941
2021-02-01,5.22875
2021-02-02,11.11111
2021-02-03,12.4183
2021-02-04,7.84313
2021-02-05,10.45751
2021-02-06,18.95424
2021-02-07,13.07189
2021-02-08,15.68627
2021-02-09,13.07189
2021-02-10,7.18954
2021-02-11,9.15032
2021-02-12,6.53594
2021-02-13,12.4183
2021-02-14,17.64705
2021-02-15,30.71895
2021-02-16,16.33986
2021-02-17,14.37908
2021-02-18,11.7647
2021-02-19,3.26797
2021-02-20,7.84313
2021-02-21,6.53594
2021-02-22,5.88235
2021-02-23,7.84313
2021-02-24,5.88235
2021-02-25,3.26797
2021-02-26,5.22875
2021-02-28,17.64705
2021-03-01,4.57516
2021-03-02,7.18954
2021-03-03,3.92156
2021-03-04,3.92156
2021-03-05,3.26797
2021-03-06,3.92156
2021-03-07,7.18954
2021-03-11,9.15032
2021-03-13,5.88235
2021-03-14,5.88235
2021-03-15,3.26797
2021-03-16,8.49673
2021-03-18,5.88235
2021-03-19,4.57516
2021-03-29,4.57516
2021-03-31,3.26797
2021-04-02,4.57516
2021-04-06,3.26797
2021-04-15,3.26797
2021-04-20,4.57516
2021-04-26,3.26797
2021-05-02,3.26797
2021-05-11,3.26797
2021-05-12,3.26797
2021-05-17,5.22875
2021-05-21,3.92156
2021-05-29,3.26797
2021-05-30,3.92156
2021-05-31,3.92156
2021-06-02,4.57516
2021-06-06,3.92156
2021-06-15,3.26797
2021-06-16,3.92156
2021-06-27,3.26797
2021-07-06,3.92156
2021-07-07,5.88235
2021-07-15,8.49673
2021-07-20,3.92156
2021-07-21,3.92156
2021-07-22,5.22875
2021-07-27,3.26797
2021-07-29,3.26797
2021-08-05,3.92156
2021-08-07,3.26797
2021-08-09,3.26797
2021-08-11,3.26797
