date,마석역
2020-03-20,0.80706
2020-03-21,0.81467
2020-03-22,0.63194
2020-03-23,0.7176
2020-03-24,0.74615
2020-03-25,0.64146
2020-03-26,0.70427
2020-03-27,0.58816
2020-03-28,0.69095
2020-03-29,0.71189
2020-03-30,0.78041
2020-03-31,0.74996
2020-04-01,0.6662
2020-04-02,0.78612
2020-04-03,0.75757
2020-04-04,0.7728
2020-04-05,0.6662
2020-04-06,0.74805
2020-04-07,0.73663
2020-04-08,0.71189
2020-04-09,0.78232
2020-04-10,0.82038
2020-04-11,0.78232
2020-04-12,0.73283
2020-04-13,0.85084
2020-04-14,0.87178
2020-04-15,0.96885
2020-04-16,0.90985
2020-04-17,0.89843
2020-04-18,0.85084
2020-04-19,0.71569
2020-04-20,0.76328
2020-04-21,0.7747
2020-04-22,0.95553
2020-04-23,0.76328
2020-04-24,0.93269
2020-04-25,0.94792
2020-04-26,0.90033
2020-04-27,0.81467
2020-04-28,0.94411
2020-04-29,0.90985
2020-04-30,1.14017
2020-05-01,1.15159
2020-05-02,1.03357
2020-05-03,1.01263
2020-05-04,1.03357
2020-05-05,1.07545
2020-05-06,1.05832
2020-05-07,0.95363
2020-05-08,0.98789
2020-05-09,0.93459
2020-05-10,0.89462
2020-05-11,1.03548
2020-05-12,0.90985
2020-05-13,0.88701
2020-05-14,0.95363
2020-05-15,0.96695
2020-05-16,0.99741
2020-05-17,0.95363
2020-05-18,0.79945
2020-05-19,0.84323
2020-05-20,0.98789
2020-05-21,1.0507
2020-05-22,1.11732
2020-05-23,1.02215
2020-05-24,0.76899
2020-05-25,0.98789
2020-05-26,0.8813
2020-05-27,0.84703
2020-05-28,0.78041
2020-05-29,0.82229
2020-05-30,0.92317
2020-05-31,0.79183
2020-06-01,0.84703
2020-06-02,0.76709
2020-06-03,0.84132
2020-06-04,0.95743
2020-06-05,1.02786
2020-06-06,1.09258
2020-06-07,0.94411
2020-06-08,0.98218
2020-06-09,0.94411
2020-06-10,0.75757
2020-06-11,0.90985
2020-06-12,0.93079
2020-06-13,1.00312
2020-06-14,0.94411
2020-06-15,0.97647
2020-06-16,0.8851
2020-06-17,1.02977
2020-06-18,0.97456
2020-06-19,1.10781
2020-06-20,1.18585
2020-06-21,1.00121
2020-06-22,1.04309
2020-06-23,1.04309
2020-06-24,0.84703
2020-06-25,0.96695
2020-06-26,1.07354
2020-06-27,1.04119
2020-06-28,0.98408
2020-06-29,0.95172
2020-06-30,1.13255
2020-07-01,1.03738
2020-07-02,1.06593
2020-07-03,1.22772
2020-07-04,1.14968
2020-07-05,1.05451
2020-07-06,1.04309
2020-07-07,0.97647
2020-07-08,1.08877
2020-07-09,0.94982
2020-07-10,1.01263
2020-07-11,1.11732
2020-07-12,0.85845
2020-07-13,0.86797
2020-07-14,1.01073
2020-07-15,0.94601
2020-07-16,1.01073
2020-07-17,1.18585
2020-07-18,1.2125
2020-07-19,0.87368
2020-07-20,0.99741
2020-07-21,0.90604
2020-07-22,1.00692
2020-07-23,0.89081
2020-07-24,1.00502
2020-07-25,1.11161
2020-07-26,0.9936
2020-07-27,1.02215
2020-07-28,0.97456
2020-07-29,0.83752
2020-07-30,0.96695
2020-07-31,1.12494
2020-08-01,100.0
2020-08-02,5.30683
2020-08-03,2.11093
2020-08-04,1.88061
2020-08-05,1.07735
2020-08-06,5.24592
2020-08-07,3.58801
2020-08-08,1.52276
2020-08-09,0.80325
2020-08-10,0.93079
2020-08-11,0.8832
2020-08-12,0.96505
2020-08-13,0.89652
2020-08-14,0.98789
2020-08-15,0.81848
2020-08-16,0.79945
2020-08-17,1.03548
2020-08-18,0.84132
2020-08-19,0.82419
2020-08-20,0.72712
2020-08-21,0.78422
