date,채권수익률
2020-03-20,19.43887
2020-03-21,12.02404
2020-03-22,12.72545
2020-03-23,28.05611
2020-03-24,17.83567
2020-03-25,16.03206
2020-03-26,19.73947
2020-03-27,13.82765
2020-03-28,7.51503
2020-03-29,8.21643
2020-03-30,14.92985
2020-03-31,12.12424
2020-04-01,11.22244
2020-04-02,8.21643
2020-04-03,8.31663
2020-04-04,6.61322
2020-04-05,7.11422
2020-04-06,9.41883
2020-04-07,10.92184
2020-04-08,10.42084
2020-04-09,11.22244
2020-04-10,10.12024
2020-04-11,5.31062
2020-04-12,6.81362
2020-04-13,9.31863
2020-04-14,8.51703
2020-04-15,8.01603
2020-04-16,10.72144
2020-04-17,9.81963
2020-04-18,6.71342
2020-04-19,8.11623
2020-04-20,9.41883
2020-04-21,8.51703
2020-04-22,10.62124
2020-04-23,12.02404
2020-04-24,8.61723
2020-04-25,5.11022
2020-04-26,7.21442
2020-04-27,8.01603
2020-04-28,9.81963
2020-04-29,8.21643
2020-04-30,7.11422
2020-05-01,5.91182
2020-05-02,5.81162
2020-05-03,7.21442
2020-05-04,8.51703
2020-05-05,8.01603
2020-05-06,11.52304
2020-05-07,9.91983
2020-05-08,10.12024
2020-05-09,5.91182
2020-05-10,6.31262
2020-05-11,8.81763
2020-05-12,9.61923
2020-05-13,8.01603
2020-05-14,8.71743
2020-05-15,8.11623
2020-05-16,5.81162
2020-05-17,6.01202
2020-05-18,8.01603
2020-05-19,9.31863
2020-05-20,11.12224
2020-05-21,10.92184
2020-05-22,8.31663
2020-05-23,6.11222
2020-05-24,6.41282
2020-05-25,9.71943
2020-05-26,9.61923
2020-05-27,9.81963
2020-05-28,8.91783
2020-05-29,7.51503
2020-05-30,5.71142
2020-05-31,6.61322
2020-06-01,6.91382
2020-06-02,8.81763
2020-06-03,11.12224
2020-06-04,9.31863
2020-06-05,7.61523
2020-06-06,6.21242
2020-06-07,10.22044
2020-06-08,12.12424
2020-06-09,10.82164
2020-06-10,10.02004
2020-06-11,9.31863
2020-06-12,9.01803
2020-06-13,9.21843
2020-06-14,7.71543
2020-06-15,10.32064
2020-06-16,8.61723
2020-06-17,8.01603
2020-06-18,9.81963
2020-06-19,7.01402
2020-06-20,7.71543
2020-06-21,7.61523
2020-06-22,6.81362
2020-06-23,7.71543
2020-06-24,9.81963
2020-06-25,8.91783
2020-06-26,6.71342
2020-06-27,4.50901
2020-06-28,4.20841
2020-06-29,5.91182
2020-06-30,6.61322
2020-07-01,7.31462
2020-07-02,6.61322
2020-07-03,5.31062
2020-07-04,3.70741
2020-07-05,3.20641
2020-07-06,5.91182
2020-07-07,5.21042
2020-07-08,5.91182
2020-07-09,5.31062
2020-07-10,5.61122
2020-07-11,3.80761
2020-07-12,4.80961
2020-07-13,6.31262
2020-07-14,7.01402
2020-07-15,6.31262
2020-07-16,6.41282
2020-07-17,5.01002
2020-07-18,4.00801
2020-07-19,3.20641
2020-07-20,6.41282
2020-07-21,5.31062
2020-07-22,6.01202
2020-07-23,4.50901
2020-07-24,5.11022
2020-07-25,4.10821
2020-07-26,4.00801
2020-07-27,8.41683
2020-07-28,7.21442
2020-07-29,6.31262
2020-07-30,6.31262
2020-07-31,5.81162
2020-08-01,3.70741
2020-08-02,5.41082
2020-08-03,6.21242
2020-08-04,7.21442
2020-08-05,10.32064
2020-08-06,6.71342
2020-08-07,6.01202
2020-08-08,4.60921
2020-08-09,6.41282
2020-08-10,7.91583
2020-08-11,9.51903
2020-08-12,12.32464
2020-08-13,8.51703
2020-08-14,7.41482
2020-08-15,4.50901
2020-08-16,3.80761
2020-08-17,6.81362
2020-08-18,6.71342
2020-08-19,7.41482
2020-08-20,6.71342
2020-08-21,6.91382
2020-08-22,4.30861
2020-08-23,5.51102
2020-08-24,6.71342
