date,정기예금이율
2020-03-20,50.0
2020-03-21,19.76744
2020-03-22,21.80232
2020-03-23,51.74418
2020-03-24,36.6279
2020-03-25,50.87209
2020-03-26,58.43023
2020-03-27,52.61627
2020-03-28,16.56976
2020-03-29,20.93023
2020-03-30,48.25581
2020-03-31,61.9186
2020-04-01,52.32558
2020-04-02,54.65116
2020-04-03,43.89534
2020-04-04,20.34883
2020-04-05,20.63953
2020-04-06,54.06976
2020-04-07,48.25581
2020-04-08,40.98837
2020-04-09,43.60465
2020-04-10,49.1279
2020-04-11,22.09302
2020-04-12,23.54651
2020-04-13,53.77906
2020-04-14,51.16279
2020-04-15,30.23255
2020-04-16,46.51162
2020-04-17,50.58139
2020-04-18,19.76744
2020-04-19,24.1279
2020-04-20,57.26744
2020-04-21,53.19767
2020-04-22,47.09302
2020-04-23,51.16279
2020-04-24,54.94186
2020-04-25,20.34883
2020-04-26,21.51162
2020-04-27,59.88372
2020-04-28,46.80232
2020-04-29,51.16279
2020-04-30,21.22093
2020-05-01,22.67441
2020-05-02,15.40697
2020-05-03,21.51162
2020-05-04,45.63953
2020-05-05,26.74418
2020-05-06,47.67441
2020-05-07,40.11627
2020-05-08,46.80232
2020-05-09,23.54651
2020-05-10,23.8372
2020-05-11,49.1279
2020-05-12,40.98837
2020-05-13,47.67441
2020-05-14,38.08139
2020-05-15,40.69767
2020-05-16,18.89534
2020-05-17,19.47674
2020-05-18,43.02325
2020-05-19,38.66279
2020-05-20,35.17441
2020-05-21,37.79069
2020-05-22,29.94186
2020-05-23,16.56976
2020-05-24,18.89534
2020-05-25,48.25581
2020-05-26,38.95348
2020-05-27,34.59302
2020-05-28,36.3372
2020-05-29,35.46511
2020-05-30,14.24418
2020-05-31,18.31395
2020-06-01,45.05813
2020-06-02,32.55813
2020-06-03,35.46511
2020-06-04,30.81395
2020-06-05,29.36046
2020-06-06,16.27906
2020-06-07,14.24418
2020-06-08,27.90697
2020-06-09,28.77906
2020-06-10,31.97674
2020-06-11,32.84883
2020-06-12,32.55813
2020-06-13,15.11627
2020-06-14,16.86046
2020-06-15,32.55813
2020-06-16,31.97674
2020-06-17,28.19767
2020-06-18,29.65116
2020-06-19,23.8372
2020-06-20,11.04651
2020-06-21,13.37209
2020-06-22,29.94186
2020-06-23,32.26744
2020-06-24,23.8372
2020-06-25,44.76744
2020-06-26,33.72093
2020-06-27,19.18604
2020-06-28,11.3372
2020-06-29,40.69767
2020-06-30,38.95348
2020-07-01,45.63953
2020-07-02,37.2093
2020-07-03,32.84883
2020-07-04,13.95348
2020-07-05,19.18604
2020-07-06,36.6279
2020-07-07,35.75581
2020-07-08,34.88372
2020-07-09,35.17441
2020-07-10,37.5
2020-07-11,12.5
2020-07-12,18.31395
2020-07-13,37.5
2020-07-14,30.52325
2020-07-15,38.37209
2020-07-16,31.97674
2020-07-17,26.45348
2020-07-18,9.59302
2020-07-19,15.11627
2020-07-20,42.15116
2020-07-21,38.37209
2020-07-22,37.2093
2020-07-23,45.93023
2020-07-24,29.36046
2020-07-25,13.37209
2020-07-26,18.02325
2020-07-27,42.15116
2020-07-28,39.82558
2020-07-29,38.66279
2020-07-30,43.02325
2020-07-31,34.01162
2020-08-01,17.44186
2020-08-02,14.24418
2020-08-03,38.95348
2020-08-04,39.82558
2020-08-05,38.95348
2020-08-06,32.26744
2020-08-07,27.32558
2020-08-08,16.27906
2020-08-09,12.5
2020-08-10,28.19767
2020-08-11,34.59302
2020-08-12,42.44186
2020-08-13,39.24418
2020-08-14,29.36046
2020-08-15,14.24418
2020-08-16,10.46511
2020-08-17,17.73255
2020-08-18,39.53488
2020-08-19,36.04651
2020-08-20,40.98837
2020-08-21,32.84883
2020-08-22,16.27906
2020-08-23,18.02325
2020-08-24,44.18604
2020-08-25,44.47674
2020-08-26,34.88372
2020-08-27,36.9186
2020-08-28,35.17441
2020-08-29,14.24418
2020-08-30,14.24418
2020-08-31,39.53488
2020-09-01,29.36046
2020-09-02,34.88372
2020-09-03,25.29069
2020-09-04,31.68604
2020-09-05,13.37209
2020-09-06,16.56976
2020-09-07,29.06976
2020-09-08,38.66279
2020-09-09,27.61627
2020-09-10,43.60465
2020-09-11,33.13953
2020-09-12,12.79069
2020-09-13,14.82558
2020-09-14,31.10465
2020-09-15,35.17441
2020-09-16,28.19767
2020-09-17,33.43023
2020-09-18,27.61627
2020-09-19,13.37209
2020-09-20,11.9186
2020-09-21,29.65116
2020-09-22,26.74418
2020-09-23,28.48837
2020-09-24,23.8372
2020-09-25,34.01162
2020-09-26,11.9186
2020-09-27,14.82558
2020-09-28,35.75581
2020-09-29,31.39534
2020-09-30,15.98837
2020-10-01,17.73255
2020-10-02,9.30232
2020-10-03,15.69767
2020-10-04,18.02325
2020-10-05,65.11627
2020-10-06,43.31395
2020-10-07,39.53488
2020-10-08,45.63953
2020-10-09,18.60465
2020-10-10,15.98837
2020-10-11,11.6279
2020-10-12,28.48837
2020-10-13,34.30232
2020-10-14,40.11627
2020-10-15,34.59302
2020-10-16,36.3372
2020-10-17,16.56976
2020-10-18,10.17441
2020-10-19,31.10465
2020-10-20,28.48837
2020-10-21,30.52325
2020-10-22,30.23255
2020-10-23,18.31395
2020-10-24,10.75581
2020-10-25,7.55813
2020-10-26,31.68604
