date,제태크
2020-03-20,73.29974
2020-03-21,55.6675
2020-03-22,60.20151
2020-03-23,77.07808
2020-03-24,81.10831
2020-03-25,87.65743
2020-03-26,75.31486
2020-03-27,68.01007
2020-03-28,50.37783
2020-03-29,53.90428
2020-03-30,75.06297
2020-03-31,85.64231
2020-04-01,74.3073
2020-04-02,73.04785
2020-04-03,60.4534
2020-04-04,42.06549
2020-04-05,47.85894
2020-04-06,74.55919
2020-04-07,68.01007
2020-04-08,67.75818
2020-04-09,60.95717
2020-04-10,59.69773
2020-04-11,43.07304
2020-04-12,52.14105
2020-04-13,65.74307
2020-04-14,62.7204
2020-04-15,53.14861
2020-04-16,71.03274
2020-04-17,68.01007
2020-04-18,48.86649
2020-04-19,47.35516
2020-04-20,60.4534
2020-04-21,73.04785
2020-04-22,61.96473
2020-04-23,63.22418
2020-04-24,50.37783
2020-04-25,43.32493
2020-04-26,39.54659
2020-04-27,57.68261
2020-04-28,58.18639
2020-04-29,53.4005
2020-04-30,50.88161
2020-05-01,43.07304
2020-05-02,40.80604
2020-05-03,42.06549
2020-05-04,54.40806
2020-05-05,49.62216
2020-05-06,64.48362
2020-05-07,58.69017
2020-05-08,48.6146
2020-05-09,39.54659
2020-05-10,42.56926
2020-05-11,61.20906
2020-05-12,60.20151
2020-05-13,56.17128
2020-05-14,51.1335
2020-05-15,44.58438
2020-05-16,43.57682
2020-05-17,44.83627
2020-05-18,67.50629
2020-05-19,52.89672
2020-05-20,62.21662
2020-05-21,51.63727
2020-05-22,57.43073
2020-05-23,39.54659
2020-05-24,46.85138
2020-05-25,67.75818
2020-05-26,65.74307
2020-05-27,51.38539
2020-05-28,59.19395
2020-05-29,44.0806
2020-05-30,39.04282
2020-05-31,41.8136
2020-06-01,54.91183
2020-06-02,56.67506
2020-06-03,65.23929
2020-06-04,53.90428
2020-06-05,57.68261
2020-06-06,41.30982
2020-06-07,51.88916
2020-06-08,57.17884
2020-06-09,61.46095
2020-06-10,60.4534
2020-06-11,55.41561
2020-06-12,51.1335
2020-06-13,41.30982
2020-06-14,47.60705
2020-06-15,59.94962
2020-06-16,54.40806
2020-06-17,62.7204
2020-06-18,52.14105
2020-06-19,50.62972
2020-06-20,34.7607
2020-06-21,35.51637
2020-06-22,54.65994
2020-06-23,52.89672
2020-06-24,59.94962
2020-06-25,56.17128
2020-06-26,46.59949
2020-06-27,37.27959
2020-06-28,36.77581
2020-06-29,52.64483
2020-06-30,56.42317
2020-07-01,51.38539
2020-07-02,45.59193
2020-07-03,47.60705
2020-07-04,32.4937
2020-07-05,44.0806
2020-07-06,54.91183
2020-07-07,59.19395
2020-07-08,51.88916
2020-07-09,52.39294
2020-07-10,45.59193
2020-07-11,37.27959
2020-07-12,41.05793
2020-07-13,56.92695
2020-07-14,56.42317
2020-07-15,51.88916
2020-07-16,53.14861
2020-07-17,39.29471
2020-07-18,33.24937
2020-07-19,45.08816
2020-07-20,53.65239
2020-07-21,56.42317
2020-07-22,57.17884
2020-07-23,58.69017
2020-07-24,51.63727
2020-07-25,37.78337
2020-07-26,48.6146
2020-07-27,55.91939
2020-07-28,57.17884
2020-07-29,50.88161
2020-07-30,53.90428
2020-07-31,48.86649
2020-08-01,37.53148
2020-08-02,42.31738
2020-08-03,52.89672
2020-08-04,51.88916
2020-08-05,51.88916
2020-08-06,54.40806
2020-08-07,48.6146
2020-08-08,32.99748
2020-08-09,39.04282
2020-08-10,57.17884
2020-08-11,47.10327
2020-08-12,59.44584
2020-08-13,47.85894
2020-08-14,45.08816
2020-08-15,35.26448
2020-08-16,40.55415
2020-08-17,39.04282
2020-08-18,66.24685
2020-08-19,50.88161
2020-08-20,51.1335
2020-08-21,50.62972
2020-08-22,39.04282
2020-08-23,44.58438
2020-08-24,64.48362
2020-08-25,57.68261
2020-08-26,52.64483
2020-08-27,63.47607
2020-08-28,51.88916
2020-08-29,49.37027
2020-08-30,55.91939
2020-08-31,70.52896
2020-09-01,72.79596
2020-09-02,79.34508
2020-09-03,68.51385
2020-09-04,58.18639
2020-09-05,49.62216
2020-09-06,53.90428
2020-09-07,79.09319
2020-09-08,65.49118
2020-09-09,67.75818
2020-09-10,68.51385
2020-09-11,63.22418
2020-09-12,41.8136
2020-09-13,45.08816
2020-09-14,63.47607
2020-09-15,69.52141
2020-09-16,75.31486
2020-09-17,57.17884
2020-09-18,44.33249
2020-09-19,43.32493
2020-09-20,42.31738
2020-09-21,55.16372
2020-09-22,52.64483
2020-09-23,54.65994
2020-09-24,55.16372
2020-09-25,52.89672
2020-09-26,36.27204
2020-09-27,38.79093
2020-09-28,48.6146
2020-09-29,43.32493
2020-09-30,35.51637
2020-10-01,32.24181
2020-10-02,40.05037
2020-10-03,45.34005
2020-10-04,53.65239
2020-10-05,68.01007
2020-10-06,62.21662
2020-10-07,57.17884
2020-10-08,49.37027
2020-10-09,33.50125
2020-10-10,44.33249
2020-10-11,35.26448
2020-10-12,52.39294
2020-10-13,59.44584
2020-10-14,50.62972
2020-10-15,56.67506
2020-10-16,40.55415
2020-10-17,36.77581
2020-10-18,36.77581
2020-10-19,49.87405
2020-10-20,50.37783
2020-10-21,43.07304
2020-10-22,47.10327
2020-10-23,42.31738
2020-10-24,25.4408
2020-10-25,36.27204
2020-10-26,47.35516
2020-10-27,46.09571
2020-10-28,49.62216
2020-10-29,45.34005
2020-10-30,35.76826
2020-10-31,28.96725
2020-11-01,40.30226
2020-11-02,43.07304
2020-11-03,45.59193
2020-11-04,44.83627
2020-11-05,46.85138
2020-11-06,42.31738
2020-11-07,29.72292
2020-11-08,28.46347
2020-11-09,54.40806
2020-11-10,50.62972
2020-11-11,47.60705
2020-11-12,41.05793
2020-11-13,46.09571
2020-11-14,30.47858
2020-11-15,38.28715
2020-11-16,60.20151
2020-11-17,58.43828
2020-11-18,58.69017
2020-11-19,53.4005
2020-11-20,55.16372
2020-11-21,34.7607
2020-11-22,45.59193
2020-11-23,56.67506
2020-11-24,65.23929
2020-11-25,68.76574
2020-11-26,59.19395
2020-11-27,52.64483
2020-11-28,40.55415
2020-11-29,45.84382
2020-11-30,62.97229
2020-12-01,68.51385
2020-12-02,68.26196
