date,어도비주가
2020-03-20,2.19123
2020-03-21,2.24103
2020-03-22,0.3984
2020-03-23,1.29482
2020-03-24,1.94223
2020-03-25,2.44023
2020-03-26,2.68924
2020-03-27,2.34063
2020-03-28,1.24501
2020-03-29,0.5478
2020-03-30,1.44422
2020-03-31,1.54382
2020-04-01,1.54382
2020-04-02,1.44422
2020-04-03,1.54382
2020-04-04,1.24501
2020-04-05,1.09561
2020-04-06,1.89243
2020-04-07,3.13745
2020-04-08,3.13745
2020-04-09,2.14143
2020-04-10,1.49402
2020-04-11,0.5478
2020-04-12,1.89243
2020-04-13,1.64342
2020-04-14,2.88844
2020-04-15,3.23705
2020-04-16,2.93824
2020-04-17,4.23306
2020-04-18,1.99203
2020-04-19,0.79681
2020-04-20,2.09163
2020-04-21,2.39043
2020-04-22,2.68924
2020-04-23,2.58964
2020-04-24,2.53984
2020-04-25,1.79282
2020-04-26,1.24501
2020-04-27,1.19521
2020-04-28,3.53585
2020-04-29,2.98804
2020-04-30,3.08764
2020-05-01,2.34063
2020-05-02,1.19521
2020-05-03,1.54382
2020-05-04,1.94223
2020-05-05,2.24103
2020-05-06,2.14143
2020-05-07,2.83864
2020-05-08,2.49003
2020-05-09,2.04183
2020-05-10,0.99601
2020-05-11,1.19521
2020-05-12,2.73904
2020-05-13,2.78884
2020-05-14,4.03386
2020-05-15,2.34063
2020-05-16,1.59362
2020-05-17,0.5478
2020-05-18,1.24501
2020-05-19,3.13745
2020-05-20,2.78884
2020-05-21,3.93426
2020-05-22,2.78884
2020-05-23,1.84262
2020-05-24,1.09561
2020-05-25,1.44422
2020-05-26,2.09163
2020-05-27,2.24103
2020-05-28,1.79282
2020-05-29,1.49402
2020-05-30,1.19521
2020-05-31,0.5478
2020-06-01,1.04581
2020-06-02,1.89243
2020-06-03,2.24103
2020-06-04,1.59362
2020-06-05,1.79282
2020-06-06,1.29482
2020-06-07,0.64741
2020-06-08,2.04183
2020-06-09,1.94223
2020-06-10,3.33665
2020-06-11,3.48605
2020-06-12,3.03784
2020-06-13,2.73904
2020-06-14,1.39442
2020-06-15,2.68924
2020-06-16,3.08764
2020-06-17,2.58964
2020-06-18,3.33665
2020-06-19,3.23705
2020-06-20,2.04183
2020-06-21,2.19123
2020-06-22,3.48605
2020-06-23,6.02589
2020-06-24,6.02589
2020-06-25,4.93027
2020-06-26,2.78884
2020-06-27,1.79282
2020-06-28,0.84661
2020-06-29,1.94223
2020-06-30,2.88844
2020-07-01,2.58964
2020-07-02,3.58565
2020-07-03,3.73505
2020-07-04,1.24501
2020-07-05,1.24501
2020-07-06,2.34063
2020-07-07,3.48605
2020-07-08,2.98804
2020-07-09,4.73107
2020-07-10,4.33266
2020-07-11,2.53984
2020-07-12,1.39442
2020-07-13,4.68127
2020-07-14,7.76892
2020-07-15,6.22509
2020-07-16,4.03386
2020-07-17,4.78087
2020-07-18,1.39442
2020-07-19,0.99601
2020-07-20,2.29083
2020-07-21,3.88446
2020-07-22,3.68525
2020-07-23,3.73505
2020-07-24,3.13745
2020-07-25,2.04183
2020-07-26,0.84661
2020-07-27,2.34063
2020-07-28,3.48605
2020-07-29,3.18725
2020-07-30,2.88844
2020-07-31,3.33665
2020-08-01,2.49003
2020-08-02,0.89641
2020-08-03,2.49003
2020-08-04,3.98406
2020-08-05,4.18326
2020-08-06,5.17928
2020-08-07,4.28286
2020-08-08,2.98804
2020-08-09,1.04581
2020-08-10,4.03386
2020-08-11,5.37848
2020-08-12,4.23306
2020-08-13,5.02988
2020-08-14,4.33266
2020-08-15,2.68924
2020-08-16,1.04581
2020-08-17,2.68924
2020-08-18,4.38247
2020-08-19,5.77689
2020-08-20,5.82669
2020-08-21,7.66932
2020-08-22,5.37848
2020-08-23,1.69322
2020-08-24,5.32868
2020-08-25,5.92629
2020-08-26,7.96812
2020-08-27,14.04382
2020-08-28,9.26294
2020-08-29,4.93027
2020-08-30,2.24103
2020-08-31,5.37848
2020-09-01,7.71912
2020-09-02,9.36254
2020-09-03,9.41235
2020-09-04,9.26294
2020-09-05,5.92629
2020-09-06,1.19521
2020-09-07,3.38645
2020-09-08,5.72709
2020-09-09,9.76095
2020-09-10,10.05976
2020-09-11,6.5737
2020-09-12,5.17928
2020-09-13,1.39442
2020-09-14,3.73505
2020-09-15,9.16334
2020-09-16,9.46215
2020-09-17,8.16733
2020-09-18,6.6733
2020-09-19,5.32868
2020-09-20,2.34063
2020-09-21,3.08764
2020-09-22,8.01792
2020-09-23,8.56573
2020-09-24,5.97609
2020-09-25,5.97609
2020-09-26,4.88047
2020-09-27,1.84262
2020-09-28,3.78486
2020-09-29,6.02589
2020-09-30,5.87649
2020-10-01,5.92629
2020-10-02,6.7231
2020-10-03,4.58167
2020-10-04,1.44422
2020-10-05,4.83067
2020-10-06,5.92629
2020-10-07,4.43227
2020-10-08,5.92629
2020-10-09,5.17928
2020-10-10,4.08366
2020-10-11,1.44422
2020-10-12,4.43227
2020-10-13,6.12549
2020-10-14,5.97609
2020-10-15,5.57768
2020-10-16,5.52788
2020-10-17,4.08366
2020-10-18,1.54382
2020-10-19,2.39043
2020-10-20,4.73107
2020-10-21,4.43227
2020-10-22,5.07968
2020-10-23,3.43625
2020-10-24,3.58565
2020-10-25,1.29482
2020-10-26,2.78884
2020-10-27,4.43227
2020-10-28,4.88047
2020-10-29,4.83067
2020-10-30,5.17928
2020-10-31,4.78087
2020-11-01,1.64342
2020-11-02,1.89243
2020-11-03,4.98007
2020-11-04,4.83067
2020-11-05,6.5737
2020-11-06,6.2749
2020-11-07,3.88446
2020-11-08,0.99601
2020-11-09,3.08764
2020-11-10,6.2749
2020-11-11,5.07968
2020-11-12,4.63147
2020-11-13,4.38247
2020-11-14,3.13745
2020-11-15,1.39442
2020-11-16,3.03784
2020-11-17,7.27091
2020-11-18,5.72709
2020-11-19,6.3247
2020-11-20,5.32868
2020-11-21,4.18326
2020-11-22,1.24501
2020-11-23,2.34063
2020-11-24,6.07569
2020-11-25,6.97211
2020-11-26,6.3247
2020-11-27,3.33665
2020-11-28,4.88047
2020-11-29,1.64342
2020-11-30,2.68924
2020-12-01,4.33266
2020-12-02,6.5737
2020-12-03,5.32868
2020-12-04,5.87649
2020-12-05,4.63147
2020-12-06,2.53984
2020-12-07,4.08366
2020-12-08,8.26693
2020-12-09,6.4243
2020-12-10,6.6733
2020-12-11,6.8725
2020-12-12,3.48605
2020-12-13,2.29083
2020-12-14,3.38645
2020-12-15,6.07569
2020-12-16,6.5239
2020-12-17,6.3745
2020-12-18,6.8227
2020-12-19,5.77689
2020-12-20,2.29083
2020-12-21,3.48605
2020-12-22,6.6235
2020-12-23,6.8725
2020-12-24,6.17529
2020-12-25,4.43227
2020-12-26,1.84262
2020-12-27,2.44023
