date,우국원
2020-03-20,0.16744
2020-03-21,0.20332
2020-03-22,0.0897
2020-03-23,1.61463
2020-03-24,1.01064
2020-03-25,0.21528
2020-03-26,0.1794
2020-03-27,0.22126
2020-03-28,0.1495
2020-03-29,0.1495
2020-03-30,0.06578
2020-03-31,0.0897
2020-04-01,0.14352
2020-04-02,0.19136
2020-04-03,0.19734
2020-04-04,0.10764
2020-04-05,0.11362
2020-04-06,0.11362
2020-04-07,0.16146
2020-04-08,0.15548
2020-04-09,0.0897
2020-04-10,0.12558
2020-04-11,0.13754
2020-04-12,0.09568
2020-04-13,0.1495
2020-04-14,0.07774
2020-04-15,0.15548
2020-04-16,0.16146
2020-04-17,0.16146
2020-04-18,0.17342
2020-04-19,0.16146
2020-04-20,0.12558
2020-04-21,0.07176
2020-04-22,0.07176
2020-04-23,0.11362
2020-04-24,0.11362
2020-04-25,0.13156
2020-04-26,0.15548
2020-04-27,0.13754
2020-04-28,0.2093
2020-04-29,0.06578
2020-04-30,0.10166
2020-05-01,0.1495
2020-05-02,0.1495
2020-05-03,0.0897
2020-05-04,0.10166
2020-05-05,0.12558
2020-05-06,0.06578
2020-05-07,0.1495
2020-05-08,0.09568
2020-05-09,0.09568
2020-05-10,0.04186
2020-05-11,0.10166
2020-05-12,0.09568
2020-05-13,0.04784
2020-05-14,0.10166
2020-05-15,0.06578
2020-05-16,0.1196
2020-05-17,0.05382
2020-05-18,0.10166
2020-05-19,0.03588
2020-05-20,0.16744
2020-05-21,0.0897
2020-05-22,0.08372
2020-05-23,0.10764
2020-05-24,0.10166
2020-05-25,0.04186
2020-05-26,0.0598
2020-05-27,0.03588
2020-05-28,0.06578
2020-05-29,0.05382
2020-05-30,0.29302
2020-05-31,0.08372
2020-06-01,0.18538
2020-06-02,0.11362
2020-06-03,0.21528
2020-06-04,0.34684
2020-06-05,0.11362
2020-06-06,0.17342
2020-06-07,0.13156
2020-06-08,0.07176
2020-06-09,0.16744
2020-06-10,0.23322
2020-06-11,0.22724
2020-06-12,0.05382
2020-06-13,0.10764
2020-06-14,0.11362
2020-06-15,0.13754
2020-06-16,0.16146
2020-06-17,0.07176
2020-06-18,0.0598
2020-06-19,0.14352
2020-06-20,0.0598
2020-06-21,0.09568
2020-06-22,0.1495
2020-06-23,0.14352
2020-06-24,0.13754
2020-06-25,0.25714
2020-06-26,0.1196
2020-06-27,0.12558
2020-06-28,0.18538
2020-06-29,0.13156
2020-06-30,0.10764
2020-07-01,0.1495
2020-07-02,0.14352
2020-07-03,0.10764
2020-07-04,0.09568
2020-07-05,0.07176
2020-07-06,0.10166
2020-07-07,0.19734
2020-07-08,0.10764
2020-07-09,0.0598
2020-07-10,0.10166
2020-07-11,0.19136
2020-07-12,0.11362
2020-07-13,0.10166
2020-07-14,0.22724
2020-07-15,0.11362
2020-07-16,0.17342
2020-07-17,0.19136
2020-07-18,0.07774
2020-07-19,0.06578
2020-07-20,0.05382
2020-07-21,0.05382
2020-07-22,0.05382
2020-07-23,0.14352
2020-07-24,0.14352
2020-07-25,0.07176
2020-07-26,0.0598
2020-07-27,0.12558
2020-07-28,0.22724
2020-07-29,0.09568
2020-07-30,0.0897
2020-07-31,0.06578
2020-08-01,0.10166
2020-08-02,0.07176
2020-08-03,0.05382
2020-08-04,0.07774
2020-08-05,0.07774
2020-08-06,0.0598
2020-08-07,0.0299
2020-08-08,0.08372
2020-08-09,0.04186
2020-08-10,0.11362
2020-08-11,0.11362
2020-08-12,0.07176
2020-08-13,0.10764
2020-08-14,0.16744
2020-08-15,0.08372
2020-08-16,0.13156
2020-08-17,0.15548
2020-08-18,0.12558
2020-08-19,0.16146
