date,항셍
2020-03-20,4.14761
2020-03-21,1.27367
2020-03-22,0.83823
2020-03-23,5.18179
2020-03-24,4.16938
2020-03-25,4.10407
2020-03-26,3.48356
2020-03-27,2.93925
2020-03-28,0.90354
2020-03-29,0.48987
2020-03-30,5.0185
2020-03-31,2.77596
2020-04-01,2.71064
2020-04-02,2.91748
2020-04-03,2.29697
2020-04-04,0.41367
2020-04-05,0.2286
2020-04-06,2.62355
2020-04-07,2.07925
2020-04-08,2.41672
2020-04-09,2.23165
2020-04-10,1.5676
2020-04-11,0.47898
2020-04-12,0.28303
2020-04-13,2.09013
2020-04-14,1.98127
2020-04-15,1.94861
2020-04-16,1.65469
2020-04-17,1.75266
2020-04-18,0.43544
2020-04-19,0.25038
2020-04-20,1.74178
2020-04-21,2.28608
2020-04-22,2.31874
2020-04-23,2.06836
2020-04-24,1.61114
2020-04-25,0.45721
2020-04-26,0.21772
2020-04-27,1.68735
2020-04-28,2.06836
2020-04-29,1.49139
2020-04-30,0.69671
2020-05-01,0.70759
2020-05-02,0.30481
2020-05-03,0.31569
2020-05-04,5.08382
2020-05-05,2.20988
2020-05-06,1.86152
2020-05-07,1.38253
2020-05-08,1.37165
2020-05-09,0.29392
2020-05-10,0.16329
2020-05-11,2.1119
2020-05-12,1.43696
2020-05-13,1.70912
2020-05-14,1.63291
2020-05-15,1.81798
2020-05-16,0.31569
2020-05-17,0.38101
2020-05-18,1.92684
2020-05-19,2.00304
2020-05-20,1.46962
2020-05-21,2.63444
2020-05-22,10.01524
2020-05-23,2.18811
2020-05-24,1.29544
2020-05-25,6.73851
2020-05-26,3.14609
2020-05-27,2.64532
2020-05-28,4.74635
2020-05-29,3.32026
2020-05-30,0.86
2020-05-31,0.60962
2020-06-01,3.95166
2020-06-02,2.1119
2020-06-03,1.79621
2020-06-04,2.19899
2020-06-05,1.73089
2020-06-06,0.44633
2020-06-07,0.40278
2020-06-08,1.70912
2020-06-09,2.17722
2020-06-10,1.8833
2020-06-11,1.6438
2020-06-12,2.17722
2020-06-13,0.31569
2020-06-14,0.27215
2020-06-15,2.47115
2020-06-16,1.60026
2020-06-17,1.50228
2020-06-18,1.63291
2020-06-19,1.73089
2020-06-20,0.27215
2020-06-21,0.26126
2020-06-22,2.07925
2020-06-23,1.80709
2020-06-24,2.37317
2020-06-25,1.51317
2020-06-26,1.83975
2020-06-27,0.16329
2020-06-28,0.30481
2020-06-29,1.98127
2020-06-30,3.10254
2020-07-01,2.18811
2020-07-02,3.29849
2020-07-03,2.51469
2020-07-04,0.30481
2020-07-05,0.30481
2020-07-06,4.24559
2020-07-07,3.40735
2020-07-08,2.13368
2020-07-09,1.83975
2020-07-10,2.01393
2020-07-11,0.42455
2020-07-12,0.30481
2020-07-13,1.99216
2020-07-14,2.07925
2020-07-15,2.65621
2020-07-16,3.1352
2020-07-17,2.02482
2020-07-18,0.33747
2020-07-19,0.31569
2020-07-20,2.15545
2020-07-21,1.85064
2020-07-22,3.33115
2020-07-23,1.99216
2020-07-24,2.18811
2020-07-25,0.35924
2020-07-26,0.31569
2020-07-27,2.0357
2020-07-28,1.74178
2020-07-29,1.51317
2020-07-30,1.78532
2020-07-31,1.52405
2020-08-01,0.28303
2020-08-02,0.25038
2020-08-03,1.48051
2020-08-04,2.01393
2020-08-05,1.98127
2020-08-06,2.80862
2020-08-07,2.17722
2020-08-08,0.50076
2020-08-09,0.48987
2020-08-10,2.34051
2020-08-11,2.31874
2020-08-12,2.37317
2020-08-13,2.16634
2020-08-14,2.0357
2020-08-15,0.28303
2020-08-16,0.34835
2020-08-17,4.36533
2020-08-18,2.24254
2020-08-19,4.80078
2020-08-20,2.58001
2020-08-21,1.6438
2020-08-22,0.2286
