date,자동차다이렉트보험
2020-03-20,57.71812
2020-03-21,33.95973
2020-03-22,32.75167
2020-03-23,72.55033
2020-03-24,65.83892
2020-03-25,60.87248
2020-03-26,64.69798
2020-03-27,57.51677
2020-03-28,30.40268
2020-03-29,33.22147
2020-03-30,69.5302
2020-03-31,58.72483
2020-04-01,67.11409
2020-04-02,62.21476
2020-04-03,57.31543
2020-04-04,32.55033
2020-04-05,31.81208
2020-04-06,69.59731
2020-04-07,52.28187
2020-04-08,55.43624
2020-04-09,61.27516
2020-04-10,56.84563
2020-04-11,29.32885
2020-04-12,34.42953
2020-04-13,73.3557
2020-04-14,57.71812
2020-04-15,37.44966
2020-04-16,72.21476
2020-04-17,68.18791
2020-04-18,31.00671
2020-04-19,30.20134
2020-04-20,81.67785
2020-04-21,67.31543
2020-04-22,64.2953
2020-04-23,63.22147
2020-04-24,58.45637
2020-04-25,32.28187
2020-04-26,31.67785
2020-04-27,79.32885
2020-04-28,65.77181
2020-04-29,62.61744
2020-04-30,30.87248
2020-05-01,37.91946
2020-05-02,28.05369
2020-05-03,28.38926
2020-05-04,82.95302
2020-05-05,33.3557
2020-05-06,73.15436
2020-05-07,75.10067
2020-05-08,68.52348
2020-05-09,32.34899
2020-05-10,38.65771
2020-05-11,81.34228
2020-05-12,77.58389
2020-05-13,70.87248
2020-05-14,73.02013
2020-05-15,66.97986
2020-05-16,35.43624
2020-05-17,33.28859
2020-05-18,75.70469
2020-05-19,76.44295
2020-05-20,65.36912
2020-05-21,64.63087
2020-05-22,63.22147
2020-05-23,27.31543
2020-05-24,35.70469
2020-05-25,68.38926
2020-05-26,70.20134
2020-05-27,69.5302
2020-05-28,65.50335
2020-05-29,52.81879
2020-05-30,29.0604
2020-05-31,35.70469
2020-06-01,71.40939
2020-06-02,70.60402
2020-06-03,62.61744
2020-06-04,66.51006
2020-06-05,57.85234
2020-06-06,32.75167
2020-06-07,35.90604
2020-06-08,77.98657
2020-06-09,61.27516
2020-06-10,66.64429
2020-06-11,68.65771
2020-06-12,59.46308
2020-06-13,33.55704
2020-06-14,32.81879
2020-06-15,78.65771
2020-06-16,67.651
2020-06-17,65.83892
2020-06-18,67.24832
2020-06-19,55.16778
2020-06-20,30.46979
2020-06-21,33.28859
2020-06-22,68.18791
2020-06-23,68.52348
2020-06-24,72.14765
2020-06-25,69.0604
2020-06-26,62.21476
2020-06-27,29.19463
2020-06-28,33.95973
2020-06-29,75.03355
2020-06-30,74.36241
2020-07-01,68.32214
2020-07-02,63.89261
2020-07-03,64.49664
2020-07-04,28.92617
2020-07-05,34.02684
2020-07-06,75.43624
2020-07-07,63.15436
2020-07-08,60.0
2020-07-09,62.08053
2020-07-10,56.17449
2020-07-11,31.67785
2020-07-12,34.56375
2020-07-13,72.81879
2020-07-14,69.79865
2020-07-15,65.23489
2020-07-16,57.78523
2020-07-17,55.03355
2020-07-18,29.86577
2020-07-19,31.74496
2020-07-20,78.45637
2020-07-21,65.03355
2020-07-22,58.18791
2020-07-23,57.651
2020-07-24,57.51677
2020-07-25,36.77852
2020-07-26,31.27516
2020-07-27,68.52348
2020-07-28,63.42281
2020-07-29,62.01342
2020-07-30,60.60402
2020-07-31,54.69798
2020-08-01,30.33557
2020-08-02,33.95973
2020-08-03,61.00671
2020-08-04,61.14093
2020-08-05,60.26845
2020-08-06,54.7651
2020-08-07,53.89261
2020-08-08,27.24832
2020-08-09,31.14093
2020-08-10,70.87248
2020-08-11,57.38255
2020-08-12,65.63758
2020-08-13,58.52348
2020-08-14,55.57046
2020-08-15,29.86577
2020-08-16,24.89932
2020-08-17,36.64429
2020-08-18,77.24832
2020-08-19,64.83221
2020-08-20,69.46308
2020-08-21,62.55033
2020-08-22,34.63087
2020-08-23,34.7651
2020-08-24,80.20134
2020-08-25,75.90604
2020-08-26,69.59731
2020-08-27,64.63087
2020-08-28,64.56375
2020-08-29,34.56375
2020-08-30,30.13422
2020-08-31,73.42281
2020-09-01,68.18791
2020-09-02,74.2953
2020-09-03,64.42953
2020-09-04,61.87919
2020-09-05,31.20805
