date,유한양행주가
2020-11-07,1.87659
2020-11-08,1.48342
2020-11-09,16.65058
2020-11-10,16.31289
2020-11-11,14.85841
2020-11-12,13.8188
2020-11-13,12.8395
2020-11-14,1.81147
2020-11-15,1.66915
2020-11-16,14.14202
2020-11-17,14.58343
2020-11-18,17.67813
2020-11-19,18.50065
2020-11-20,17.31873
2020-11-21,2.60263
2020-11-22,2.62675
2020-11-23,19.76699
2020-11-24,19.26045
2020-11-25,17.28013
2020-11-26,16.91109
2020-11-27,15.44213
2020-11-28,2.57127
2020-11-29,2.2384
2020-11-30,15.9559
2020-12-01,16.22123
2020-12-02,17.82768
2020-12-03,17.41762
2020-12-04,16.73018
2020-12-05,2.82936
2020-12-06,4.16566
2020-12-07,35.15606
2020-12-08,28.06695
2020-12-09,23.76622
2020-12-10,20.70288
2020-12-11,24.09908
2020-12-12,4.10294
2020-12-13,3.29731
2020-12-14,23.23315
2020-12-15,18.93964
2020-12-16,18.08094
2020-12-17,16.07409
2020-12-18,30.65753
2020-12-19,5.58155
2020-12-20,4.69631
2020-12-21,51.07096
2020-12-22,37.88412
2020-12-23,37.03989
2020-12-24,33.94037
2020-12-25,5.29933
2020-12-26,3.99922
2020-12-27,4.28385
2020-12-28,35.14882
2020-12-29,32.06136
2020-12-30,29.46596
2020-12-31,7.61734
2021-01-01,5.31139
2021-01-02,4.23078
2021-01-03,4.02576
2021-01-04,37.08331
2021-01-05,32.5486
2021-01-06,32.65232
2021-01-07,32.26156
2021-01-08,35.49375
2021-01-09,5.51401
2021-01-10,4.62154
2021-01-11,33.20951
2021-01-12,28.80264
2021-01-13,30.4332
2021-01-14,38.85377
2021-01-15,33.40971
2021-01-16,4.95199
2021-01-17,4.46475
2021-01-18,100.0
2021-01-19,49.65989
2021-01-20,41.56013
2021-01-21,34.36489
2021-01-22,30.00627
2021-01-23,5.04124
2021-01-24,4.6143
2021-01-25,30.47903
2021-01-26,28.54937
2021-01-27,31.80327
2021-01-28,27.7172
2021-01-29,29.41048
2021-01-30,4.86757
2021-01-31,3.90756
2021-02-01,28.86776
2021-02-02,28.56867
2021-02-03,24.70693
2021-02-04,24.91919
2021-02-05,22.95817
2021-02-06,3.95822
2021-02-07,3.28284
2021-02-08,23.57566
2021-02-09,22.90269
2021-02-10,20.50991
2021-02-11,2.9958
2021-02-12,2.57127
2021-02-13,2.34936
2021-02-14,2.61951
2021-02-15,22.66872
2021-02-16,20.73664
2021-02-17,20.18669
2021-02-18,19.21945
2021-02-19,18.72015
2021-02-20,3.24183
2021-02-21,2.55439
2021-02-22,18.4307
2021-02-23,19.41482
2021-02-24,22.22972
2021-02-25,24.99638
2021-02-26,21.01162
2021-02-27,3.78937
2021-02-28,3.7556
2021-03-01,4.93029
2021-03-02,21.81726
2021-03-03,18.27391
2021-03-04,18.47894
2021-03-05,18.01099
2021-03-06,3.22977
