date,모바일신용카드
2020-03-20,18.18181
2020-03-21,14.35406
2020-03-22,14.83253
2020-03-23,17.22488
2020-03-24,15.78947
2020-03-25,20.57416
2020-03-26,15.311
2020-03-27,16.74641
2020-03-28,15.311
2020-03-29,11.96172
2020-03-30,17.70334
2020-03-31,12.91866
2020-04-01,11.48325
2020-04-02,9.0909
2020-04-03,12.44019
2020-04-04,10.04784
2020-04-05,11.48325
2020-04-06,9.0909
2020-04-07,17.70334
2020-04-08,17.22488
2020-04-09,26.31578
2020-04-10,23.92344
2020-04-11,6.22009
2020-04-12,15.311
2020-04-13,20.57416
2020-04-14,20.09569
2020-04-15,16.26794
2020-04-16,22.00956
2020-04-17,16.74641
2020-04-18,17.22488
2020-04-19,8.13397
2020-04-20,23.44497
2020-04-21,14.83253
2020-04-22,21.5311
2020-04-23,17.70334
2020-04-24,17.70334
2020-04-25,26.31578
2020-04-26,19.61722
2020-04-27,24.88038
2020-04-28,35.40669
2020-04-29,21.05263
2020-04-30,17.70334
2020-05-01,22.00956
2020-05-02,10.04784
2020-05-03,15.311
2020-05-04,11.96172
2020-05-05,13.87559
2020-05-06,14.83253
2020-05-07,22.48803
2020-05-08,17.22488
2020-05-09,16.26794
2020-05-10,14.35406
2020-05-11,23.92344
2020-05-12,15.78947
2020-05-13,12.91866
2020-05-14,9.56937
2020-05-15,14.35406
2020-05-16,12.91866
2020-05-17,11.96172
2020-05-18,12.44019
2020-05-19,13.87559
2020-05-20,18.18181
2020-05-21,16.26794
2020-05-22,15.78947
2020-05-23,16.26794
2020-05-24,11.96172
2020-05-25,16.74641
2020-05-26,12.91866
2020-05-27,18.66028
2020-05-28,13.39712
2020-05-29,14.83253
2020-05-30,11.96172
2020-05-31,8.13397
2020-06-01,15.78947
2020-06-02,15.78947
2020-06-03,16.74641
2020-06-04,22.9665
2020-06-05,16.26794
2020-06-06,11.00478
2020-06-07,11.48325
2020-06-08,8.13397
2020-06-09,16.26794
2020-06-10,14.35406
2020-06-11,11.00478
2020-06-12,9.0909
2020-06-13,9.56937
2020-06-14,13.39712
2020-06-15,8.61244
2020-06-16,7.17703
2020-06-17,18.66028
2020-06-18,9.56937
2020-06-19,14.35406
2020-06-20,11.00478
2020-06-21,10.52631
2020-06-22,15.311
2020-06-23,16.74641
2020-06-24,33.97129
2020-06-25,14.83253
