date,주식캔들
2020-03-20,32.94117
2020-03-21,16.47058
2020-03-22,20.47058
2020-03-23,34.11764
2020-03-24,39.05882
2020-03-25,50.11764
2020-03-26,58.11764
2020-03-27,60.47058
2020-03-28,42.11764
2020-03-29,32.23529
2020-03-30,32.70588
2020-03-31,43.29411
2020-04-01,53.41176
2020-04-02,62.11764
2020-04-03,51.29411
2020-04-04,39.29411
2020-04-05,28.94117
2020-04-06,36.94117
2020-04-07,48.23529
2020-04-08,51.7647
2020-04-09,54.82352
2020-04-10,50.35294
2020-04-11,35.7647
2020-04-12,36.0
2020-04-13,38.11764
2020-04-14,40.0
2020-04-15,33.64705
2020-04-16,34.11764
2020-04-17,45.17647
2020-04-18,26.58823
2020-04-19,32.47058
2020-04-20,35.7647
2020-04-21,35.29411
2020-04-22,56.23529
2020-04-23,50.35294
2020-04-24,41.17647
2020-04-25,28.23529
2020-04-26,24.47058
2020-04-27,28.70588
2020-04-28,31.05882
2020-04-29,30.35294
2020-04-30,30.11764
2020-05-01,28.94117
2020-05-02,19.52941
2020-05-03,17.17647
2020-05-04,21.64705
2020-05-05,26.58823
2020-05-06,26.35294
2020-05-07,35.05882
2020-05-08,25.64705
2020-05-09,23.05882
2020-05-10,17.88235
2020-05-11,28.0
2020-05-12,30.11764
2020-05-13,35.7647
2020-05-14,28.94117
2020-05-15,28.23529
2020-05-16,24.0
2020-05-17,21.41176
2020-05-18,26.58823
2020-05-19,39.05882
2020-05-20,35.29411
2020-05-21,33.17647
2020-05-22,34.82352
2020-05-23,27.05882
2020-05-24,16.0
2020-05-25,21.64705
2020-05-26,29.41176
2020-05-27,34.58823
2020-05-28,32.0
2020-05-29,32.23529
2020-05-30,21.17647
2020-05-31,21.64705
2020-06-01,24.23529
2020-06-02,34.35294
2020-06-03,41.17647
2020-06-04,33.88235
2020-06-05,42.11764
2020-06-06,21.88235
2020-06-07,23.05882
2020-06-08,36.0
2020-06-09,35.52941
2020-06-10,35.29411
2020-06-11,41.88235
2020-06-12,40.70588
2020-06-13,26.82352
2020-06-14,17.17647
2020-06-15,22.82352
2020-06-16,31.29411
2020-06-17,31.52941
2020-06-18,34.82352
2020-06-19,33.41176
2020-06-20,25.41176
2020-06-21,17.17647
2020-06-22,28.23529
2020-06-23,29.17647
2020-06-24,34.58823
2020-06-25,32.70588
2020-06-26,29.64705
2020-06-27,21.88235
2020-06-28,20.47058
2020-06-29,22.11764
2020-06-30,22.35294
2020-07-01,23.05882
2020-07-02,27.7647
2020-07-03,26.82352
2020-07-04,20.94117
2020-07-05,21.64705
2020-07-06,27.7647
2020-07-07,31.7647
2020-07-08,34.82352
2020-07-09,29.64705
2020-07-10,21.17647
2020-07-11,21.88235
2020-07-12,24.94117
2020-07-13,34.11764
2020-07-14,42.58823
2020-07-15,38.82352
2020-07-16,39.29411
2020-07-17,36.23529
2020-07-18,18.58823
2020-07-19,25.64705
2020-07-20,29.41176
2020-07-21,42.82352
2020-07-22,46.35294
2020-07-23,47.7647
2020-07-24,43.7647
2020-07-25,22.82352
2020-07-26,29.41176
2020-07-27,35.05882
2020-07-28,51.52941
2020-07-29,40.94117
2020-07-30,43.7647
2020-07-31,36.94117
2020-08-01,28.47058
2020-08-02,22.58823
2020-08-03,39.05882
2020-08-04,42.35294
2020-08-05,52.47058
2020-08-06,48.94117
2020-08-07,43.52941
2020-08-08,33.41176
2020-08-09,28.0
2020-08-10,43.52941
2020-08-11,42.11764
2020-08-12,43.05882
2020-08-13,41.88235
2020-08-14,38.35294
2020-08-15,25.64705
2020-08-16,24.47058
2020-08-17,24.0
2020-08-18,30.11764
2020-08-19,39.52941
2020-08-20,31.52941
2020-08-21,41.17647
2020-08-22,24.47058
2020-08-23,17.17647
2020-08-24,32.70588
2020-08-25,48.70588
2020-08-26,56.47058
2020-08-27,49.41176
2020-08-28,44.94117
2020-08-29,28.23529
2020-08-30,32.70588
2020-08-31,46.82352
2020-09-01,48.94117
2020-09-02,58.35294
2020-09-03,62.11764
2020-09-04,52.70588
2020-09-05,41.41176
2020-09-06,42.11764
2020-09-07,51.7647
2020-09-08,56.47058
2020-09-09,68.0
2020-09-10,62.11764
2020-09-11,57.41176
2020-09-12,47.05882
2020-09-13,39.52941
2020-09-14,37.41176
2020-09-15,55.29411
2020-09-16,54.35294
2020-09-17,43.52941
2020-09-18,41.88235
2020-09-19,26.11764
2020-09-20,27.05882
2020-09-21,33.41176
2020-09-22,34.11764
2020-09-23,43.7647
2020-09-24,43.05882
2020-09-25,29.41176
2020-09-26,20.47058
2020-09-27,25.41176
2020-09-28,27.05882
2020-09-29,28.0
2020-09-30,20.94117
2020-10-01,15.05882
2020-10-02,18.58823
2020-10-03,10.35294
2020-10-04,13.88235
2020-10-05,24.0
2020-10-06,33.88235
2020-10-07,29.17647
2020-10-08,30.58823
2020-10-09,28.47058
2020-10-10,16.0
2020-10-11,19.7647
2020-10-12,30.35294
2020-10-13,24.47058
2020-10-14,25.88235
2020-10-15,25.41176
2020-10-16,25.88235
2020-10-17,24.0
2020-10-18,15.05882
2020-10-19,22.82352
2020-10-20,29.64705
2020-10-21,34.35294
2020-10-22,28.23529
2020-10-23,29.17647
2020-10-24,17.41176
2020-10-25,14.58823
2020-10-26,20.94117
2020-10-27,20.94117
2020-10-28,29.88235
2020-10-29,27.05882
2020-10-30,21.88235
2020-10-31,13.17647
2020-11-01,10.82352
2020-11-02,19.29411
2020-11-03,23.29411
2020-11-04,16.23529
2020-11-05,24.47058
2020-11-06,24.94117
2020-11-07,16.23529
2020-11-08,17.88235
2020-11-09,21.64705
2020-11-10,38.82352
2020-11-11,40.94117
2020-11-12,33.64705
2020-11-13,35.05882
2020-11-14,20.23529
2020-11-15,19.52941
2020-11-16,36.94117
2020-11-17,33.64705
2020-11-18,34.58823
2020-11-19,43.7647
2020-11-20,35.7647
2020-11-21,24.23529
2020-11-22,22.11764
