date,신종자본증권
2020-03-20,4.3556
2020-03-21,2.02863
2020-03-22,2.32696
2020-03-23,4.47494
2020-03-24,5.19093
2020-03-25,4.47494
2020-03-26,5.07159
2020-03-27,2.56563
2020-03-28,1.84964
2020-03-29,0.77565
2020-03-30,3.22195
2020-03-31,4.05727
2020-04-01,4.65393
2020-04-02,3.93794
2020-04-03,3.16229
2020-04-04,1.13365
2020-04-05,9.18854
2020-04-06,7.69689
2020-04-07,6.56324
2020-04-08,5.60859
2020-04-09,4.77326
2020-04-10,5.48926
2020-04-11,1.78997
2020-04-12,1.96897
2020-04-13,5.72792
2020-04-14,7.99522
2020-04-15,3.87828
2020-04-16,6.8019
2020-04-17,5.07159
2020-04-18,4.41527
2020-04-19,5.78758
2020-04-20,4.7136
2020-04-21,5.07159
2020-04-22,5.19093
2020-04-23,5.25059
2020-04-24,4.65393
2020-04-25,1.55131
2020-04-26,1.07398
2020-04-27,4.5346
2020-04-28,4.3556
2020-04-29,7.1599
2020-04-30,2.4463
2020-05-01,1.49164
2020-05-02,2.38663
2020-05-03,1.61097
2020-05-04,3.34128
2020-05-05,2.2673
2020-05-06,4.65393
2020-05-07,6.68257
2020-05-08,4.77326
2020-05-09,1.55131
2020-05-10,1.55131
2020-05-11,4.17661
2020-05-12,3.75894
2020-05-13,5.19093
2020-05-14,5.31026
2020-05-15,5.19093
2020-05-16,1.13365
2020-05-17,2.92362
2020-05-18,6.14558
2020-05-19,5.78758
2020-05-20,6.44391
2020-05-21,6.62291
2020-05-22,5.01193
2020-05-23,1.37231
2020-05-24,2.38663
2020-05-25,4.47494
2020-05-26,6.86157
2020-05-27,6.14558
2020-05-28,6.68257
2020-05-29,5.13126
2020-05-30,2.0883
2020-05-31,4.83293
2020-06-01,4.7136
2020-06-02,7.69689
2020-06-03,5.66825
2020-06-04,6.08591
2020-06-05,8.17422
2020-06-06,3.04295
2020-06-07,3.69928
2020-06-08,5.07159
2020-06-09,7.39856
2020-06-10,5.72792
2020-06-11,7.51789
2020-06-12,8.05489
2020-06-13,2.50596
2020-06-14,0.95465
2020-06-15,4.3556
2020-06-16,5.72792
2020-06-17,2.98329
2020-06-18,4.11694
2020-06-19,5.07159
2020-06-20,3.46062
2020-06-21,1.61097
2020-06-22,4.59427
2020-06-23,3.87828
2020-06-24,4.5346
2020-06-25,3.46062
2020-06-26,3.81861
2020-06-27,1.07398
2020-06-28,1.25298
2020-06-29,4.5346
2020-06-30,3.10262
2020-07-01,3.52028
2020-07-02,3.46062
2020-07-03,4.05727
2020-07-04,1.13365
2020-07-05,1.07398
2020-07-06,3.93794
2020-07-07,7.69689
2020-07-08,5.19093
2020-07-09,6.02625
2020-07-10,2.62529
2020-07-11,0.77565
2020-07-12,0.89498
2020-07-13,4.23627
2020-07-14,4.23627
2020-07-15,3.75894
2020-07-16,3.22195
2020-07-17,3.28162
2020-07-18,0.77565
2020-07-19,0.89498
2020-07-20,3.99761
2020-07-21,3.75894
2020-07-22,3.46062
2020-07-23,4.17661
2020-07-24,3.75894
2020-07-25,1.01431
2020-07-26,14.26014
2020-07-27,10.79952
2020-07-28,5.84725
2020-07-29,4.23627
2020-07-30,16.7661
2020-07-31,11.15751
2020-08-01,2.20763
2020-08-02,1.9093
2020-08-03,5.07159
2020-08-04,5.42959
2020-08-05,5.19093
2020-08-06,4.83293
2020-08-07,3.63961
2020-08-08,1.73031
2020-08-09,0.89498
2020-08-10,3.87828
2020-08-11,45.70405
2020-08-12,18.85441
2020-08-13,56.08591
2020-08-14,15.27446
2020-08-15,15.81145
2020-08-16,6.56324
2020-08-17,3.93794
2020-08-18,11.45584
2020-08-19,11.27684
2020-08-20,7.27923
2020-08-21,6.02625
2020-08-22,2.62529
2020-08-23,1.73031
2020-08-24,6.38424
2020-08-25,9.66587
2020-08-26,7.93556
2020-08-27,8.29355
2020-08-28,7.04057
2020-08-29,1.78997
2020-08-30,2.38663
2020-08-31,5.54892
2020-09-01,4.5346
2020-09-02,5.25059
2020-09-03,7.81622
2020-09-04,6.86157
2020-09-05,2.4463
2020-09-06,1.84964
2020-09-07,7.39856
2020-09-08,5.96658
2020-09-09,7.10023
2020-09-10,7.57756
2020-09-11,4.59427
2020-09-12,2.0883
2020-09-13,2.14797
2020-09-14,5.90692
2020-09-15,5.84725
2020-09-16,5.78758
2020-09-17,8.65155
2020-09-18,6.68257
2020-09-19,1.55131
2020-09-20,1.43198
