date,백금시세
2020-03-20,63.07498
2020-03-21,50.72463
2020-03-22,41.02079
2020-03-23,51.35475
2020-03-24,49.40138
2020-03-25,49.27536
2020-03-26,46.18777
2020-03-27,41.96597
2020-03-28,37.9332
2020-03-29,31.94706
2020-03-30,35.85381
2020-03-31,38.31127
2020-04-01,33.83742
2020-04-02,33.39634
2020-04-03,34.46754
2020-04-04,31.88405
2020-04-05,28.35538
2020-04-06,38.75236
2020-04-07,40.51669
2020-04-08,38.81537
2020-04-09,37.99621
2020-04-10,43.10018
2020-04-11,34.90863
2020-04-12,40.64272
2020-04-13,44.99054
2020-04-14,47.95211
2020-04-15,43.28922
2020-04-16,41.90296
2020-04-17,45.11657
2020-04-18,38.75236
2020-04-19,37.99621
2020-04-20,39.44549
2020-04-21,44.2344
2020-04-22,43.98235
2020-04-23,42.155
2020-04-24,40.07561
2020-04-25,44.61247
2020-04-26,39.57151
2020-04-27,50.34656
2020-04-28,45.3056
2020-04-29,40.64272
2020-04-30,38.94139
2020-05-01,36.29489
2020-05-02,38.94139
2020-05-03,33.77441
2020-05-04,37.24007
2020-05-05,39.88657
2020-05-06,52.55198
2020-05-07,41.27284
2020-05-08,37.55513
2020-05-09,37.36609
2020-05-10,33.77441
2020-05-11,44.48645
2020-05-12,34.08947
2020-05-13,34.08947
2020-05-14,34.59357
2020-05-15,34.7826
2020-05-16,37.36609
2020-05-17,33.08128
2020-05-18,45.49464
2020-05-19,45.99873
2020-05-20,44.2344
2020-05-21,39.19344
2020-05-22,40.20163
2020-05-23,33.14429
2020-05-24,30.43478
2020-05-25,37.87019
2020-05-26,35.47574
2020-05-27,34.08947
2020-05-28,35.2867
2020-05-29,29.30056
2020-05-30,32.45116
2020-05-31,29.36357
2020-06-01,31.63201
2020-06-02,36.3579
2020-06-03,33.14429
2020-06-04,31.37996
2020-06-05,31.31695
2020-06-06,30.81285
2020-06-07,29.67863
2020-06-08,32.32514
2020-06-09,33.45935
2020-06-10,34.59357
2020-06-11,29.36357
2020-06-12,32.19911
2020-06-13,30.5608
2020-06-14,27.28418
2020-06-15,36.10586
2020-06-16,31.12791
2020-06-17,31.63201
2020-06-18,26.8431
2020-06-19,28.48141
2020-06-20,25.33081
2020-06-21,26.21298
2020-06-22,34.53056
2020-06-23,32.32514
2020-06-24,31.25393
2020-06-25,29.67863
2020-06-26,26.59105
2020-06-27,33.2073
2020-06-28,31.25393
2020-06-29,32.95526
2020-06-30,33.77441
2020-07-01,38.87838
2020-07-02,37.99621
2020-07-03,31.37996
2020-07-04,30.93887
2020-07-05,33.64839
2020-07-06,38.18525
2020-07-07,34.7826
2020-07-08,38.37429
2020-07-09,39.63453
2020-07-10,34.15248
2020-07-11,36.04284
2020-07-12,33.08128
2020-07-13,43.03717
2020-07-14,51.48078
2020-07-15,50.0315
2020-07-16,44.36042
2020-07-17,40.0126
2020-07-18,38.56332
2020-07-19,35.16068
2020-07-20,37.42911
2020-07-21,42.47006
2020-07-22,49.84247
2020-07-23,52.74102
2020-07-24,55.19848
2020-07-25,76.43352
2020-07-26,49.96849
2020-07-27,68.9981
2020-07-28,79.39508
2020-07-29,79.01701
2020-07-30,54.06427
2020-07-31,55.38752
2020-08-01,47.57403
2020-08-02,46.94391
2020-08-03,48.33018
2020-08-04,47.76307
2020-08-05,74.41713
2020-08-06,63.32703
2020-08-07,67.17076
2020-08-08,55.63957
2020-08-09,47.51102
2020-08-10,55.13547
2020-08-11,59.73534
2020-08-12,60.30245
2020-08-13,45.8097
2020-08-14,44.17139
2020-08-15,38.4373
2020-08-16,35.22369
2020-08-17,39.57151
2020-08-18,44.36042
2020-08-19,47.32199
2020-08-20,41.65091
2020-08-21,41.33585
2020-08-22,38.56332
2020-08-23,34.08947
2020-08-24,41.52488
2020-08-25,37.74417
2020-08-26,33.96345
2020-08-27,32.45116
2020-08-28,35.16068
2020-08-29,31.12791
2020-08-30,34.15248
2020-08-31,38.50031
2020-09-01,32.1361
2020-09-02,34.15248
