date,현대제철주가
2020-03-20,28.11822
2020-03-21,4.25278
2020-03-22,2.87975
2020-03-23,24.7561
2020-03-24,26.90779
2020-03-25,33.40981
2020-03-26,33.6808
2020-03-27,30.47947
2020-03-28,3.73247
2020-03-29,2.27995
2020-03-30,24.45982
2020-03-31,24.29541
2020-04-01,22.99465
2020-04-02,23.1446
2020-04-03,19.34889
2020-04-04,2.66295
2020-04-05,1.79758
2020-04-06,20.16909
2020-04-07,22.60261
2020-04-08,20.9351
2020-04-09,22.85554
2020-04-10,35.21462
2020-04-11,4.04321
2020-04-12,2.93756
2020-04-13,28.46328
2020-04-14,25.03974
2020-04-15,4.00888
2020-04-16,22.76882
2020-04-17,26.476
2020-04-18,3.52471
2020-04-19,2.76774
2020-04-20,26.40193
2020-04-21,24.26109
2020-04-22,24.19786
2020-04-23,22.91516
2020-04-24,20.59184
2020-04-25,2.73702
2020-04-26,2.14445
2020-04-27,22.67126
2020-04-28,23.89976
2020-04-29,30.42527
2020-04-30,4.71347
2020-05-01,4.81644
2020-05-02,2.4028
2020-05-03,2.55997
2020-05-04,24.59351
2020-05-05,3.33863
2020-05-06,23.81305
2020-05-07,21.25487
2020-05-08,21.64149
2020-05-09,2.72618
2020-05-10,1.83913
2020-05-11,20.14019
2020-05-12,18.40403
2020-05-13,18.90265
2020-05-14,18.19807
2020-05-15,17.89275
2020-05-16,2.02702
2020-05-17,1.46697
2020-05-18,17.16649
2020-05-19,22.43098
2020-05-20,19.75538
2020-05-21,21.3163
2020-05-22,18.70935
2020-05-23,1.97824
2020-05-24,1.43626
2020-05-25,17.63802
2020-05-26,21.64149
2020-05-27,24.64048
2020-05-28,24.3731
2020-05-29,19.89088
2020-05-30,2.39377
2020-05-31,1.64402
2020-06-01,22.53396
2020-06-02,26.20862
2020-06-03,40.46285
2020-06-04,36.67437
2020-06-05,31.80372
2020-06-06,3.4398
2020-06-07,2.8671
2020-06-08,31.72423
2020-06-09,27.99356
2020-06-10,24.03165
2020-06-11,24.05875
2020-06-12,22.32258
2020-06-13,2.50758
2020-06-14,1.88791
2020-06-15,22.50144
2020-06-16,24.77417
2020-06-17,22.67126
2020-06-18,21.41747
2020-06-19,21.84022
2020-06-20,2.24743
2020-06-21,1.52659
2020-06-22,19.00744
2020-06-23,18.56482
2020-06-24,20.01011
2020-06-25,17.46097
2020-06-26,17.61634
2020-06-27,1.803
2020-06-28,1.15984
2020-06-29,15.88018
2020-06-30,17.36703
2020-07-01,16.88647
2020-07-02,16.10059
2020-07-03,16.95873
2020-07-04,1.79397
2020-07-05,1.23753
2020-07-06,17.97225
2020-07-07,17.40858
2020-07-08,17.82591
2020-07-09,17.00028
2020-07-10,14.5758
2020-07-11,1.47058
2020-07-12,1.05325
2020-07-13,17.57298
2020-07-14,15.50802
2020-07-15,26.05145
2020-07-16,27.76412
2020-07-17,26.05506
2020-07-18,2.74064
2020-07-19,2.42628
2020-07-20,39.15847
2020-07-21,35.97159
2020-07-22,39.26687
2020-07-23,31.09553
2020-07-24,26.49226
2020-07-25,2.5383
2020-07-26,2.17878
2020-07-27,25.74974
2020-07-28,26.72351
2020-07-29,26.32425
2020-07-30,23.63419
2020-07-31,20.48345
2020-08-01,2.36125
2020-08-02,2.13542
2020-08-03,19.85113
2020-08-04,24.97651
2020-08-05,22.28465
2020-08-06,28.56446
2020-08-07,25.46249
2020-08-08,2.54552
2020-08-09,2.09567
2020-08-10,29.3124
2020-08-11,36.31666
2020-08-12,35.56872
2020-08-13,31.41711
2020-08-14,28.71982
2020-08-15,3.28443
2020-08-16,2.21672
2020-08-17,6.01242
2020-08-18,27.94298
2020-08-19,25.93221
2020-08-20,26.04964
2020-08-21,24.49775
2020-08-22,2.99537
2020-08-23,2.15529
2020-08-24,25.20414
2020-08-25,26.90417
2020-08-26,23.10124
2020-08-27,21.87093
2020-08-28,22.67488
2020-08-29,2.35763
2020-08-30,1.84817
2020-08-31,22.1347
2020-09-01,20.83754
2020-09-02,20.24678
2020-09-03,19.83668
2020-09-04,19.18268
2020-09-05,2.09206
2020-09-06,1.78494
2020-09-07,21.20971
2020-09-08,19.40128
2020-09-09,18.49616
2020-09-10,18.97492
2020-09-11,17.40135
2020-09-12,2.08122
2020-09-13,1.57898
2020-09-14,19.23146
2020-09-15,18.65876
2020-09-16,18.47629
2020-09-17,18.72741
2020-09-18,16.41494
2020-09-19,1.92224
2020-09-20,1.4489
2020-09-21,16.97318
2020-09-22,16.06807
2020-09-23,16.5414
2020-09-24,16.01026
