date,한미반도체주가
2020-03-20,2.78345
2020-03-21,0.28987
2020-03-22,0.25034
2020-03-23,2.69121
2020-03-24,2.70768
2020-03-25,3.26767
2020-03-26,3.05356
2020-03-27,2.66815
2020-03-28,0.29316
2020-03-29,0.25034
2020-03-30,2.71098
2020-03-31,2.53969
2020-04-01,2.11805
2020-04-02,2.19052
2020-04-03,2.02253
2020-04-04,0.25034
2020-04-05,0.15152
2020-04-06,2.10158
2020-04-07,2.69121
2020-04-08,2.52651
2020-04-09,2.76039
2020-04-10,2.26628
2020-04-11,0.31952
2020-04-12,0.19434
2020-04-13,2.31569
2020-04-14,2.4804
2020-04-15,0.40187
2020-04-16,2.3684
2020-04-17,3.18861
2020-04-18,0.36234
2020-04-19,0.21081
2020-04-20,2.7538
2020-04-21,1.983
2020-04-22,2.05876
2020-04-23,2.55286
2020-04-24,1.99617
2020-04-25,0.18117
2020-04-26,0.09223
2020-04-27,1.93688
2020-04-28,2.02911
2020-04-29,1.8183
2020-04-30,0.30634
2020-05-01,0.19434
2020-05-02,0.15152
2020-05-03,0.1614
2020-05-04,1.59101
2020-05-05,0.25363
2020-05-06,1.86441
2020-05-07,1.84135
2020-05-08,2.3651
2020-05-09,0.25693
2020-05-10,0.17787
2020-05-11,2.28275
2020-05-12,2.02253
2020-05-13,1.78865
2020-05-14,1.50866
2020-05-15,1.80512
2020-05-16,0.19434
2020-05-17,0.09882
2020-05-18,1.70301
2020-05-19,2.34534
2020-05-20,4.76315
2020-05-21,4.42058
2020-05-22,3.21496
2020-05-23,0.66539
2020-05-24,0.56327
2020-05-25,3.99565
2020-05-26,3.5806
2020-05-27,2.96132
2020-05-28,2.89874
2020-05-29,2.41452
2020-05-30,0.3821
2020-05-31,0.26681
2020-06-01,3.08979
2020-06-02,2.95803
2020-06-03,3.03379
2020-06-04,2.93826
2020-06-05,2.30581
2020-06-06,0.3294
2020-06-07,0.20422
2020-06-08,2.19052
2020-06-09,2.52651
2020-06-10,2.31569
2020-06-11,2.13123
2020-06-12,1.8743
2020-06-13,0.23716
2020-06-14,0.17787
2020-06-15,1.85782
2020-06-16,2.21687
2020-06-17,1.98959
2020-06-18,1.58771
2020-06-19,1.91712
2020-06-20,0.18446
2020-06-21,0.15152
2020-06-22,1.95006
2020-06-23,1.64042
2020-06-24,1.61077
2020-06-25,1.42301
2020-06-26,1.52513
2020-06-27,0.22399
2020-06-28,0.17787
2020-06-29,1.47901
2020-06-30,1.51854
2020-07-01,1.40654
2020-07-02,1.51525
2020-07-03,1.89077
2020-07-04,0.27669
2020-07-05,0.18446
2020-07-06,2.2037
2020-07-07,1.9797
2020-07-08,2.32887
2020-07-09,2.64839
2020-07-10,1.89077
2020-07-11,0.1647
2020-07-12,0.14493
2020-07-13,2.60886
2020-07-14,3.28743
2020-07-15,2.74062
2020-07-16,2.42769
2020-07-17,3.84742
2020-07-18,0.52045
2020-07-19,0.45128
2020-07-20,3.17873
2020-07-21,5.74148
2020-07-22,6.94709
2020-07-23,7.94518
2020-07-24,5.68548
2020-07-25,0.81033
2020-07-26,0.57974
2020-07-27,5.35279
2020-07-28,4.81586
2020-07-29,4.08459
2020-07-30,4.43046
2020-07-31,4.66104
2020-08-01,0.74444
2020-08-02,0.70492
2020-08-03,4.12411
2020-08-04,3.84083
2020-08-05,3.71895
2020-08-06,3.56742
2020-08-07,3.28084
2020-08-08,0.61927
2020-08-09,0.51386
2020-08-10,3.54107
2020-08-11,3.40602
2020-08-12,5.44831
2020-08-13,3.81777
2020-08-14,3.31708
2020-08-15,0.41834
2020-08-16,0.34587
2020-08-17,0.62257
2020-08-18,2.78015
