date,국내ETF
2020-03-20,16.06217
2020-03-21,15.28497
2020-03-22,11.91709
2020-03-23,13.73056
2020-03-24,19.68911
2020-03-25,19.43005
2020-03-26,22.79792
2020-03-27,18.13471
2020-03-28,10.36269
2020-03-29,9.58549
2020-03-30,14.2487
2020-03-31,14.50777
2020-04-01,21.76165
2020-04-02,17.35751
2020-04-03,9.06735
2020-04-04,6.21761
2020-04-05,10.10362
2020-04-06,10.36269
2020-04-07,11.91709
2020-04-08,10.62176
2020-04-09,9.58549
2020-04-10,11.65803
2020-04-11,6.73575
2020-04-12,9.32642
2020-04-13,15.0259
2020-04-14,15.8031
2020-04-15,14.50777
2020-04-16,13.98963
2020-04-17,14.50777
2020-04-18,12.17616
2020-04-19,16.83937
2020-04-20,15.54404
2020-04-21,10.88082
2020-04-22,10.62176
2020-04-23,13.73056
2020-04-24,14.2487
2020-04-25,8.80829
2020-04-26,8.80829
2020-04-27,11.13989
2020-04-28,12.43523
2020-04-29,20.72538
2020-04-30,8.80829
2020-05-01,5.69948
2020-05-02,8.29015
2020-05-03,7.51295
2020-05-04,10.88082
2020-05-05,10.36269
2020-05-06,15.8031
2020-05-07,10.88082
2020-05-08,16.83937
2020-05-09,8.54922
2020-05-10,14.50777
2020-05-11,12.17616
2020-05-12,7.51295
2020-05-13,11.13989
2020-05-14,11.39896
2020-05-15,10.88082
2020-05-16,10.62176
2020-05-17,12.95336
2020-05-18,17.09844
2020-05-19,19.68911
2020-05-20,16.58031
2020-05-21,19.68911
2020-05-22,16.32124
2020-05-23,11.65803
2020-05-24,11.39896
2020-05-25,19.17098
2020-05-26,29.27461
2020-05-27,20.46632
2020-05-28,19.68911
2020-05-29,16.83937
2020-05-30,10.10362
2020-05-31,9.58549
2020-06-01,14.50777
2020-06-02,22.79792
2020-06-03,15.0259
2020-06-04,20.46632
2020-06-05,16.06217
2020-06-06,10.88082
2020-06-07,16.58031
2020-06-08,19.43005
2020-06-09,16.83937
2020-06-10,16.83937
2020-06-11,16.32124
2020-06-12,10.36269
2020-06-13,8.80829
2020-06-14,11.39896
2020-06-15,13.73056
2020-06-16,16.32124
2020-06-17,14.2487
2020-06-18,9.84455
2020-06-19,9.84455
2020-06-20,5.69948
2020-06-21,7.25388
2020-06-22,11.39896
2020-06-23,16.32124
2020-06-24,15.28497
2020-06-25,18.65284
2020-06-26,12.17616
2020-06-27,3.62694
2020-06-28,10.36269
2020-06-29,12.43523
2020-06-30,12.95336
2020-07-01,13.98963
2020-07-02,11.91709
2020-07-03,15.54404
2020-07-04,7.51295
2020-07-05,12.43523
2020-07-06,17.61658
2020-07-07,13.98963
2020-07-08,11.39896
2020-07-09,13.21243
2020-07-10,15.8031
2020-07-11,16.83937
2020-07-12,17.61658
2020-07-13,26.943
2020-07-14,20.72538
2020-07-15,19.68911
2020-07-16,18.91191
2020-07-17,19.68911
2020-07-18,14.2487
2020-07-19,14.2487
2020-07-20,15.0259
2020-07-21,21.76165
2020-07-22,20.72538
2020-07-23,26.943
2020-07-24,19.94818
2020-07-25,10.88082
2020-07-26,10.10362
2020-07-27,20.20725
2020-07-28,22.79792
2020-07-29,22.79792
2020-07-30,24.09326
2020-07-31,21.50259
2020-08-01,13.4715
2020-08-02,9.58549
2020-08-03,20.20725
2020-08-04,24.35233
2020-08-05,38.34196
2020-08-06,32.64248
2020-08-07,31.34715
2020-08-08,23.05699
2020-08-09,23.31606
2020-08-10,34.19689
2020-08-11,31.34715
2020-08-12,29.27461
2020-08-13,29.79274
2020-08-14,24.87046
2020-08-15,10.62176
2020-08-16,12.43523
2020-08-17,18.13471
2020-08-18,15.8031
2020-08-19,20.98445
2020-08-20,16.58031
2020-08-21,17.35751
2020-08-22,14.76683
2020-08-23,15.8031
2020-08-24,23.05699
2020-08-25,24.61139
2020-08-26,27.7202
2020-08-27,29.53367
2020-08-28,22.27979
2020-08-29,18.39378
