date,주식초보
2020-11-07,13.29046
2020-11-08,13.50482
2020-11-09,22.56162
2020-11-10,26.15219
2020-11-11,24.81243
2020-11-12,25.72347
2020-11-13,22.50803
2020-11-14,13.23687
2020-11-15,15.00535
2020-11-16,29.58199
2020-11-17,32.10075
2020-11-18,32.95819
2020-11-19,29.84994
2020-11-20,25.88424
2020-11-21,17.47052
2020-11-22,18.7031
2020-11-23,30.92175
2020-11-24,32.95819
2020-11-25,43.03322
2020-11-26,39.28188
2020-11-27,32.79742
2020-11-28,27.17041
2020-11-29,25.45551
2020-11-30,37.19185
2020-12-01,44.10503
2020-12-02,38.37084
2020-12-03,41.21114
2020-12-04,43.83708
2020-12-05,30.97534
2020-12-06,28.29581
2020-12-07,40.35369
2020-12-08,41.74705
2020-12-09,42.44372
2020-12-10,44.90889
2020-12-11,36.22722
2020-12-12,23.09753
2020-12-13,25.08038
2020-12-14,36.17363
2020-12-15,34.88745
2020-12-16,34.6195
2020-12-17,39.44265
2020-12-18,32.52947
2020-12-19,27.38478
2020-12-20,25.24115
2020-12-21,38.53161
2020-12-22,34.35155
2020-12-23,39.06752
2020-12-24,28.72454
2020-12-25,24.33011
2020-12-26,24.54448
2020-12-27,33.27974
2020-12-28,42.39013
2020-12-29,46.08788
2020-12-30,50.26795
2020-12-31,39.22829
2021-01-01,33.22615
2021-01-02,36.65594
2021-01-03,40.51446
2021-01-04,64.84458
2021-01-05,70.20364
2021-01-06,88.79957
2021-01-07,73.8478
2021-01-08,100.0
2021-01-09,68.81028
2021-01-10,65.64844
2021-01-11,94.80171
2021-01-12,75.88424
2021-01-13,62.64737
2021-01-14,61.57556
2021-01-15,49.62486
2021-01-16,32.15434
2021-01-17,30.49303
2021-01-18,41.26473
2021-01-19,45.60557
2021-01-20,48.17792
2021-01-21,48.98177
2021-01-22,48.71382
2021-01-23,30.81457
2021-01-24,31.51125
2021-01-25,41.90782
2021-01-26,46.94533
2021-01-27,39.92497
2021-01-28,39.54983
2021-01-29,31.72561
2021-01-30,21.43622
2021-01-31,19.2926
2021-02-01,29.58199
2021-02-02,31.18971
2021-02-03,30.22508
2021-02-04,30.11789
2021-02-05,26.79528
2021-02-06,19.66773
2021-02-07,19.50696
2021-02-08,28.29581
2021-02-09,29.63558
2021-02-10,23.09753
2021-02-11,17.09539
2021-02-12,20.31082
2021-02-13,27.11682
2021-02-14,27.33118
2021-02-15,39.22829
2021-02-16,41.15755
2021-02-17,46.83815
2021-02-18,39.38906
2021-02-19,31.40407
2021-02-20,21.97213
2021-02-21,26.95605
2021-02-22,33.06538
2021-02-23,37.08467
2021-02-24,33.65487
2021-02-25,31.7792
2021-02-26,26.47374
2021-02-27,18.43515
2021-02-28,26.90246
2021-03-01,25.18756
2021-03-02,22.7224
2021-03-03,20.63236
2021-03-04,22.40085
2021-03-05,17.14898
2021-03-06,16.39871
2021-03-07,18.1672
2021-03-08,20.73954
2021-03-09,23.31189
2021-03-10,23.09753
2021-03-11,22.50803
2021-03-12,21.38263
2021-03-13,18.91747
2021-03-14,22.34726
2021-03-15,28.403
2021-03-16,26.47374
2021-03-17,25.66988
2021-03-18,26.20578
2021-03-19,22.99035
2021-03-20,15.75562
2021-03-21,15.59485
2021-03-22,26.6881
2021-03-23,21.91854
2021-03-24,23.09753
2021-03-25,17.84565
2021-03-26,17.09539
