date,법인세
2020-12-11,9.85058
2020-12-12,5.07286
2020-12-13,6.21656
2020-12-14,11.52923
2020-12-15,11.23408
2020-12-16,11.34477
2020-12-17,11.10496
2020-12-18,9.88747
2020-12-19,5.97675
2020-12-20,4.44567
2020-12-21,10.79136
2020-12-22,11.38166
2020-12-23,10.73602
2020-12-24,9.35251
2020-12-25,3.94761
2020-12-26,4.22431
2020-12-27,4.15052
2020-12-28,11.52923
2020-12-29,11.54768
2020-12-30,12.00885
2020-12-31,8.89134
2021-01-01,3.94761
2021-01-02,4.51946
2021-01-03,4.35344
2021-01-04,10.95738
2021-01-05,11.78749
2021-01-06,13.26323
2021-01-07,11.45545
2021-01-08,10.82826
2021-01-09,4.63014
2021-01-10,5.60782
2021-01-11,11.17874
2021-01-12,12.15642
2021-01-13,11.63991
2021-01-14,10.97583
2021-01-15,10.53311
2021-01-16,5.1282
2021-01-17,4.83305
2021-01-18,10.8467
2021-01-19,11.73215
2021-01-20,12.83895
2021-01-21,13.85353
2021-01-22,13.59527
2021-01-23,5.79228
2021-01-24,6.12433
2021-01-25,13.24478
2021-01-26,11.73215
2021-01-27,11.36321
2021-01-28,11.01272
2021-01-29,9.37096
2021-01-30,4.46412
2021-01-31,4.75926
2021-02-01,9.83213
2021-02-02,10.64379
2021-02-03,10.38553
2021-02-04,9.94281
2021-02-05,8.39328
2021-02-06,3.83693
2021-02-07,4.5379
2021-02-08,8.85445
2021-02-09,14.18557
2021-02-10,10.09038
2021-02-11,3.74469
2021-02-12,3.68935
2021-02-13,3.59712
2021-02-14,4.94373
2021-02-15,10.55155
2021-02-16,11.62147
2021-02-17,10.58845
2021-02-18,11.75059
2021-02-19,9.4263
2021-02-20,4.63014
2021-02-21,4.98063
2021-02-22,11.82438
2021-02-23,12.93119
2021-02-24,12.10108
2021-02-25,11.86128
2021-02-26,12.83895
2021-02-27,5.03597
2021-02-28,5.25733
2021-03-01,6.76996
2021-03-02,19.03707
2021-03-03,18.42833
2021-03-04,17.26618
2021-03-05,15.77199
2021-03-06,6.34569
2021-03-07,6.65928
2021-03-08,19.53514
2021-03-09,18.42833
2021-03-10,15.93801
2021-03-11,16.65744
2021-03-12,16.36229
2021-03-13,5.95831
2021-03-14,6.01365
2021-03-15,19.09241
2021-03-16,21.28758
2021-03-17,22.15458
2021-03-18,20.49437
2021-03-19,16.98948
2021-03-20,7.08356
2021-03-21,7.50783
2021-03-22,21.67496
2021-03-23,23.15071
2021-03-24,24.71868
2021-03-25,26.65559
2021-03-26,23.15071
2021-03-27,7.6923
2021-03-28,6.14277
2021-03-29,29.75465
2021-03-30,33.57314
2021-03-31,39.84504
2021-04-01,21.85943
2021-04-02,14.35159
2021-04-03,6.88064
2021-04-04,5.18354
2021-04-05,11.86128
2021-04-06,19.03707
2021-04-07,18.52056
2021-04-08,15.64287
2021-04-09,13.24478
2021-04-10,7.54473
2021-04-11,6.25345
2021-04-12,13.92731
2021-04-13,13.07876
2021-04-14,12.8574
2021-04-15,12.48847
2021-04-16,11.54768
2021-04-17,5.9952
2021-04-18,5.38646
2021-04-19,14.20402
2021-04-20,13.65061
2021-04-21,13.70595
2021-04-22,11.80593
2021-04-23,11.1603
2021-04-24,5.05441
2021-04-25,6.14277
2021-04-26,13.46615
2021-04-27,15.71665
2021-04-28,11.56613
2021-04-29,11.58457
2021-04-30,10.45932
2021-05-01,4.24275
2021-05-02,3.81848
2021-05-03,8.78066
2021-05-04,7.89522
2021-05-05,4.31654
2021-05-06,8.59619
2021-05-07,8.15347
2021-05-08,3.72624
2021-05-09,4.5748
2021-05-10,9.64766
2021-05-11,9.13115
2021-05-12,8.52241
2021-05-13,9.35251
2021-05-14,7.30492
2021-05-15,3.92916
2021-05-16,4.15052
2021-05-17,8.85445
2021-05-18,9.4263
2021-05-19,5.82918
2021-05-20,9.72145
2021-05-21,9.72145
2021-05-22,4.68548
2021-05-23,4.98063
2021-05-24,9.46319
2021-05-25,9.35251
2021-05-26,9.51853
2021-05-27,11.58457
2021-05-28,8.22726
2021-05-29,4.72237
2021-05-30,5.36801
2021-05-31,11.06806
2021-06-01,8.90979
2021-06-02,9.40785
2021-06-03,9.4263
2021-06-04,9.33407
2021-06-05,6.89909
2021-06-06,18.76037
2021-06-07,22.44973
2021-06-08,12.96808
2021-06-09,11.51079
2021-06-10,9.68456
2021-06-11,8.24571
2021-06-12,6.62239
2021-06-13,4.99907
2021-06-14,10.05349
2021-06-15,9.90592
2021-06-16,9.09426
2021-06-17,8.48551
2021-06-18,7.39715
2021-06-19,5.29422
2021-06-20,4.2612
2021-06-21,7.87677
2021-06-22,8.31949
2021-06-23,8.11658
2021-06-24,8.06124
2021-06-25,6.67773
2021-06-26,2.74857
2021-06-27,4.16897
2021-06-28,7.54473
2021-06-29,8.89134
2021-06-30,7.98745
2021-07-01,7.1389
2021-07-02,10.97583
2021-07-03,6.73307
2021-07-04,4.27965
2021-07-05,8.74377
2021-07-06,8.54085
2021-07-07,8.59619
2021-07-08,9.50009
2021-07-09,7.61852
2021-07-10,3.96605
2021-07-11,6.8622
2021-07-12,9.90592
2021-07-13,8.89134
2021-07-14,8.81756
2021-07-15,8.37483
2021-07-16,7.45249
2021-07-17,3.63401
2021-07-18,3.72624
2021-07-19,7.78454
2021-07-20,7.74764
2021-07-21,9.02047
2021-07-22,7.32337
2021-07-23,7.23113
2021-07-24,4.20586
2021-07-25,3.44954
2021-07-26,8.39328
2021-07-27,9.48164
2021-07-28,7.7292
2021-07-29,8.13503
2021-07-30,6.64084
2021-07-31,2.65633
2021-08-01,2.95148
2021-08-02,8.20881
2021-08-03,8.20881
2021-08-04,8.41173
2021-08-05,8.61464
2021-08-06,7.06511
2021-08-07,3.4311
2021-08-08,3.44954
2021-08-09,9.51853
2021-08-10,10.10883
2021-08-11,12.17487
2021-08-12,11.73215
2021-08-13,10.80981
2021-08-14,3.74469
2021-08-15,3.22818
2021-08-16,4.40878
2021-08-17,12.17487
2021-08-18,12.67293
2021-08-19,11.86128
2021-08-20,10.40398
2021-08-21,4.35344
2021-08-22,3.50488
2021-08-23,11.76904
2021-08-24,12.45157
2021-08-25,12.52536
2021-08-26,10.80981
2021-08-27,9.38941
2021-08-28,4.20586
2021-08-29,4.11363
2021-08-30,11.10496
2021-08-31,14.81276
2021-09-01,9.85058
2021-09-02,8.41173
2021-09-03,8.07969
2021-09-04,4.03984
2021-09-05,4.03984
2021-09-06,9.53698
2021-09-07,11.01272
2021-09-08,9.57387
2021-09-09,9.33407
2021-09-10,8.5593
2021-09-11,4.09518
2021-09-12,4.2612
2021-09-13,8.63309
2021-09-14,11.34477
2021-09-15,9.16805
2021-09-16,8.30105
2021-09-17,7.34181
2021-09-18,3.92916
2021-09-19,3.6709
2021-09-20,3.44954
2021-09-21,2.85925
2021-09-22,2.73012
2021-09-23,8.836
2021-09-24,8.33794
2021-09-25,4.05829
2021-09-26,3.85537
2021-09-27,8.48551
2021-09-28,8.81756
2021-09-29,8.26415
2021-09-30,8.92824
2021-10-01,7.89522
2021-10-02,4.70392
2021-10-03,4.33499
2021-10-04,5.23888
2021-10-05,9.64766
2021-10-06,10.16417
2021-10-07,9.33407
2021-10-08,8.07969
2021-10-09,5.27577
2021-10-10,5.05441
2021-10-11,6.29035
2021-10-12,10.27485
2021-10-13,11.437
2021-10-14,10.57
2021-10-15,7.76609
2021-10-16,4.15052
2021-10-17,4.29809
2021-10-18,8.81756
2021-10-19,9.40785
2021-10-20,9.46319
2021-10-21,10.0166
2021-10-22,9.66611
2021-10-23,4.44567
2021-10-24,4.37188
2021-10-25,12.00885
2021-10-26,11.28942
2021-10-27,11.25253
2021-10-28,9.50009
2021-10-29,9.07581
2021-10-30,3.7078
2021-10-31,4.37188
2021-11-01,10.82826
2021-11-02,9.703
2021-11-03,8.76222
2021-11-04,9.33407
2021-11-05,8.8729
2021-11-06,4.02139
2021-11-07,4.46412
2021-11-08,10.25641
2021-11-09,10.86515
2021-11-10,9.83213
2021-11-11,9.72145
2021-11-12,8.02434
2021-11-13,3.72624
2021-11-14,3.61556
2021-11-15,9.77679
2021-11-16,10.68068
2021-11-17,9.57387
2021-11-18,8.76222
2021-11-19,8.59619
2021-11-20,3.7078
