date,파킹통장추천
2020-03-20,0.48205
2020-03-21,0.2321
2020-03-22,0.24995
2020-03-23,0.4642
2020-03-24,0.33922
2020-03-25,0.37493
2020-03-26,0.42849
2020-03-27,0.76772
2020-03-28,0.24995
2020-03-29,0.21424
2020-03-30,0.55347
2020-03-31,0.78557
2020-04-01,0.9284
2020-04-02,0.89269
2020-04-03,1.6247
2020-04-04,0.87484
2020-04-05,0.58918
2020-04-06,1.48187
2020-04-07,1.12479
2020-04-08,1.8211
2020-04-09,0.85698
2020-04-10,1.19621
2020-04-11,0.6963
2020-04-12,0.96411
2020-04-13,1.57114
2020-04-14,0.99982
2020-04-15,0.85698
2020-04-16,0.96411
2020-04-17,1.1605
2020-04-18,0.91055
2020-04-19,0.76772
2020-04-20,1.08909
2020-04-21,0.99982
2020-04-22,1.48187
2020-04-23,1.32119
2020-04-24,1.08909
2020-04-25,0.74986
2020-04-26,0.71415
2020-04-27,1.12479
2020-04-28,0.94625
2020-04-29,0.94625
2020-04-30,0.66059
2020-05-01,0.4642
2020-05-02,0.49991
2020-05-03,0.74986
2020-05-04,0.66059
2020-05-05,0.91055
2020-05-06,0.98196
2020-05-07,0.74986
2020-05-08,0.94625
2020-05-09,0.4642
2020-05-10,0.58918
2020-05-11,1.44617
2020-05-12,1.80324
2020-05-13,1.12479
2020-05-14,1.17836
2020-05-15,0.9284
2020-05-16,0.82128
2020-05-17,0.9284
2020-05-18,1.66041
2020-05-19,1.05338
2020-05-20,0.85698
2020-05-21,0.76772
2020-05-22,0.74986
2020-05-23,0.58918
2020-05-24,0.49991
2020-05-25,1.05338
2020-05-26,0.85698
2020-05-27,0.60703
2020-05-28,0.53561
2020-05-29,0.6963
2020-05-30,0.19639
2020-05-31,0.35707
2020-06-01,0.91055
2020-06-02,0.87484
2020-06-03,0.6963
2020-06-04,0.67845
2020-06-05,0.66059
2020-06-06,0.32137
2020-06-07,0.30351
2020-06-08,0.96411
2020-06-09,0.80342
2020-06-10,0.99982
2020-06-11,0.74986
2020-06-12,0.74986
2020-06-13,0.33922
2020-06-14,0.33922
2020-06-15,0.49991
2020-06-16,0.37493
2020-06-17,0.53561
2020-06-18,0.4642
2020-06-19,0.51776
2020-06-20,0.17853
2020-06-21,0.35707
2020-06-22,0.80342
2020-06-23,0.89269
2020-06-24,1.01767
2020-06-25,0.85698
2020-06-26,0.62488
2020-06-27,0.12497
2020-06-28,0.10712
2020-06-29,0.57132
2020-06-30,0.73201
2020-07-01,0.96411
2020-07-02,0.6963
2020-07-03,0.89269
2020-07-04,0.85698
2020-07-05,0.64274
2020-07-06,0.99982
2020-07-07,1.57114
2020-07-08,2.37457
2020-07-09,1.21406
2020-07-10,0.89269
2020-07-11,0.66059
2020-07-12,0.55347
2020-07-13,0.87484
2020-07-14,1.6247
2020-07-15,0.99982
2020-07-16,1.01767
2020-07-17,0.76772
2020-07-18,0.49991
2020-07-19,0.49991
2020-07-20,0.78557
2020-07-21,0.66059
2020-07-22,0.51776
2020-07-23,0.66059
2020-07-24,0.87484
2020-07-25,0.44634
2020-07-26,0.51776
2020-07-27,0.82128
2020-07-28,0.82128
2020-07-29,0.83913
2020-07-30,0.83913
2020-07-31,0.94625
2020-08-01,0.66059
2020-08-02,0.89269
2020-08-03,0.64274
2020-08-04,0.78557
2020-08-05,1.3569
2020-08-06,0.98196
2020-08-07,0.85698
2020-08-08,0.51776
2020-08-09,0.33922
2020-08-10,0.85698
2020-08-11,0.99982
2020-08-12,1.01767
2020-08-13,0.9284
2020-08-14,1.17836
2020-08-15,1.08909
2020-08-16,1.03552
2020-08-17,0.82128
2020-08-18,0.83913
2020-08-19,1.30333
2020-08-20,1.30333
2020-08-21,0.80342
2020-08-22,0.80342
2020-08-23,0.71415
2020-08-24,0.71415
2020-08-25,2.10676
2020-08-26,0.99982
2020-08-27,0.85698
2020-08-28,0.55347
2020-08-29,0.62488
2020-08-30,0.83913
2020-08-31,0.87484
2020-09-01,1.14265
2020-09-02,1.01767
2020-09-03,0.66059
2020-09-04,1.32119
2020-09-05,0.48205
2020-09-06,0.44634
2020-09-07,0.57132
2020-09-08,0.62488
2020-09-09,0.55347
2020-09-10,0.55347
2020-09-11,0.64274
2020-09-12,0.2678
2020-09-13,0.2678
2020-09-14,0.78557
2020-09-15,0.6963
2020-09-16,0.53561
2020-09-17,0.55347
2020-09-18,0.85698
2020-09-19,0.37493
2020-09-20,0.48205
2020-09-21,0.42849
2020-09-22,0.57132
2020-09-23,0.42849
2020-09-24,0.71415
2020-09-25,0.82128
2020-09-26,0.60703
2020-09-27,0.32137
2020-09-28,0.64274
2020-09-29,0.4642
2020-09-30,0.4642
2020-10-01,0.35707
2020-10-02,0.4642
2020-10-03,0.41064
2020-10-04,0.87484
2020-10-05,1.07123
2020-10-06,0.89269
2020-10-07,0.48205
2020-10-08,0.71415
2020-10-09,0.44634
2020-10-10,0.60703
2020-10-11,0.37493
2020-10-12,2.17818
2020-10-13,1.71397
2020-10-14,1.24977
2020-10-15,1.17836
2020-10-16,0.89269
2020-10-17,0.2678
2020-10-18,0.60703
2020-10-19,1.53544
2020-10-20,0.96411
2020-10-21,1.17836
2020-10-22,1.07123
2020-10-23,0.83913
2020-10-24,0.66059
2020-10-25,0.55347
2020-10-26,0.98196
2020-10-27,1.08909
