date,증시휴장일
2020-03-20,9.2152
2020-03-21,3.35098
2020-03-22,1.88325
2020-03-23,6.10548
2020-03-24,3.90054
2020-03-25,5.60284
2020-03-26,5.4889
2020-03-27,11.01132
2020-03-28,3.0963
2020-03-29,1.7157
2020-03-30,4.61095
2020-03-31,3.86033
2020-04-01,3.62576
2020-04-02,3.45821
2020-04-03,4.4501
2020-04-04,2.27866
2020-04-05,1.28677
2020-04-06,5.56933
2020-04-07,3.67267
2020-04-08,4.30266
2020-04-09,5.71677
2020-04-10,13.04202
2020-04-11,4.04798
2020-04-12,2.3926
2020-04-13,9.71114
2020-04-14,10.98451
2020-04-15,10.66282
2020-04-16,2.3993
2020-04-17,5.90442
2020-04-18,2.28536
2020-04-19,1.68889
2020-04-20,4.83211
2020-04-21,4.69137
2020-04-22,4.91253
2020-04-23,4.26244
2020-04-24,5.24093
2020-04-25,3.10971
2020-04-26,3.7866
2020-04-27,10.95771
2020-04-28,16.0512
2020-04-29,51.26332
2020-04-30,46.59875
2020-05-01,100.0
2020-05-02,6.30654
2020-05-03,7.82119
2020-05-04,19.99865
2020-05-05,10.05294
2020-05-06,4.97285
2020-05-07,3.22364
2020-05-08,3.103
2020-05-09,1.50794
2020-05-10,0.93157
2020-05-11,2.19154
2020-05-12,1.93016
2020-05-13,1.709
2020-05-14,2.37919
2020-05-15,2.47302
2020-05-16,0.96508
2020-05-17,0.60987
2020-05-18,1.66878
2020-05-19,1.86984
2020-05-20,1.64868
2020-05-21,1.85644
2020-05-22,3.20353
2020-05-23,1.44092
2020-05-24,1.21975
2020-05-25,8.53159
2020-05-26,5.01977
2020-05-27,1.81623
2020-05-28,1.67549
2020-05-29,3.36438
2020-05-30,1.19294
2020-05-31,0.83774
2020-06-01,3.12311
2020-06-02,1.79612
2020-06-03,3.06279
2020-06-04,3.0762
2020-06-05,3.4314
2020-06-06,1.709
2020-06-07,1.12592
2020-06-08,3.19683
2020-06-09,2.82152
2020-06-10,2.35909
2020-06-11,6.48079
2020-06-12,4.53052
2020-06-13,1.41411
2020-06-14,0.91816
2020-06-15,6.20601
2020-06-16,2.47302
2020-06-17,1.93686
2020-06-18,2.0575
2020-06-19,2.45962
2020-06-20,1.0388
2020-06-21,0.54285
2020-06-22,1.76931
2020-06-23,1.47443
2020-06-24,1.84304
2020-06-25,4.24234
2020-06-26,2.88184
2020-06-27,1.0522
2020-06-28,0.78412
2020-06-29,2.31887
2020-06-30,2.0575
2020-07-01,3.15662
2020-07-02,2.97567
2020-07-03,7.02365
2020-07-04,2.33898
