date,의료실비보험
2020-03-20,28.73563
2020-03-21,16.66666
2020-03-22,16.09195
2020-03-23,25.86206
2020-03-24,29.31034
2020-03-25,27.87356
2020-03-26,34.48275
2020-03-27,23.85057
2020-03-28,18.3908
2020-03-29,13.7931
2020-03-30,27.29885
2020-03-31,28.16091
2020-04-01,25.57471
2020-04-02,25.28735
2020-04-03,16.95402
2020-04-04,18.10344
2020-04-05,11.49425
2020-04-06,26.43678
2020-04-07,21.55172
2020-04-08,31.32183
2020-04-09,30.45977
2020-04-10,24.71264
2020-04-11,15.22988
2020-04-12,16.37931
2020-04-13,33.33333
2020-04-14,27.29885
2020-04-15,19.54022
2020-04-16,27.01149
2020-04-17,25.28735
2020-04-18,13.50574
2020-04-19,11.49425
2020-04-20,24.13793
2020-04-21,34.77011
2020-04-22,31.32183
2020-04-23,40.51724
2020-04-24,25.28735
2020-04-25,15.22988
2020-04-26,11.49425
2020-04-27,32.47126
2020-04-28,31.03448
2020-04-29,30.74712
2020-04-30,13.21839
2020-05-01,18.96551
2020-05-02,10.34482
2020-05-03,17.52873
2020-05-04,23.85057
2020-05-05,11.49425
2020-05-06,30.45977
2020-05-07,29.5977
2020-05-08,31.32183
2020-05-09,10.05747
2020-05-10,22.12643
2020-05-11,37.93103
2020-05-12,27.01149
2020-05-13,27.29885
2020-05-14,28.16091
2020-05-15,25.28735
2020-05-16,9.77011
2020-05-17,10.34482
2020-05-18,27.01149
2020-05-19,28.16091
2020-05-20,27.29885
2020-05-21,28.44827
2020-05-22,16.95402
2020-05-23,14.65517
2020-05-24,9.77011
2020-05-25,27.87356
2020-05-26,32.75862
2020-05-27,27.5862
2020-05-28,24.71264
2020-05-29,16.66666
2020-05-30,12.35632
2020-05-31,14.08045
2020-06-01,27.01149
2020-06-02,26.14942
2020-06-03,20.11494
2020-06-04,18.67816
2020-06-05,19.25287
2020-06-06,8.62068
2020-06-07,16.66666
2020-06-08,24.13793
2020-06-09,25.57471
2020-06-10,25.28735
2020-06-11,27.5862
2020-06-12,19.82758
2020-06-13,18.96551
2020-06-14,13.21839
2020-06-15,26.14942
2020-06-16,33.62068
2020-06-17,24.42528
2020-06-18,24.42528
2020-06-19,26.43678
2020-06-20,16.37931
2020-06-21,18.3908
2020-06-22,23.85057
2020-06-23,27.87356
2020-06-24,20.40229
2020-06-25,25.57471
2020-06-26,21.55172
2020-06-27,13.21839
2020-06-28,7.75862
2020-06-29,23.27586
2020-06-30,22.70114
2020-07-01,27.01149
2020-07-02,20.97701
2020-07-03,20.40229
2020-07-04,12.64367
2020-07-05,8.90804
2020-07-06,29.31034
2020-07-07,26.72413
2020-07-08,24.13793
2020-07-09,25.0
2020-07-10,21.55172
2020-07-11,11.20689
2020-07-12,9.1954
2020-07-13,38.50574
2020-07-14,26.43678
2020-07-15,26.72413
2020-07-16,27.29885
2020-07-17,27.29885
2020-07-18,14.36781
2020-07-19,16.37931
2020-07-20,25.86206
2020-07-21,24.42528
2020-07-22,25.57471
2020-07-23,25.0
2020-07-24,21.83908
2020-07-25,13.7931
2020-07-26,10.34482
2020-07-27,28.73563
2020-07-28,27.87356
2020-07-29,24.71264
2020-07-30,23.56321
2020-07-31,22.9885
2020-08-01,12.64367
2020-08-02,9.77011
2020-08-03,25.0
2020-08-04,30.17241
2020-08-05,28.44827
2020-08-06,19.54022
2020-08-07,17.52873
2020-08-08,7.1839
2020-08-09,13.7931
2020-08-10,26.43678
2020-08-11,26.43678
2020-08-12,24.42528
2020-08-13,24.71264
2020-08-14,22.9885
2020-08-15,11.7816
2020-08-16,6.32183
2020-08-17,10.34482
2020-08-18,23.85057
2020-08-19,18.3908
2020-08-20,21.55172
2020-08-21,20.40229
2020-08-22,14.08045
2020-08-23,15.22988
2020-08-24,24.42528
2020-08-25,21.26436
2020-08-26,25.0
2020-08-27,34.1954
2020-08-28,22.41379
2020-08-29,14.08045
2020-08-30,11.20689
2020-08-31,23.27586
2020-09-01,26.43678
