date,항생
2020-03-20,9.98336
2020-03-21,3.0782
2020-03-22,3.16139
2020-03-23,12.56239
2020-03-24,8.65224
2020-03-25,7.82029
2020-03-26,10.8985
2020-03-27,7.65391
2020-03-28,2.49584
2020-03-29,1.83028
2020-03-30,9.15141
2020-03-31,7.65391
2020-04-01,6.73876
2020-04-02,6.1564
2020-04-03,5.15806
2020-04-04,2.66222
2020-04-05,1.4975
2020-04-06,7.32113
2020-04-07,5.49084
2020-04-08,6.1564
2020-04-09,5.40765
2020-04-10,3.82695
2020-04-11,1.66389
2020-04-12,1.91347
2020-04-13,4.90848
2020-04-14,5.40765
2020-04-15,6.82196
2020-04-16,3.49417
2020-04-17,5.07487
2020-04-18,1.91347
2020-04-19,0.91514
2020-04-20,5.57404
2020-04-21,7.82029
2020-04-22,5.90682
2020-04-23,7.98668
2020-04-24,6.48918
2020-04-25,2.41264
2020-04-26,1.33111
2020-04-27,4.32612
2020-04-28,6.2396
2020-04-29,3.41098
2020-04-30,3.74376
2020-05-01,3.41098
2020-05-02,1.58069
2020-05-03,2.16306
2020-05-04,10.31613
2020-05-05,5.40765
2020-05-06,4.90848
2020-05-07,4.40931
2020-05-08,4.6589
2020-05-09,1.99667
2020-05-10,2.07986
2020-05-11,6.07321
2020-05-12,5.57404
2020-05-13,4.32612
2020-05-14,3.74376
2020-05-15,4.90848
2020-05-16,1.4975
2020-05-17,2.74542
2020-05-18,6.07321
2020-05-19,5.07487
2020-05-20,6.65557
2020-05-21,6.57237
2020-05-22,24.04326
2020-05-23,3.99334
2020-05-24,5.24126
2020-05-25,14.30948
2020-05-26,7.7371
2020-05-27,8.90183
2020-05-28,13.47753
2020-05-29,9.40099
2020-05-30,3.99334
2020-05-31,2.82861
2020-06-01,9.06821
2020-06-02,8.15307
2020-06-03,5.99001
2020-06-04,6.1564
2020-06-05,5.74043
2020-06-06,2.995
2020-06-07,1.99667
2020-06-08,6.32279
2020-06-09,5.82362
2020-06-10,4.90848
2020-06-11,5.24126
2020-06-12,4.90848
2020-06-13,1.4143
2020-06-14,2.16306
2020-06-15,6.32279
2020-06-16,4.6589
2020-06-17,6.1564
2020-06-18,3.91014
2020-06-19,7.98668
2020-06-20,2.32945
2020-06-21,1.91347
2020-06-22,5.15806
2020-06-23,4.74209
2020-06-24,5.07487
2020-06-25,4.74209
2020-06-26,4.99168
2020-06-27,2.74542
2020-06-28,1.99667
2020-06-29,5.74043
2020-06-30,10.06655
2020-07-01,6.98835
2020-07-02,8.73544
2020-07-03,7.23793
2020-07-04,2.57903
2020-07-05,2.82861
2020-07-06,9.73377
2020-07-07,12.06322
2020-07-08,9.65058
2020-07-09,7.23793
2020-07-10,6.98835
2020-07-11,1.58069
2020-07-12,2.07986
2020-07-13,4.24292
2020-07-14,8.40266
2020-07-15,8.31946
2020-07-16,8.15307
2020-07-17,5.49084
2020-07-18,2.82861
2020-07-19,1.74708
2020-07-20,5.99001
2020-07-21,5.40765
2020-07-22,11.14808
2020-07-23,5.74043
2020-07-24,4.07653
2020-07-25,2.57903
2020-07-26,1.24792
2020-07-27,4.40931
2020-07-28,5.65723
2020-07-29,4.07653
2020-07-30,4.82529
2020-07-31,4.15973
2020-08-01,2.07986
2020-08-02,1.08153
2020-08-03,5.15806
2020-08-04,5.57404
