date,주식차트보는법
2020-03-20,38.56832
2020-03-21,23.21041
2020-03-22,20.34707
2020-03-23,35.01084
2020-03-24,35.79175
2020-03-25,44.51193
2020-03-26,45.98698
2020-03-27,50.88937
2020-03-28,36.96312
2020-03-29,29.76138
2020-03-30,46.68112
2020-03-31,53.2321
2020-04-01,57.04989
2020-04-02,54.53362
2020-04-03,50.49891
2020-04-04,41.08459
2020-04-05,33.31887
2020-04-06,45.85683
2020-04-07,50.75921
2020-04-08,53.36225
2020-04-09,54.22993
2020-04-10,47.11496
2020-04-11,38.87201
2020-04-12,33.14533
2020-04-13,37.44034
2020-04-14,39.73969
2020-04-15,31.45336
2020-04-16,34.14316
2020-04-17,41.43167
2020-04-18,34.83731
2020-04-19,28.54663
2020-04-20,33.79609
2020-04-21,34.83731
2020-04-22,41.08459
2020-04-23,39.47939
2020-04-24,36.18221
2020-04-25,24.68546
2020-04-26,23.38394
2020-04-27,28.6334
2020-04-28,34.3167
2020-04-29,29.02386
2020-04-30,23.29718
2020-05-01,21.12798
2020-05-02,15.14099
2020-05-03,14.27331
2020-05-04,19.1757
2020-05-05,19.39262
2020-05-06,19.91323
2020-05-07,25.42299
2020-05-08,24.25162
2020-05-09,23.21041
2020-05-10,15.61822
2020-05-11,21.8655
2020-05-12,22.25596
2020-05-13,25.07592
2020-05-14,29.41431
2020-05-15,26.94143
2020-05-16,21.25813
2020-05-17,17.8308
2020-05-18,24.77223
2020-05-19,29.76138
2020-05-20,27.80911
2020-05-21,33.14533
2020-05-22,28.24295
2020-05-23,21.47505
2020-05-24,20.30368
2020-05-25,27.2885
2020-05-26,27.85249
2020-05-27,31.14967
2020-05-28,31.75704
2020-05-29,26.4642
2020-05-30,18.95878
2020-05-31,14.44685
2020-06-01,20.04338
2020-06-02,28.8937
2020-06-03,30.32537
2020-06-04,38.22125
2020-06-05,32.75488
2020-06-06,23.60086
2020-06-07,22.03904
2020-06-08,27.59219
2020-06-09,32.32104
2020-06-10,33.2321
2020-06-11,32.66811
2020-06-12,32.10412
2020-06-13,20.56399
2020-06-14,16.13882
2020-06-15,22.6898
2020-06-16,26.55097
2020-06-17,27.07158
2020-06-18,26.2039
2020-06-19,24.46854
2020-06-20,17.48373
2020-06-21,15.87852
2020-06-22,23.16702
2020-06-23,24.68546
2020-06-24,29.28416
2020-06-25,30.41214
2020-06-26,26.50759
2020-06-27,17.74403
2020-06-28,13.2321
2020-06-29,18.17787
2020-06-30,23.21041
2020-07-01,23.94793
2020-07-02,26.33405
2020-07-03,23.81778
2020-07-04,15.31453
2020-07-05,14.09978
2020-07-06,21.95227
2020-07-07,25.77006
2020-07-08,26.98481
2020-07-09,30.67245
2020-07-10,28.85032
2020-07-11,17.61388
2020-07-12,20.34707
2020-07-13,27.67895
2020-07-14,32.19088
2020-07-15,32.53796
2020-07-16,34.53362
2020-07-17,28.3731
2020-07-18,20.95444
2020-07-19,19.65292
2020-07-20,25.81344
2020-07-21,33.62255
2020-07-22,39.73969
2020-07-23,42.51626
2020-07-24,37.52711
2020-07-25,25.98698
2020-07-26,20.82429
2020-07-27,31.36659
2020-07-28,39.56616
2020-07-29,39.78308
2020-07-30,42.51626
2020-07-31,35.01084
2020-08-01,23.99132
2020-08-02,21.95227
2020-08-03,31.49674
2020-08-04,38.78524
2020-08-05,40.95444
2020-08-06,41.69197
2020-08-07,40.30368
2020-08-08,32.62472
2020-08-09,29.32754
2020-08-10,39.13232
2020-08-11,43.12364
2020-08-12,45.68329
2020-08-13,46.2039
2020-08-14,38.22125
2020-08-15,28.19956
2020-08-16,19.78308
2020-08-17,19.60954
2020-08-18,24.33839
2020-08-19,31.0629
2020-08-20,29.93492
2020-08-21,29.80477
2020-08-22,22.03904
2020-08-23,19.95661
2020-08-24,31.0629
2020-08-25,40.30368
2020-08-26,43.12364
2020-08-27,44.68546
2020-08-28,42.60303
2020-08-29,31.62689
2020-08-30,28.41648
2020-08-31,37.96095
2020-09-01,45.46637
2020-09-02,52.27765
2020-09-03,53.88286
2020-09-04,48.98047
2020-09-05,37.8308
2020-09-06,31.0629
2020-09-07,44.77223
2020-09-08,49.24078
2020-09-09,54.22993
2020-09-10,61.17136
2020-09-11,58.30802
2020-09-12,43.55748
2020-09-13,33.88286
2020-09-14,44.98915
2020-09-15,50.71583
2020-09-16,51.10629
2020-09-17,49.37093
2020-09-18,42.55965
2020-09-19,30.49891
2020-09-20,23.90455
2020-09-21,31.80043
2020-09-22,33.2321
2020-09-23,37.65726
2020-09-24,34.62039
2020-09-25,31.71366
2020-09-26,22.25596
2020-09-27,18.13449
2020-09-28,22.03904
2020-09-29,21.25813
2020-09-30,16.35574
2020-10-01,13.83947
2020-10-02,14.36008
2020-10-03,15.31453
2020-10-04,14.75054
2020-10-05,23.90455
2020-10-06,30.19522
2020-10-07,29.76138
2020-10-08,28.54663
2020-10-09,22.25596
2020-10-10,18.56832
2020-10-11,15.70498
2020-10-12,25.20607
2020-10-13,30.15184
2020-10-14,30.67245
2020-10-15,30.28199
2020-10-16,26.59436
2020-10-17,18.13449
2020-10-18,15.14099
2020-10-19,22.12581
2020-10-20,25.63991
2020-10-21,26.29067
2020-10-22,24.64208
2020-10-23,23.81778
2020-10-24,14.75054
2020-10-25,13.31887
2020-10-26,19.95661
2020-10-27,21.99566
2020-10-28,25.50976
2020-10-29,22.99349
2020-10-30,21.04121
2020-10-31,14.14316
2020-11-01,13.70932
2020-11-02,16.96312
2020-11-03,19.30585
2020-11-04,18.78524
2020-11-05,21.08459
2020-11-06,24.42516
2020-11-07,16.70281
2020-11-08,13.66594
2020-11-09,23.90455
2020-11-10,30.19522
2020-11-11,32.66811
2020-11-12,37.39696
2020-11-13,32.23427
2020-11-14,21.04121
2020-11-15,18.26464
2020-11-16,30.88937
2020-11-17,35.09761
2020-11-18,39.52277
2020-11-19,40.69414
2020-11-20,37.78741
2020-11-21,25.81344
2020-11-22,22.51626
2020-11-23,36.44251
2020-11-24,38.61171
2020-11-25,43.51409
2020-11-26,43.25379
2020-11-27,37.04989
2020-11-28,28.45986
2020-11-29,27.41865
2020-11-30,34.66377
2020-12-01,40.99783
2020-12-02,43.81778
2020-12-03,51.93058
2020-12-04,48.15618
2020-12-05,33.2321
2020-12-06,31.19305
2020-12-07,43.90455
2020-12-08,45.68329
2020-12-09,46.16052
2020-12-10,47.80911
2020-12-11,48.28633
