date,지급명령신청
2020-03-20,48.66123
2020-03-21,27.70663
2020-03-22,24.33061
2020-03-23,59.60419
2020-03-24,59.25494
2020-03-25,60.41909
2020-03-26,55.87892
2020-03-27,50.75669
2020-03-28,32.24679
2020-03-29,33.76018
2020-03-30,72.6426
2020-03-31,75.66938
2020-04-01,62.28172
2020-04-02,64.61001
2020-04-03,52.73573
2020-04-04,29.9185
2020-04-05,30.73341
2020-04-06,69.49941
2020-04-07,67.63678
2020-04-08,64.49359
2020-04-09,62.74738
2020-04-10,62.39813
2020-04-11,29.9185
2020-04-12,28.63795
2020-04-13,65.77415
2020-04-14,58.44004
2020-04-15,74.50523
2020-04-16,78.11408
2020-04-17,76.60069
2020-04-18,30.26775
2020-04-19,31.89755
2020-04-20,75.55296
2020-04-21,67.63678
2020-04-22,67.63678
2020-04-23,65.30849
2020-04-24,56.11175
2020-04-25,35.62281
2020-04-26,24.79627
2020-04-27,66.9383
2020-04-28,62.28172
2020-04-29,54.36554
2020-04-30,36.55413
2020-05-01,41.21071
2020-05-02,25.49476
2020-05-03,30.61699
2020-05-04,60.76833
2020-05-05,32.36321
2020-05-06,72.29336
2020-05-07,75.20372
2020-05-08,64.49359
2020-05-09,36.08847
2020-05-10,28.87077
2020-05-11,68.68451
2020-05-12,73.92316
2020-05-13,69.73224
2020-05-14,76.13504
2020-05-15,65.30849
2020-05-16,30.50058
2020-05-17,32.82887
2020-05-18,77.76484
2020-05-19,75.20372
2020-05-20,72.06053
2020-05-21,74.85448
2020-05-22,55.18044
2020-05-23,32.01396
2020-05-24,29.22002
2020-05-25,74.2724
2020-05-26,84.86612
2020-05-27,77.41559
2020-05-28,70.66356
2020-05-29,63.09662
2020-05-30,28.52153
2020-05-31,33.06169
2020-06-01,80.6752
2020-06-02,78.46332
2020-06-03,76.94994
2020-06-04,75.55296
2020-06-05,59.02211
2020-06-06,31.08265
2020-06-07,29.56926
2020-06-08,75.90221
2020-06-09,70.77997
2020-06-10,71.8277
2020-06-11,70.77997
2020-06-12,62.63096
2020-06-13,26.19324
2020-06-14,27.00814
2020-06-15,78.11408
2020-06-16,73.34109
2020-06-17,70.43073
2020-06-18,68.68451
2020-06-19,60.41909
2020-06-20,32.94528
2020-06-21,27.12456
2020-06-22,65.07566
2020-06-23,74.62165
2020-06-24,67.05471
2020-06-25,72.6426
2020-06-26,56.92665
2020-06-27,32.24679
2020-06-28,29.45285
2020-06-29,66.00698
2020-06-30,82.77066
2020-07-01,82.53783
2020-07-02,76.48428
2020-07-03,66.58905
2020-07-04,29.22002
2020-07-05,32.24679
2020-07-06,71.24563
2020-07-07,75.78579
2020-07-08,69.84866
2020-07-09,76.94994
2020-07-10,63.56228
2020-07-11,27.00814
2020-07-12,30.03492
2020-07-13,69.03376
2020-07-14,73.4575
2020-07-15,72.06053
2020-07-16,66.23981
2020-07-17,63.21303
2020-07-18,28.75436
2020-07-19,28.40512
2020-07-20,70.08149
2020-07-21,78.34691
2020-07-22,72.6426
2020-07-23,61.69965
2020-07-24,55.99534
2020-07-25,25.96041
2020-07-26,29.45285
2020-07-27,71.12922
2020-07-28,76.83352
2020-07-29,68.5681
2020-07-30,59.95343
2020-07-31,69.49941
2020-08-01,34.34225
2020-08-02,28.2887
2020-08-03,68.91734
2020-08-04,72.87543
2020-08-05,70.43073
2020-08-06,66.12339
2020-08-07,75.20372
2020-08-08,28.2887
2020-08-09,30.61699
2020-08-10,80.44237
2020-08-11,78.46332
2020-08-12,67.40395
2020-08-13,67.63678
2020-08-14,55.87892
2020-08-15,30.50058
2020-08-16,24.44703
2020-08-17,34.80791
2020-08-18,68.68451
2020-08-19,71.0128
2020-08-20,68.10244
2020-08-21,68.10244
2020-08-22,31.54831
2020-08-23,33.17811
2020-08-24,81.37369
2020-08-25,80.79161
2020-08-26,71.94412
2020-08-27,69.26658
2020-08-28,57.85797
2020-08-29,35.5064
2020-08-30,30.03492
2020-08-31,79.27823
2020-09-01,82.18859
2020-09-02,79.62747
2020-09-03,69.73224
2020-09-04,56.11175
2020-09-05,30.84982
2020-09-06,28.87077
2020-09-07,73.92316
2020-09-08,71.94412
2020-09-09,76.83352
2020-09-10,74.97089
2020-09-11,73.4575
2020-09-12,27.00814
2020-09-13,25.844
2020-09-14,69.96507
2020-09-15,71.24563
2020-09-16,78.69615
2020-09-17,69.61583
2020-09-18,62.9802
2020-09-19,29.1036
2020-09-20,26.07683
2020-09-21,69.49941
2020-09-22,65.89057
2020-09-23,62.74738
2020-09-24,61.23399
2020-09-25,63.21303
2020-09-26,30.73341
2020-09-27,30.84982
2020-09-28,64.61001
2020-09-29,53.31781
2020-09-30,29.1036
2020-10-01,18.74272
2020-10-02,28.17229
2020-10-03,30.15133
2020-10-04,40.27939
2020-10-05,85.44819
2020-10-06,83.00349
2020-10-07,73.10826
2020-10-08,70.66356
2020-10-09,31.08265
2020-10-10,30.50058
2020-10-11,28.87077
2020-10-12,79.51105
2020-10-13,72.52619
2020-10-14,65.19208
2020-10-15,64.61001
2020-10-16,67.52037
2020-10-17,26.30966
2020-10-18,26.89173
2020-10-19,72.75902
2020-10-20,69.96507
2020-10-21,65.89057
2020-10-22,64.02793
2020-10-23,52.73573
2020-10-24,32.24679
2020-10-25,27.93946
2020-10-26,69.26658
2020-10-27,70.89639
2020-10-28,71.47846
2020-10-29,65.65774
2020-10-30,59.02211
2020-10-31,35.73923
2020-11-01,33.29452
2020-11-02,72.99185
2020-11-03,77.99767
2020-11-04,63.32945
2020-11-05,62.86379
2020-11-06,68.21885
2020-11-07,29.56926
2020-11-08,27.12456
2020-11-09,70.89639
2020-11-10,71.36204
2020-11-11,68.68451
2020-11-12,66.23981
2020-11-13,53.20139
2020-11-14,26.89173
2020-11-15,26.42607
2020-11-16,71.0128
2020-11-17,65.19208
2020-11-18,67.52037
2020-11-19,63.79511
