date,양자컴퓨터관련주
2020-03-20,0.2459
2020-03-21,0.2757
2020-03-22,0.20864
2020-03-23,0.29806
2020-03-24,0.2757
2020-03-25,0.58867
2020-03-26,0.61102
2020-03-27,2.1833
2020-03-28,0.84202
2020-03-29,0.56631
2020-03-30,0.62593
2020-03-31,1.24441
2020-04-01,0.81967
2020-04-02,0.70789
2020-04-03,0.4769
2020-04-04,0.46199
2020-04-05,0.32041
2020-04-06,0.52906
2020-04-07,0.58867
2020-04-08,0.55141
2020-04-09,0.53651
2020-04-10,0.46199
2020-04-11,0.35767
2020-04-12,0.38748
2020-04-13,0.25335
2020-04-14,0.46199
2020-04-15,0.30551
2020-04-16,0.43219
2020-04-17,0.38748
2020-04-18,0.29806
2020-04-19,0.25335
2020-04-20,0.48435
2020-04-21,0.40238
2020-04-22,0.55141
2020-04-23,0.84202
2020-04-24,0.38748
2020-04-25,0.4769
2020-04-26,0.38748
2020-04-27,0.91654
2020-04-28,0.68554
2020-04-29,0.39493
2020-04-30,0.29806
2020-05-01,0.61102
2020-05-02,0.29061
2020-05-03,0.18628
2020-05-04,0.29806
2020-05-05,0.34277
2020-05-06,0.35022
2020-05-07,0.34277
2020-05-08,0.56631
2020-05-09,0.42473
2020-05-10,0.4918
2020-05-11,0.38002
2020-05-12,3.45752
2020-05-13,12.58569
2020-05-14,3.67362
2020-05-15,1.83308
2020-05-16,1.29657
2020-05-17,1.28912
2020-05-18,1.63189
2020-05-19,1.81818
2020-05-20,1.84798
2020-05-21,2.37704
2020-05-22,1.63189
2020-05-23,0.7228
2020-05-24,1.03576
2020-05-25,1.49031
2020-05-26,1.25931
2020-05-27,25.22354
2020-05-28,100.0
2020-05-29,5.42473
2020-05-30,3.77794
2020-05-31,3.32339
2020-06-01,3.72578
2020-06-02,2.83159
2020-06-03,3.33084
2020-06-04,2.72727
2020-06-05,1.79582
2020-06-06,0.97615
2020-06-07,1.26676
2020-06-08,1.16989
2020-06-09,0.87183
2020-06-10,1.48286
2020-06-11,1.63934
2020-06-12,1.10283
2020-06-13,0.84202
2020-06-14,0.93144
2020-06-15,0.83457
2020-06-16,1.00596
2020-06-17,0.9687
2020-06-18,0.78986
2020-06-19,1.00596
2020-06-20,0.55141
2020-06-21,0.67064
2020-06-22,0.88673
2020-06-23,0.87928
2020-06-24,0.70789
2020-06-25,0.65573
2020-06-26,0.77496
2020-06-27,0.41728
2020-06-28,0.7228
2020-06-29,0.4918
2020-06-30,0.39493
2020-07-01,0.41728
2020-07-02,0.4918
2020-07-03,0.46944
2020-07-04,0.34277
2020-07-05,0.59612
2020-07-06,0.65573
2020-07-07,0.99105
2020-07-08,0.76005
2020-07-09,3.69597
2020-07-10,2.34724
2020-07-11,0.91654
2020-07-12,1.34873
2020-07-13,1.04321
2020-07-14,0.91654
2020-07-15,0.89418
2020-07-16,0.84202
2020-07-17,0.49925
2020-07-18,0.37257
2020-07-19,0.42473
2020-07-20,0.62593
2020-07-21,0.96125
2020-07-22,0.56631
2020-07-23,0.57377
2020-07-24,0.36512
2020-07-25,0.23845
2020-07-26,0.40983
2020-07-27,0.69299
2020-07-28,0.9985
2020-07-29,1.06557
2020-07-30,1.4456
2020-07-31,0.64083
2020-08-01,0.91654
2020-08-02,0.56631
2020-08-03,0.89418
2020-08-04,1.01341
2020-08-05,1.16989
2020-08-06,2.31743
2020-08-07,0.78241
2020-08-08,0.84202
2020-08-09,0.54396
2020-08-10,0.7526
2020-08-11,0.71535
2020-08-12,0.67809
2020-08-13,0.80476
2020-08-14,0.62593
2020-08-15,0.40983
2020-08-16,0.43964
2020-08-17,0.40238
2020-08-18,0.68554
2020-08-19,0.48435
2020-08-20,0.53651
2020-08-21,0.38002
2020-08-22,0.40983
2020-08-23,0.48435
2020-08-24,0.64828
2020-08-25,0.90163
2020-08-26,0.70789
2020-08-27,1.31147
2020-08-28,0.62593
2020-08-29,0.5067
2020-08-30,1.02831
2020-08-31,0.76751
2020-09-01,0.69299
2020-09-02,0.64828
2020-09-03,1.35618
2020-09-04,0.73025
2020-09-05,0.57377
2020-09-06,0.86438
2020-09-07,1.08792
2020-09-08,0.94634
2020-09-09,1.40834
2020-09-10,1.13263
2020-09-11,1.07302
2020-09-12,0.46944
2020-09-13,0.74515
2020-09-14,0.68554
2020-09-15,0.82712
2020-09-16,0.73025
2020-09-17,0.74515
2020-09-18,0.67809
2020-09-19,0.68554
2020-09-20,0.61847
2020-09-21,0.61102
2020-09-22,0.54396
2020-09-23,1.35618
2020-09-24,2.05663
2020-09-25,0.65573
2020-09-26,0.43964
2020-09-27,0.60357
2020-09-28,0.61102
2020-09-29,0.55886
2020-09-30,0.64828
2020-10-01,0.49925
2020-10-02,0.42473
2020-10-03,0.4918
2020-10-04,0.60357
2020-10-05,0.56631
2020-10-06,0.54396
2020-10-07,0.46199
2020-10-08,0.60357
2020-10-09,0.43964
2020-10-10,0.38002
2020-10-11,0.34277
2020-10-12,0.46944
2020-10-13,0.39493
2020-10-14,0.36512
2020-10-15,0.29806
2020-10-16,0.17138
2020-10-17,0.20119
2020-10-18,0.52906
2020-10-19,2.07898
2020-10-20,0.81967
2020-10-21,0.77496
2020-10-22,0.7377
2020-10-23,0.2757
2020-10-24,0.46199
2020-10-25,0.32041
2020-10-26,0.39493
