date,알바
2020-03-20,74.17439
2020-03-21,62.1234
2020-03-22,64.51332
2020-03-23,93.09096
2020-03-24,88.10834
2020-03-25,82.30011
2020-03-26,80.33024
2020-03-27,76.81054
2020-03-28,60.05214
2020-03-29,62.07995
2020-03-30,91.81633
2020-03-31,93.20683
2020-04-01,89.58574
2020-04-02,86.77578
2020-04-03,80.31575
2020-04-04,59.4438
2020-04-05,65.07821
2020-04-06,90.16512
2020-04-07,88.12282
2020-04-08,86.76129
2020-04-09,80.06952
2020-04-10,71.33545
2020-04-11,58.34298
2020-04-12,64.23812
2020-04-13,88.35457
2020-04-14,79.75086
2020-04-15,64.31054
2020-04-16,79.28736
2020-04-17,73.37775
2020-04-18,60.4577
2020-04-19,63.19524
2020-04-20,93.07647
2020-04-21,85.47219
2020-04-22,84.96523
2020-04-23,78.73696
2020-04-24,73.62398
2020-04-25,53.80938
2020-04-26,60.02317
2020-04-27,84.87833
2020-04-28,79.31633
2020-04-29,70.24913
2020-04-30,53.49073
2020-05-01,55.59096
2020-05-02,48.79779
2020-05-03,51.56431
2020-05-04,68.93105
2020-05-05,59.09617
2020-05-06,75.81112
2020-05-07,67.7723
2020-05-08,62.48551
2020-05-09,51.65121
2020-05-10,54.92468
2020-05-11,79.47566
2020-05-12,70.71263
2020-05-13,74.52201
2020-05-14,67.67091
2020-05-15,59.38586
2020-05-16,48.07358
2020-05-17,52.60718
2020-05-18,75.23174
2020-05-19,71.26303
2020-05-20,64.64368
2020-05-21,65.38238
2020-05-22,60.21147
2020-05-23,47.97219
2020-05-24,52.56373
2020-05-25,79.0701
2020-05-26,73.98609
2020-05-27,67.71436
2020-05-28,69.61181
2020-05-29,58.48783
2020-05-30,45.61123
2020-05-31,49.60892
2020-06-01,74.73928
2020-06-02,68.61239
2020-06-03,69.88702
2020-06-04,63.73117
2020-06-05,56.51796
2020-06-06,49.29026
2020-06-07,53.91077
2020-06-08,74.92757
2020-06-09,68.33719
2020-06-10,67.71436
2020-06-11,63.12282
2020-06-12,60.09559
2020-06-13,49.40614
2020-06-14,53.95422
2020-06-15,80.24333
2020-06-16,71.49478
2020-06-17,67.2219
2020-06-18,67.74333
2020-06-19,60.53012
2020-06-20,49.92757
2020-06-21,53.04171
2020-06-22,75.47798
2020-06-23,73.10254
2020-06-24,70.1767
2020-06-25,70.87195
2020-06-26,67.2219
2020-06-27,52.63615
2020-06-28,60.29837
2020-06-29,82.02491
2020-06-30,78.34588
2020-07-01,80.48957
2020-07-02,77.10023
2020-07-03,68.26477
2020-07-04,50.2752
2020-07-05,56.14136
2020-07-06,84.63209
2020-07-07,77.34646
2020-07-08,74.73928
2020-07-09,68.03302
2020-07-10,62.73174
2020-07-11,49.39165
2020-07-12,58.08227
2020-07-13,80.86616
2020-07-14,77.65063
2020-07-15,78.25898
2020-07-16,67.46813
2020-07-17,61.22537
2020-07-18,49.46407
2020-07-19,52.70857
2020-07-20,75.56488
2020-07-21,73.76882
2020-07-22,68.67033
2020-07-23,67.33777
2020-07-24,60.50115
2020-07-25,50.47798
2020-07-26,53.57763
2020-07-27,77.82444
2020-07-28,70.62572
2020-07-29,68.87311
2020-07-30,62.99246
2020-07-31,58.47334
2020-08-01,45.01738
2020-08-02,47.74044
