date,성형어플
2020-03-20,42.47491
2020-03-21,32.77591
2020-03-22,30.76923
2020-03-23,28.76254
2020-03-24,28.42809
2020-03-25,27.0903
2020-03-26,22.40802
2020-03-27,20.40133
2020-03-28,22.74247
2020-03-29,22.74247
2020-03-30,25.7525
2020-03-31,23.41137
2020-04-01,20.73578
2020-04-02,29.09698
2020-04-03,22.74247
2020-04-04,21.73913
2020-04-05,25.41806
2020-04-06,27.42474
2020-04-07,19.73244
2020-04-08,22.74247
2020-04-09,20.06688
2020-04-10,21.40468
2020-04-11,26.75585
2020-04-12,16.7224
2020-04-13,29.43143
2020-04-14,22.40802
2020-04-15,27.0903
2020-04-16,26.75585
2020-04-17,25.41806
2020-04-18,21.40468
2020-04-19,29.76588
2020-04-20,28.76254
2020-04-21,35.11705
2020-04-22,27.75919
2020-04-23,26.75585
2020-04-24,22.74247
2020-04-25,17.05685
2020-04-26,28.42809
2020-04-27,18.39464
2020-04-28,22.07357
2020-04-29,29.43143
2020-04-30,13.71237
2020-05-01,22.07357
2020-05-02,18.72909
2020-05-03,26.75585
2020-05-04,24.41471
2020-05-05,19.39799
2020-05-06,23.41137
2020-05-07,23.74581
2020-05-08,21.07023
2020-05-09,21.73913
2020-05-10,17.72575
2020-05-11,24.41471
2020-05-12,20.73578
2020-05-13,20.73578
2020-05-14,25.08361
2020-05-15,22.07357
2020-05-16,19.06354
2020-05-17,24.74916
2020-05-18,18.0602
2020-05-19,29.09698
2020-05-20,17.72575
2020-05-21,24.08026
2020-05-22,20.73578
2020-05-23,16.38795
2020-05-24,18.39464
2020-05-25,25.08361
2020-05-26,20.40133
2020-05-27,20.40133
2020-05-28,24.08026
2020-05-29,15.71906
2020-05-30,16.38795
2020-05-31,19.73244
2020-06-01,18.72909
2020-06-02,37.79264
2020-06-03,43.8127
2020-06-04,27.42474
2020-06-05,21.40468
2020-06-06,19.06354
2020-06-07,19.39799
2020-06-08,21.40468
2020-06-09,25.08361
2020-06-10,23.07692
2020-06-11,19.06354
2020-06-12,18.72909
2020-06-13,21.07023
2020-06-14,18.39464
2020-06-15,24.08026
2020-06-16,22.07357
2020-06-17,12.70903
2020-06-18,17.72575
2020-06-19,19.06354
2020-06-20,20.40133
2020-06-21,15.38461
2020-06-22,19.06354
2020-06-23,19.73244
2020-06-24,22.74247
2020-06-25,17.72575
2020-06-26,18.72909
2020-06-27,18.39464
2020-06-28,19.06354
2020-06-29,20.40133
2020-06-30,16.05351
2020-07-01,14.71571
2020-07-02,20.06688
2020-07-03,15.05016
2020-07-04,16.05351
2020-07-05,15.71906
2020-07-06,22.74247
2020-07-07,21.07023
2020-07-08,21.07023
2020-07-09,20.73578
2020-07-10,15.05016
2020-07-11,19.06354
2020-07-12,16.05351
2020-07-13,20.73578
2020-07-14,15.05016
2020-07-15,16.05351
2020-07-16,19.06354
2020-07-17,23.41137
2020-07-18,17.3913
2020-07-19,18.0602
2020-07-20,22.40802
2020-07-21,24.41471
2020-07-22,25.7525
2020-07-23,20.73578
2020-07-24,16.05351
2020-07-25,20.06688
2020-07-26,23.07692
2020-07-27,24.74916
2020-07-28,21.07023
2020-07-29,21.40468
2020-07-30,26.08695
2020-07-31,24.74916
2020-08-01,22.07357
2020-08-02,23.41137
2020-08-03,17.72575
2020-08-04,24.74916
2020-08-05,26.75585
2020-08-06,23.41137
2020-08-07,23.07692
2020-08-08,16.05351
2020-08-09,23.41137
2020-08-10,29.09698
2020-08-11,24.74916
2020-08-12,18.72909
2020-08-13,21.07023
2020-08-14,20.06688
2020-08-15,18.39464
2020-08-16,20.73578
2020-08-17,24.74916
2020-08-18,22.07357
2020-08-19,29.76588
2020-08-20,24.74916
2020-08-21,18.0602
2020-08-22,20.73578
2020-08-23,25.08361
2020-08-24,21.40468
2020-08-25,20.40133
2020-08-26,25.7525
2020-08-27,17.72575
2020-08-28,20.06688
2020-08-29,18.72909
2020-08-30,22.74247
2020-08-31,23.07692
2020-09-01,16.05351
2020-09-02,21.07023
2020-09-03,17.05685
2020-09-04,20.73578
2020-09-05,20.40133
2020-09-06,22.40802
2020-09-07,20.73578
2020-09-08,24.41471
2020-09-09,28.09364
2020-09-10,24.08026
2020-09-11,20.73578
2020-09-12,20.06688
2020-09-13,16.7224
2020-09-14,14.04682
2020-09-15,19.39799
2020-09-16,20.06688
2020-09-17,22.74247
2020-09-18,27.0903
2020-09-19,20.40133
2020-09-20,22.74247
2020-09-21,14.71571
2020-09-22,22.40802
2020-09-23,17.3913
2020-09-24,23.41137
2020-09-25,17.05685
2020-09-26,17.05685
2020-09-27,23.41137
