date,미국ETF추천
2020-03-20,37.65124
2020-03-21,26.54804
2020-03-22,22.56227
2020-03-23,20.35587
2020-03-24,24.6975
2020-03-25,26.61921
2020-03-26,28.96797
2020-03-27,20.07117
2020-03-28,15.51601
2020-03-29,12.17081
2020-03-30,13.38078
2020-03-31,16.0854
2020-04-01,15.01779
2020-04-02,11.17437
2020-04-03,12.52669
2020-04-04,10.17793
2020-04-05,12.31316
2020-04-06,12.38434
2020-04-07,16.15658
2020-04-08,15.30249
2020-04-09,16.15658
2020-04-10,16.3701
2020-04-11,10.88967
2020-04-12,14.87544
2020-04-13,10.96085
2020-04-14,14.73309
2020-04-15,13.66548
2020-04-16,14.37722
2020-04-17,16.01423
2020-04-18,14.37722
2020-04-19,13.879
2020-04-20,12.59786
2020-04-21,11.17437
2020-04-22,12.81138
2020-04-23,11.31672
2020-04-24,10.39145
2020-04-25,9.03914
2020-04-26,10.32028
2020-04-27,9.32384
2020-04-28,8.25622
2020-04-29,12.45551
2020-04-30,11.1032
2020-05-01,9.32384
2020-05-02,5.90747
2020-05-03,6.26334
2020-05-04,7.61565
2020-05-05,7.4733
2020-05-06,6.76156
2020-05-07,6.76156
2020-05-08,6.04982
2020-05-09,6.40569
2020-05-10,6.26334
2020-05-11,5.90747
2020-05-12,6.33451
2020-05-13,6.33451
2020-05-14,4.27046
2020-05-15,4.9822
2020-05-16,5.97864
2020-05-17,6.61921
2020-05-18,6.19217
2020-05-19,9.18149
2020-05-20,8.61209
2020-05-21,7.97153
2020-05-22,6.69039
2020-05-23,6.19217
2020-05-24,6.61921
2020-05-25,7.97153
2020-05-26,11.45907
2020-05-27,14.30604
2020-05-28,13.5943
2020-05-29,11.24555
2020-05-30,7.04626
2020-05-31,7.04626
2020-06-01,11.81494
2020-06-02,9.82206
2020-06-03,11.53024
2020-06-04,12.17081
2020-06-05,13.52313
2020-06-06,10.10676
2020-06-07,8.46975
2020-06-08,10.88967
2020-06-09,15.87188
2020-06-10,12.88256
2020-06-11,10.46263
2020-06-12,10.74733
2020-06-13,8.39857
2020-06-14,7.11743
2020-06-15,7.04626
2020-06-16,9.32384
2020-06-17,8.54092
2020-06-18,8.0427
2020-06-19,7.82918
2020-06-20,7.11743
2020-06-21,4.76868
2020-06-22,5.83629
2020-06-23,7.11743
2020-06-24,7.40213
2020-06-25,7.25978
2020-06-26,8.3274
2020-06-27,5.62277
2020-06-28,6.69039
2020-06-29,9.03914
2020-06-30,7.61565
2020-07-01,7.40213
2020-07-02,9.53736
2020-07-03,5.90747
2020-07-04,3.77224
2020-07-05,6.19217
2020-07-06,9.18149
2020-07-07,8.25622
2020-07-08,8.61209
2020-07-09,8.82562
2020-07-10,7.97153
2020-07-11,6.26334
2020-07-12,5.97864
2020-07-13,10.5338
2020-07-14,7.04626
2020-07-15,9.39501
2020-07-16,6.26334
2020-07-17,5.5516
2020-07-18,3.70106
2020-07-19,3.62989
2020-07-20,7.11743
2020-07-21,7.33096
2020-07-22,8.68327
2020-07-23,8.39857
2020-07-24,5.40925
2020-07-25,3.06049
2020-07-26,4.9822
2020-07-27,8.89679
2020-07-28,9.11032
2020-07-29,8.82562
2020-07-30,8.18505
2020-07-31,7.40213
2020-08-01,5.48042
2020-08-02,6.47686
2020-08-03,9.89323
2020-08-04,10.03558
2020-08-05,11.45907
2020-08-06,10.10676
2020-08-07,11.60142
2020-08-08,8.61209
2020-08-09,7.4733
2020-08-10,9.67971
2020-08-11,10.67615
2020-08-12,9.96441
2020-08-13,8.61209
2020-08-14,10.10676
2020-08-15,5.69395
2020-08-16,3.91459
2020-08-17,7.68683
2020-08-18,7.11743
2020-08-19,8.82562
2020-08-20,6.26334
2020-08-21,8.89679
2020-08-22,7.40213
2020-08-23,5.62277
2020-08-24,9.11032
2020-08-25,12.81138
