date,기업정보사이트
2020-03-20,13.76811
2020-03-21,7.24637
2020-03-22,3.62318
2020-03-23,12.31884
2020-03-24,12.31884
2020-03-25,15.21739
2020-03-26,10.14492
2020-03-27,14.49275
2020-03-28,5.7971
2020-03-29,5.07246
2020-03-30,23.91304
2020-03-31,13.04347
2020-04-01,12.31884
2020-04-02,10.14492
2020-04-03,21.73913
2020-04-04,7.97101
2020-04-05,8.69565
2020-04-06,11.5942
2020-04-07,15.94202
2020-04-08,11.5942
2020-04-09,18.84057
2020-04-10,7.24637
2020-04-12,9.42028
2020-04-13,11.5942
2020-04-14,20.28985
2020-04-15,8.69565
2020-04-16,18.84057
2020-04-17,10.14492
2020-04-18,4.34782
2020-04-19,4.34782
2020-04-20,12.31884
2020-04-21,12.31884
2020-04-22,31.15942
2020-04-23,23.91304
2020-04-24,10.86956
2020-04-25,12.31884
2020-04-26,7.97101
2020-04-27,23.91304
2020-04-28,16.66666
2020-04-29,17.3913
2020-04-30,15.21739
2020-05-01,4.34782
2020-05-03,5.7971
2020-05-04,5.7971
2020-05-05,8.69565
2020-05-06,20.28985
2020-05-07,17.3913
2020-05-08,12.31884
2020-05-09,7.97101
2020-05-10,3.62318
2020-05-11,8.69565
2020-05-12,20.28985
2020-05-13,16.66666
2020-05-14,13.76811
2020-05-15,13.76811
2020-05-16,5.07246
2020-05-17,7.97101
2020-05-18,11.5942
2020-05-19,16.66666
2020-05-20,6.52173
2020-05-21,10.14492
2020-05-22,13.04347
2020-05-23,3.62318
2020-05-24,16.66666
2020-05-25,14.49275
2020-05-26,15.94202
2020-05-27,16.66666
2020-05-28,6.52173
2020-05-29,19.56521
2020-05-30,5.07246
2020-05-31,21.01449
2020-06-01,12.31884
2020-06-02,6.52173
2020-06-03,15.21739
2020-06-04,6.52173
2020-06-05,10.14492
2020-06-07,5.07246
2020-06-08,18.84057
2020-06-09,14.49275
2020-06-10,16.66666
2020-06-11,12.31884
2020-06-12,11.5942
2020-06-13,8.69565
2020-06-14,13.04347
2020-06-15,10.14492
2020-06-16,13.04347
2020-06-17,9.42028
2020-06-18,14.49275
2020-06-19,11.5942
2020-06-20,7.24637
2020-06-22,15.94202
2020-06-23,13.76811
2020-06-24,8.69565
2020-06-25,26.08695
2020-06-26,13.76811
2020-06-27,8.69565
2020-06-29,15.21739
2020-06-30,15.21739
2020-07-01,15.21739
2020-07-02,15.21739
2020-07-03,15.21739
2020-07-04,7.97101
2020-07-06,7.24637
2020-07-07,14.49275
2020-07-08,15.94202
2020-07-09,20.28985
2020-07-10,13.76811
2020-07-13,13.76811
2020-07-14,17.3913
2020-07-15,7.97101
2020-07-16,18.11594
2020-07-17,12.31884
2020-07-18,5.7971
2020-07-19,8.69565
2020-07-20,12.31884
2020-07-21,12.31884
2020-07-22,8.69565
2020-07-23,22.46376
2020-07-24,13.76811
2020-07-25,4.34782
2020-07-26,3.62318
2020-07-27,13.76811
2020-07-28,13.76811
2020-07-29,16.66666
2020-07-30,4.34782
2020-07-31,5.7971
2020-08-01,5.07246
2020-08-02,10.14492
2020-08-03,7.97101
2020-08-04,15.21739
2020-08-05,12.31884
2020-08-06,7.97101
2020-08-07,8.69565
2020-08-09,7.24637
2020-08-10,4.34782
2020-08-11,14.49275
2020-08-12,11.5942
2020-08-13,7.24637
2020-08-14,7.24637
2020-08-15,3.62318
2020-08-17,5.7971
2020-08-18,10.86956
2020-08-19,16.66666
2020-08-20,5.07246
2020-08-21,13.04347
2020-08-22,3.62318
2020-08-23,4.34782
2020-08-24,13.04347
2020-08-25,13.04347
2020-08-26,15.21739
2020-08-27,10.86956
2020-08-28,7.97101
2020-08-29,7.97101
2020-08-30,3.62318
2020-08-31,15.94202
2020-09-01,12.31884
2020-09-02,16.66666
2020-09-03,15.21739
2020-09-04,12.31884
2020-09-05,5.7971
2020-09-06,6.52173
2020-09-07,12.31884
2020-09-08,21.01449
2020-09-09,15.94202
2020-09-10,18.11594
2020-09-11,11.5942
2020-09-12,7.97101
2020-09-13,11.5942
2020-09-14,18.84057
2020-09-15,17.3913
2020-09-16,15.21739
2020-09-17,10.14492
2020-09-18,15.21739
2020-09-19,7.97101
2020-09-20,13.76811
2020-09-21,10.86956
2020-09-22,17.3913
2020-09-23,16.66666
2020-09-24,22.46376
2020-09-25,9.42028
2020-09-26,8.69565
2020-09-27,9.42028
2020-09-28,14.49275
2020-09-29,9.42028
2020-09-30,4.34782
2020-10-03,5.07246
2020-10-04,13.04347
2020-10-05,15.94202
2020-10-06,15.21739
2020-10-07,13.76811
2020-10-08,15.94202
2020-10-09,11.5942
2020-10-10,6.52173
2020-10-11,9.42028
2020-10-12,18.11594
2020-10-13,19.56521
2020-10-14,16.66666
2020-10-15,15.94202
2020-10-16,12.31884
2020-10-17,7.24637
2020-10-18,5.07246
2020-10-19,13.76811
2020-10-20,21.01449
2020-10-21,13.76811
2020-10-22,19.56521
2020-10-23,11.5942
2020-10-25,9.42028
2020-10-26,24.63768
2020-10-27,21.73913
2020-10-28,10.86956
2020-10-29,7.97101
2020-10-30,18.11594
2020-10-31,5.07246
2020-11-01,11.5942
2020-11-02,20.28985
2020-11-03,9.42028
2020-11-04,11.5942
2020-11-05,9.42028
2020-11-06,10.86956
2020-11-07,5.07246
2020-11-08,3.62318
2020-11-09,6.52173
2020-11-10,19.56521
2020-11-11,13.76811
2020-11-12,15.21739
2020-11-13,6.52173
2020-11-14,5.7971
2020-11-16,12.31884
2020-11-17,13.04347
2020-11-18,40.57971
2020-11-19,43.47826
2020-11-20,21.73913
2020-11-21,10.14492
