date,파이썬
2020-03-20,58.23886
2020-03-21,37.48987
2020-03-22,39.73684
2020-03-23,54.55465
2020-03-24,56.86234
2020-03-25,52.30769
2020-03-26,53.54251
2020-03-27,48.48178
2020-03-28,34.77732
2020-03-29,37.77327
2020-03-30,47.14574
2020-03-31,50.66801
2020-04-01,46.47773
2020-04-02,50.20242
2020-04-03,45.93117
2020-04-04,32.22672
2020-04-05,35.89068
2020-04-06,45.62753
2020-04-07,50.80971
2020-04-08,50.87044
2020-04-09,54.00809
2020-04-10,44.61538
2020-04-11,32.59109
2020-04-12,33.82591
2020-04-13,49.21052
2020-04-14,48.64372
2020-04-15,31.1336
2020-04-16,57.89473
2020-04-17,47.57085
2020-04-18,31.86234
2020-04-19,34.21052
2020-04-20,50.68825
2020-04-21,54.23076
2020-04-22,56.65991
2020-04-23,52.04453
2020-04-24,44.67611
2020-04-25,29.00809
2020-04-26,31.61943
2020-04-27,47.1255
2020-04-28,48.29959
2020-04-29,44.04858
2020-04-30,28.62348
2020-05-01,29.97975
2020-05-02,24.83805
2020-05-03,28.70445
2020-05-04,40.89068
2020-05-05,31.05263
2020-05-06,47.9757
2020-05-07,47.99595
2020-05-08,38.09716
2020-05-09,30.2834
2020-05-10,35.50607
2020-05-11,47.77327
2020-05-12,44.91902
2020-05-13,49.29149
2020-05-14,46.57894
2020-05-15,42.75303
2020-05-16,27.77327
2020-05-17,27.87449
2020-05-18,44.93927
2020-05-19,45.26315
2020-05-20,47.61133
2020-05-21,38.52226
2020-05-22,40.52631
2020-05-23,26.1336
2020-05-24,28.36032
2020-05-25,45.1417
2020-05-26,45.87044
2020-05-27,44.12955
2020-05-28,38.44129
2020-05-29,36.07287
2020-05-30,24.87854
2020-05-31,26.63967
2020-06-01,45.5668
2020-06-02,47.08502
2020-06-03,45.52631
2020-06-04,42.28744
2020-06-05,46.78137
2020-06-06,26.82186
2020-06-07,31.37651
2020-06-08,43.74493
2020-06-09,45.54655
2020-06-10,48.66396
2020-06-11,44.25101
2020-06-12,40.12145
2020-06-13,39.06882
2020-06-14,30.18218
2020-06-15,46.88259
2020-06-16,46.2753
2020-06-17,49.59514
2020-06-18,42.81376
2020-06-19,43.64372
2020-06-20,29.67611
2020-06-21,29.91902
2020-06-22,51.90283
2020-06-23,56.07287
2020-06-24,56.59919
2020-06-25,50.20242
2020-06-26,44.97975
2020-06-27,27.71255
2020-06-28,30.87044
2020-06-29,48.03643
2020-06-30,58.54251
2020-07-01,49.45344
2020-07-02,47.34817
2020-07-03,48.36032
2020-07-04,30.97165
2020-07-05,31.76113
2020-07-06,54.27125
2020-07-07,51.07287
2020-07-08,51.7004
2020-07-09,45.20242
2020-07-10,40.89068
2020-07-11,29.41295
2020-07-12,29.02834
2020-07-13,49.49392
2020-07-14,48.52226
2020-07-15,48.17813
2020-07-16,47.77327
2020-07-17,44.10931
2020-07-18,29.33198
2020-07-19,36.29554
2020-07-20,51.9838
2020-07-21,45.68825
2020-07-22,47.63157
2020-07-23,43.38056
2020-07-24,36.76113
2020-07-25,25.82995
2020-07-26,27.36842
2020-07-27,41.35627
2020-07-28,43.15789
2020-07-29,44.33198
2020-07-30,42.99595
2020-07-31,39.12955
2020-08-01,28.68421
2020-08-02,27.34817
2020-08-03,44.53441
2020-08-04,48.1174
2020-08-05,47.65182
2020-08-06,43.36032
2020-08-07,42.51012
2020-08-08,26.5587
2020-08-09,30.36437
2020-08-10,46.9838
2020-08-11,48.70445
2020-08-12,48.27935
2020-08-13,42.14574
2020-08-14,36.74089
2020-08-15,25.72874
2020-08-16,22.99595
2020-08-17,29.75708
2020-08-18,39.69635
2020-08-19,38.60323
2020-08-20,38.86639
2020-08-21,33.01619
2020-08-22,25.18218
2020-08-23,29.14979
2020-08-24,44.02834
2020-08-25,46.82186
2020-08-26,42.53036
2020-08-27,45.7085
2020-08-28,40.54655
2020-08-29,30.12145
2020-08-30,33.2591
2020-08-31,61.57894
2020-09-01,83.86639
2020-09-02,82.79352
2020-09-03,88.56275
2020-09-04,68.86639
2020-09-05,43.66396
2020-09-06,49.97975
2020-09-07,81.07287
2020-09-08,73.05668
2020-09-09,62.20647
2020-09-10,62.34817
2020-09-11,55.30364
2020-09-12,38.36032
2020-09-13,39.33198
2020-09-14,58.13765
2020-09-15,54.91902
2020-09-16,54.81781
2020-09-17,51.7004
2020-09-18,48.1174
2020-09-19,32.77327
2020-09-20,34.83805
2020-09-21,58.76518
2020-09-22,56.51821
2020-09-23,54.91902
2020-09-24,53.29959
2020-09-25,45.72874
2020-09-26,35.40485
2020-09-27,36.59919
2020-09-28,52.81376
2020-09-29,44.85829
2020-09-30,25.02024
2020-10-01,19.91902
2020-10-02,22.57085
2020-10-03,27.57085
2020-10-04,32.65182
2020-10-05,52.61133
2020-10-06,48.70445
2020-10-07,47.06477
2020-10-08,42.87449
2020-10-09,28.4008
2020-10-10,28.36032
2020-10-11,31.9838
2020-10-12,43.4008
2020-10-13,50.20242
2020-10-14,44.71659
2020-10-15,44.35222
2020-10-16,40.20242
2020-10-17,28.19838
2020-10-18,31.94331
2020-10-19,52.67206
2020-10-20,51.07287
2020-10-21,50.26315
2020-10-22,48.01619
2020-10-23,42.57085
2020-10-24,29.77732
2020-10-25,29.79757
2020-10-26,49.19028
2020-10-27,51.90283
2020-10-28,51.45748
2020-10-29,47.10526
2020-10-30,39.61538
2020-10-31,30.66801
2020-11-01,31.47773
2020-11-02,47.93522
2020-11-03,47.61133
2020-11-04,44.93927
2020-11-05,49.59514
2020-11-06,42.04453
2020-11-07,37.85425
2020-11-08,33.78542
2020-11-09,49.49392
2020-11-10,49.23076
2020-11-11,48.23886
2020-11-12,49.89878
2020-11-13,49.71659
2020-11-14,33.78542
2020-11-15,33.94736
2020-11-16,49.43319
2020-11-17,50.36437
2020-11-18,46.88259
2020-11-19,44.45344
2020-11-20,42.75303
2020-11-21,32.22672
2020-11-22,31.82186
2020-11-23,46.57894
2020-11-24,45.54655
2020-11-25,44.71659
2020-11-26,50.91093
2020-11-27,44.91902
2020-11-28,32.28744
2020-11-29,32.2672
2020-11-30,51.53846
2020-12-01,49.91902
2020-12-02,51.21457
2020-12-03,43.96761
2020-12-04,42.81376
2020-12-05,40.54655
2020-12-06,40.76923
2020-12-07,54.83805
2020-12-08,52.61133
2020-12-09,58.52226
2020-12-10,53.21862
2020-12-11,49.47368
2020-12-12,36.417
2020-12-13,46.1336
2020-12-14,80.36437
