date,근저당설정해지
2020-03-20,64.73684
2020-03-21,25.78947
2020-03-22,38.42105
2020-03-23,68.42105
2020-03-24,81.8421
2020-03-25,66.8421
2020-03-26,72.10526
2020-03-27,64.47368
2020-03-28,29.47368
2020-03-29,23.94736
2020-03-30,72.89473
2020-03-31,67.36842
2020-04-01,60.26315
2020-04-02,61.31578
2020-04-03,60.78947
2020-04-04,22.89473
2020-04-05,21.31578
2020-04-06,72.63157
2020-04-07,69.47368
2020-04-08,56.57894
2020-04-09,63.94736
2020-04-10,58.42105
2020-04-11,17.63157
2020-04-12,30.0
2020-04-13,71.31578
2020-04-14,58.42105
2020-04-15,32.36842
2020-04-16,62.63157
2020-04-17,63.15789
2020-04-18,31.57894
2020-04-19,25.78947
2020-04-20,75.78947
2020-04-21,79.73684
2020-04-22,64.73684
2020-04-23,70.0
2020-04-24,66.31578
2020-04-25,23.68421
2020-04-26,27.89473
2020-04-27,76.57894
2020-04-28,72.10526
2020-04-29,64.47368
2020-04-30,27.36842
2020-05-01,31.8421
2020-05-02,21.31578
2020-05-03,30.78947
2020-05-04,95.52631
2020-05-05,31.8421
2020-05-06,87.36842
2020-05-07,71.57894
2020-05-08,69.73684
2020-05-09,31.8421
2020-05-10,26.05263
2020-05-11,96.57894
2020-05-12,83.15789
2020-05-13,82.89473
2020-05-14,76.05263
2020-05-15,55.52631
2020-05-16,26.57894
2020-05-17,31.8421
2020-05-18,89.47368
2020-05-19,99.47368
2020-05-20,91.05263
2020-05-21,91.05263
2020-05-22,80.26315
2020-05-23,34.73684
2020-05-24,31.31578
2020-05-25,95.26315
2020-05-26,91.31578
2020-05-27,80.78947
2020-05-28,85.78947
2020-05-29,73.42105
2020-05-30,36.05263
2020-05-31,32.10526
2020-06-01,80.52631
2020-06-02,75.52631
2020-06-03,67.89473
2020-06-04,63.94736
2020-06-05,57.10526
2020-06-06,23.68421
2020-06-07,27.36842
2020-06-08,80.0
2020-06-09,71.57894
2020-06-10,69.73684
2020-06-11,68.42105
2020-06-12,54.47368
2020-06-13,25.52631
2020-06-14,28.68421
2020-06-15,72.63157
2020-06-16,72.36842
2020-06-17,76.05263
2020-06-18,74.21052
2020-06-19,66.57894
2020-06-20,25.0
2020-06-21,24.47368
2020-06-22,70.26315
2020-06-23,70.0
2020-06-24,66.8421
2020-06-25,70.52631
2020-06-26,51.8421
2020-06-27,21.05263
2020-06-28,26.57894
2020-06-29,86.05263
2020-06-30,99.73684
2020-07-01,65.78947
2020-07-02,79.47368
2020-07-03,68.68421
2020-07-04,24.47368
2020-07-05,26.8421
2020-07-06,84.73684
2020-07-07,82.10526
2020-07-08,82.10526
2020-07-09,78.68421
2020-07-10,67.10526
2020-07-11,24.21052
2020-07-12,17.10526
2020-07-13,54.47368
2020-07-14,63.15789
2020-07-15,65.0
2020-07-16,62.63157
2020-07-17,70.52631
2020-07-18,20.0
2020-07-19,25.52631
2020-07-20,66.8421
2020-07-21,63.68421
2020-07-22,67.36842
2020-07-23,59.21052
2020-07-24,46.57894
2020-07-25,20.78947
2020-07-26,19.21052
2020-07-27,51.8421
2020-07-28,62.10526
2020-07-29,71.57894
2020-07-30,56.57894
2020-07-31,48.68421
2020-08-01,25.78947
2020-08-02,20.78947
2020-08-03,72.36842
2020-08-04,67.36842
2020-08-05,57.36842
2020-08-06,55.52631
2020-08-07,61.31578
2020-08-08,18.94736
2020-08-09,17.89473
2020-08-10,68.42105
2020-08-11,56.57894
2020-08-12,83.94736
2020-08-13,68.94736
2020-08-14,57.63157
2020-08-15,20.26315
2020-08-16,11.57894
2020-08-17,28.94736
2020-08-18,61.8421
2020-08-19,62.89473
2020-08-20,67.36842
2020-08-21,54.21052
2020-08-22,19.47368
2020-08-23,18.94736
2020-08-24,55.26315
2020-08-25,55.52631
2020-08-26,45.0
2020-08-27,43.42105
2020-08-28,49.21052
2020-08-29,18.94736
2020-08-30,22.63157
2020-08-31,75.52631
2020-09-01,54.73684
2020-09-02,46.05263
2020-09-03,53.94736
2020-09-04,50.0
2020-09-05,22.10526
2020-09-06,20.78947
2020-09-07,71.05263
2020-09-08,68.68421
2020-09-09,56.05263
