date,COIN
2020-03-20,3.18622
2020-03-21,2.43419
2020-03-22,2.37482
2020-03-23,4.21531
2020-03-24,3.4237
2020-03-25,3.44349
2020-03-26,3.70077
2020-03-27,3.28517
2020-03-28,2.77063
2020-03-29,2.11755
2020-03-30,3.91846
2020-03-31,3.62161
2020-04-01,3.79972
2020-04-02,3.26538
2020-04-03,3.24559
2020-04-04,2.33524
2020-04-05,2.31545
2020-04-06,3.28517
2020-04-07,3.54245
2020-04-08,3.18622
2020-04-09,3.74035
2020-04-10,2.49356
2020-04-11,2.4144
2020-04-12,2.29566
2020-04-13,3.34454
2020-04-14,3.66119
2020-04-15,3.16643
2020-04-16,3.0279
2020-04-17,3.58203
2020-04-18,1.91965
2020-04-19,2.4144
2020-04-20,2.98832
2020-04-21,3.79972
2020-04-22,3.93825
2020-04-23,4.0372
2020-04-24,2.83
2020-04-25,2.2165
2020-04-26,2.09776
2020-04-27,3.28517
2020-04-28,3.6414
2020-04-29,3.77993
2020-04-30,2.53314
2020-05-01,3.06748
2020-05-02,2.19671
2020-05-03,2.15713
2020-05-04,4.15594
2020-05-05,2.47377
2020-05-06,4.15594
2020-05-07,3.85909
2020-05-08,3.32475
2020-05-09,2.73105
2020-05-10,2.55293
2020-05-11,4.07678
2020-05-12,4.29447
2020-05-13,4.25489
2020-05-14,3.93825
2020-05-15,4.25489
2020-05-16,2.23629
2020-05-17,2.25608
2020-05-18,5.02671
2020-05-19,3.62161
2020-05-20,3.4237
2020-05-21,4.33405
2020-05-22,4.69028
2020-05-23,3.08727
2020-05-24,2.86958
2020-05-25,3.6414
2020-05-26,3.85909
2020-05-27,3.04769
2020-05-28,3.04769
2020-05-29,2.71126
2020-05-30,2.65188
2020-05-31,2.51335
2020-06-01,3.60182
2020-06-02,3.38412
2020-06-03,5.38294
2020-06-04,3.70077
2020-06-05,2.92895
2020-06-06,2.90916
2020-06-07,2.51335
2020-06-08,4.09657
2020-06-09,3.38412
2020-06-10,3.20601
