date,SK이노베이션주가
2020-03-20,8.58398
2020-03-21,1.56178
2020-03-22,1.49164
2020-03-23,8.2327
2020-03-24,8.5606
2020-03-25,11.39368
2020-03-26,12.83564
2020-03-27,9.55601
2020-03-28,1.64303
2020-03-29,1.35838
2020-03-30,8.32446
2020-03-31,7.19404
2020-04-01,7.10753
2020-04-02,7.89836
2020-04-03,8.83882
2020-04-04,1.36013
2020-04-05,1.00241
2020-04-06,7.48103
2020-04-07,7.55994
2020-04-08,6.91582
2020-04-09,7.0935
2020-04-10,7.99247
2020-04-11,1.18829
2020-04-12,1.1386
2020-04-13,6.89419
2020-04-14,5.97769
2020-04-15,1.19004
2020-04-16,5.58958
2020-04-17,6.07296
2020-04-18,1.12516
2020-04-19,0.93695
2020-04-20,6.85386
2020-04-21,7.37699
2020-04-22,6.98654
2020-04-23,6.71066
2020-04-24,5.46158
2020-04-25,0.92994
2020-04-26,0.74699
2020-04-27,5.14711
2020-04-28,5.58783
2020-04-29,6.07296
2020-04-30,1.14737
2020-05-01,1.18361
2020-05-02,0.61898
2020-05-03,0.66224
2020-05-04,4.8461
2020-05-05,0.82999
2020-05-06,7.05142
2020-05-07,5.14244
2020-05-08,4.40129
2020-05-09,0.63301
2020-05-10,0.61547
2020-05-11,4.64912
2020-05-12,4.69003
2020-05-13,4.8572
2020-05-14,4.60528
2020-05-15,4.94195
2020-05-16,0.69906
2020-05-17,0.52429
2020-05-18,4.81453
2020-05-19,7.57981
2020-05-20,6.28338
2020-05-21,7.23729
2020-05-22,5.9169
2020-05-23,0.81421
2020-05-24,0.73179
2020-05-25,5.97009
2020-05-26,9.86872
2020-05-27,9.5262
2020-05-28,7.83173
2020-05-29,6.19337
2020-05-30,0.80193
2020-05-31,0.71542
2020-06-01,7.24781
2020-06-02,6.31495
2020-06-03,6.98479
2020-06-04,6.71124
2020-06-05,6.07939
2020-06-06,0.89954
2020-06-07,0.73997
2020-06-08,6.49147
2020-06-09,5.89469
2020-06-10,5.32831
2020-06-11,5.7737
2020-06-12,5.88008
2020-06-13,0.66983
2020-06-14,0.5693
2020-06-15,6.69604
2020-06-16,7.15371
2020-06-17,9.29883
2020-06-18,7.59851
2020-06-19,6.78489
2020-06-20,0.8107
2020-06-21,0.6371
2020-06-22,6.01042
2020-06-23,6.74689
2020-06-24,8.1345
