date,조선주
2020-03-20,3.88389
2020-03-21,2.43254
2020-03-22,2.08503
2020-03-23,3.51594
2020-03-24,3.14799
2020-03-25,3.7408
2020-03-26,3.843
2020-03-27,2.96402
2020-03-28,2.49386
2020-03-29,2.4121
2020-03-30,2.65739
2020-03-31,3.65903
2020-04-01,3.94521
2020-04-02,3.0049
2020-04-03,4.02698
2020-04-04,2.28945
2020-04-05,2.35077
2020-04-06,3.02534
2020-04-07,2.69828
2020-04-08,2.06459
2020-04-09,3.92477
2020-04-10,5.1717
2020-04-11,2.82093
2020-04-12,3.06623
2020-04-13,2.20768
2020-04-14,2.63695
2020-04-15,1.71708
2020-04-16,2.4121
2020-04-17,2.80049
2020-04-18,1.77841
2020-04-19,1.94194
2020-04-20,2.55519
2020-04-21,3.69991
2020-04-22,5.60098
2020-04-23,9.01471
2020-04-24,6.70482
2020-04-25,3.08667
2020-04-26,2.82093
2020-04-27,3.41373
2020-04-28,3.82256
2020-04-29,5.6623
2020-04-30,2.1668
2020-05-01,1.79885
2020-05-02,1.6762
2020-05-03,1.65576
2020-05-04,2.4121
2020-05-05,1.55355
2020-05-06,3.35241
2020-05-07,2.06459
2020-05-08,1.71708
2020-05-09,1.86017
2020-05-10,1.55355
2020-05-11,2.61651
2020-05-12,1.96238
2020-05-13,1.63532
2020-05-14,3.45461
2020-05-15,4.76287
2020-05-16,1.34914
2020-05-17,1.57399
2020-05-18,1.94194
2020-05-19,2.65739
2020-05-20,1.6762
2020-05-21,2.78004
2020-05-22,2.14636
2020-05-23,2.02371
2020-05-24,4.21095
2020-05-25,11.40637
2020-05-26,9.01471
2020-05-27,29.3336
2020-05-28,11.63123
2020-05-29,6.92968
2020-05-30,5.00817
2020-05-31,3.37285
2020-06-01,9.52575
2020-06-02,100.0
2020-06-03,56.68438
2020-06-04,24.28454
2020-06-05,15.59689
2020-06-06,8.62632
2020-06-07,7.93131
2020-06-08,16.10793
2020-06-09,8.565
2020-06-10,8.83074
2020-06-11,8.36058
2020-06-12,5.27391
2020-06-13,3.33197
2020-06-14,3.37285
2020-06-15,8.93295
2020-06-16,7.25674
2020-06-17,7.46116
2020-06-18,9.19869
2020-06-19,5.68274
2020-06-20,3.4955
2020-06-21,3.92477
2020-06-22,5.68274
2020-06-23,7.39983
2020-06-24,5.88716
2020-06-25,5.25347
2020-06-26,3.88389
2020-06-27,2.39165
2020-06-28,2.90269
2020-06-29,4.0883
2020-06-30,3.39329
2020-07-01,3.59771
2020-07-02,3.67947
2020-07-03,2.78004
2020-07-04,2.49386
2020-07-05,2.49386
2020-07-06,3.55682
2020-07-07,3.76124
2020-07-08,3.18887
2020-07-09,3.4955
2020-07-10,3.92477
2020-07-11,2.26901
2020-07-12,2.24856
2020-07-13,4.88552
2020-07-14,2.63695
2020-07-15,5.08994
2020-07-16,3.92477
2020-07-17,3.76124
2020-07-18,2.39165
2020-07-19,2.12591
2020-07-20,3.90433
2020-07-21,7.13409
2020-07-22,5.00817
2020-07-23,3.39329
2020-07-24,3.08667
2020-07-25,2.06459
2020-07-26,1.81929
2020-07-27,3.35241
2020-07-28,3.33197
2020-07-29,3.29108
2020-07-30,2.88225
2020-07-31,2.96402
2020-08-01,2.26901
2020-08-02,2.24856
2020-08-03,3.4955
2020-08-04,3.82256
2020-08-05,4.25183
2020-08-06,4.0883
2020-08-07,3.57726
2020-08-08,1.96238
2020-08-09,2.73916
2020-08-10,3.55682
2020-08-11,8.91251
2020-08-12,7.42027
2020-08-13,7.17497
2020-08-14,6.09157
2020-08-15,5.02861
2020-08-16,4.21095
2020-08-17,3.67947
2020-08-18,5.0695
2020-08-19,4.12919
2020-08-20,2.92313
2020-08-21,3.33197
2020-08-22,1.88062
2020-08-23,1.83973
2020-08-24,3.47506
2020-08-25,7.70645
2020-08-26,5.25347
2020-08-27,3.65903
2020-08-28,3.72035
2020-08-29,2.67784
2020-08-30,2.4121
2020-08-31,4.43581
2020-09-01,4.8242
2020-09-02,4.59934
2020-09-03,4.72199
2020-09-04,3.61815
2020-09-05,2.18724
2020-09-06,2.22812
2020-09-07,5.23303
2020-09-08,4.90596
2020-09-09,4.78331
2020-09-10,5.31479
2020-09-11,4.43581
2020-09-12,2.57563
2020-09-13,3.10711
2020-09-14,5.08994
2020-09-15,3.92477
2020-09-16,5.31479
2020-09-17,3.78168
2020-09-18,2.65739
2020-09-19,2.12591
2020-09-20,3.41373
2020-09-21,2.92313
2020-09-22,3.08667
2020-09-23,3.67947
2020-09-24,3.843
2020-09-25,3.39329
2020-09-26,2.86181
2020-09-27,2.73916
2020-09-28,2.71872
2020-09-29,2.65739
2020-09-30,2.33033
2020-10-01,1.77841
2020-10-02,2.14636
2020-10-03,2.08503
2020-10-04,3.35241
2020-10-05,2.78004
2020-10-06,2.22812
2020-10-07,3.27064
2020-10-08,2.78004
2020-10-09,2.65739
2020-10-10,2.14636
2020-10-11,3.86345
2020-10-12,3.80212
2020-10-13,3.45461
2020-10-14,2.39165
2020-10-15,2.61651
2020-10-16,3.39329
2020-10-17,1.61488
2020-10-18,1.39002
2020-10-19,2.7596
2020-10-20,2.90269
2020-10-21,2.10547
2020-10-22,2.7596
2020-10-23,2.35077
2020-10-24,2.02371
2020-10-25,1.75797
2020-10-26,2.26901
2020-10-27,2.43254
2020-10-28,2.28945
2020-10-29,1.61488
2020-10-30,1.6762
2020-10-31,1.53311
2020-11-01,0.94031
2020-11-02,1.69664
2020-11-03,2.4121
2020-11-04,3.10711
2020-11-05,6.13246
2020-11-06,3.59771
2020-11-07,2.71872
2020-11-08,2.45298
2020-11-09,32.13409
2020-11-10,27.18724
2020-11-11,23.81439
2020-11-12,29.53802
2020-11-13,18.68356
2020-11-14,15.51512
2020-11-15,24.40719
2020-11-16,50.49059
2020-11-17,32.03188
2020-11-18,25.26573
2020-11-19,25.79721
2020-11-20,18.1112
2020-11-21,12.16271
2020-11-22,13.73671
2020-11-23,39.77923
2020-11-24,20.38021
2020-11-25,17.82502
2020-11-26,13.57318
2020-11-27,12.24448
2020-11-28,9.79149
2020-11-29,11.97874
2020-11-30,12.10139
2020-12-01,10.30253
2020-12-02,13.55273
2020-12-03,11.2224
2020-12-04,15.90351
2020-12-05,9.4031
2020-12-06,11.38593
2020-12-07,13.12346
2020-12-08,10.32297
2020-12-09,11.40637
2020-12-10,8.09484
2020-12-11,15.8013
2020-12-12,9.66884
2020-12-13,12.38757
2020-12-14,12.24448
2020-12-15,9.54619
2020-12-16,7.95175
2020-12-17,8.13573
2020-12-18,5.70318
2020-12-19,5.417
2020-12-20,7.29762
2020-12-21,7.2363
2020-12-22,7.97219
2020-12-23,10.34341
2020-12-24,9.46443
2020-12-25,6.56173
2020-12-26,6.66394
2020-12-27,10.85445
2020-12-28,13.96156
2020-12-29,6.82747
2020-12-30,6.80703
2020-12-31,6.23466
2021-01-01,5.96892
2021-01-02,6.23466
2021-01-03,7.50204
2021-01-04,10.3843
2021-01-05,19.97138
2021-01-06,13.6345
2021-01-07,9.21913
2021-01-08,10.36385
2021-01-09,8.19705
2021-01-10,9.21913
2021-01-11,14.9632
2021-01-12,10.34341
2021-01-13,8.60588
2021-01-14,10.09811
2021-01-15,7.29762
2021-01-16,7.27718
2021-01-17,7.19542
2021-01-18,10.93622
2021-01-19,8.40147
2021-01-20,11.18152
2021-01-21,11.99918
2021-01-22,10.32297
2021-01-23,8.23793
2021-01-24,7.27718
2021-01-25,9.87326
2021-01-26,8.58544
2021-01-27,7.66557
2021-01-28,8.40147
2021-01-29,7.31807
2021-01-30,6.33687
2021-01-31,8.40147
2021-02-01,9.62796
2021-02-02,6.86835
2021-02-03,6.90923
2021-02-04,6.3982
2021-02-05,9.60752
2021-02-06,10.42518
2021-02-07,11.30417
2021-02-08,14.41128
2021-02-09,14.26819
2021-02-10,7.97219
2021-02-11,7.17497
2021-02-12,11.54946
2021-02-13,8.85118
2021-02-14,10.56827
2021-02-15,12.67375
2021-02-16,12.14227
2021-02-17,8.68765
2021-02-18,9.56663
2021-02-19,9.87326
2021-02-20,7.27718
2021-02-21,9.36222
2021-02-22,13.51185
2021-02-23,16.5372
2021-02-24,8.70809
2021-02-25,9.81193
2021-02-26,8.42191
2021-02-27,5.60098
2021-02-28,19.56255
2021-03-01,12.14227
2021-03-02,9.85282
2021-03-03,6.92968
2021-03-04,6.19378
2021-03-05,8.25838
2021-03-06,6.13246
2021-03-07,6.68438
2021-03-08,11.44726
2021-03-09,11.30417
2021-03-10,8.83074
2021-03-11,8.36058
2021-03-12,8.0744
2021-03-13,4.55846
2021-03-14,6.25511
2021-03-15,11.4677
2021-03-16,13.71627
2021-03-17,8.62632
2021-03-18,7.66557
2021-03-19,7.70645
2021-03-20,5.9076
2021-03-21,7.19542
2021-03-22,13.08258
2021-03-23,9.62796
2021-03-24,11.4677
2021-03-25,8.565
2021-03-26,43.3565
2021-03-27,20.80948
2021-03-28,25.89942
2021-03-29,51.36958
2021-03-30,31.47996
2021-03-31,25.30662
2021-04-01,15.78086
2021-04-02,11.09975
2021-04-03,12.42845
2021-04-04,14.77923
2021-04-05,19.56255
2021-04-06,14.28863
2021-04-07,12.18315
2021-04-08,12.22403
2021-04-09,9.93458
2021-04-10,8.66721
2021-04-11,9.56663
2021-04-12,12.85772
2021-04-13,14.14554
2021-04-14,10.07767
2021-04-15,11.20196
2021-04-16,10.09811
2021-04-17,5.19215
2021-04-18,6.11201
2021-04-19,16.27146
2021-04-20,19.52166
2021-04-21,10.67048
2021-04-22,10.09811
2021-04-23,8.99427
2021-04-24,6.25511
2021-04-25,7.42027
2021-04-26,34.26001
2021-04-27,42.45707
2021-04-28,42.27309
2021-04-29,31.05069
2021-04-30,42.88634
2021-05-01,20.25756
2021-05-02,18.52003
2021-05-03,29.5789
2021-05-04,28.88389
2021-05-05,15.10629
2021-05-06,20.95257
2021-05-07,16.02616
2021-05-08,10.34341
2021-05-09,11.12019
2021-05-10,19.70564
2021-05-11,17.47751
2021-05-12,15.6991
2021-05-13,11.4677
2021-05-14,11.05887
2021-05-15,6.72526
2021-05-16,7.62469
2021-05-17,10.7318
2021-05-18,10.22076
2021-05-19,6.82747
2021-05-20,19.50122
2021-05-21,19.1946
2021-05-22,10.75224
2021-05-23,15.39247
2021-05-24,16.06704
2021-05-25,13.3892
2021-05-26,15.18806
2021-05-27,17.15044
2021-05-28,10.85445
2021-05-29,5.33524
2021-05-30,6.25511
2021-05-31,8.85118
2021-06-01,17.84546
2021-06-02,10.79313
2021-06-03,10.20032
2021-06-04,11.59035
2021-06-05,5.11038
2021-06-06,5.39656
2021-06-07,10.139
2021-06-08,11.16107
2021-06-09,8.62632
