date,비트코인시세
2020-03-20,11.92688
2020-03-21,7.77416
2020-03-22,6.63002
2020-03-23,9.41655
2020-03-24,9.3008
2020-03-25,8.65082
2020-03-26,7.14347
2020-03-27,6.32506
2020-03-28,5.08446
2020-03-29,4.68509
2020-03-30,6.39407
2020-03-31,6.07353
2020-04-01,5.41947
2020-04-02,5.61962
2020-04-03,5.23082
2020-04-04,3.87855
2020-04-05,3.60123
2020-04-06,6.10061
2020-04-07,6.96929
2020-04-08,5.67749
2020-04-09,5.25623
2020-04-10,4.94014
2020-04-11,3.70103
2020-04-12,3.59455
2020-04-13,4.93421
2020-04-14,4.17256
2020-04-15,3.40108
2020-04-16,4.3894
2020-04-17,4.31539
2020-04-18,3.23803
2020-04-19,3.26548
2020-04-20,4.13175
2020-04-21,4.25251
2020-04-22,4.00988
2020-04-23,3.88522
2020-04-24,5.17869
2020-04-25,3.79897
2020-04-26,3.75575
2020-04-27,5.10561
2020-04-28,5.00933
2020-04-29,6.25124
2020-04-30,10.49373
2020-05-01,6.58031
2020-05-02,5.29444
2020-05-03,5.77878
2020-05-04,6.27646
2020-05-05,5.15569
2020-05-06,6.62445
2020-05-07,7.06445
2020-05-08,8.25441
2020-05-09,6.02103
2020-05-10,7.11472
2020-05-11,8.37833
2020-05-12,7.19783
2020-05-13,5.61016
2020-05-14,6.45102
2020-05-15,5.70996
2020-05-16,3.74684
2020-05-17,3.73831
2020-05-18,5.83109
2020-05-19,5.37569
2020-05-20,4.92067
2020-05-21,4.57731
2020-05-22,4.46509
2020-05-23,3.25825
2020-05-24,3.07646
2020-05-25,4.25622
2020-05-26,4.02416
2020-05-27,3.98558
2020-05-28,4.24509
2020-05-29,4.05458
2020-05-30,3.06069
2020-05-31,3.19314
2020-06-01,4.02379
2020-06-02,5.51518
2020-06-03,5.15124
2020-06-04,4.566
2020-06-05,4.22042
2020-06-06,2.91118
2020-06-07,3.08295
2020-06-08,4.29888
2020-06-09,3.77541
2020-06-10,3.63777
2020-06-11,3.87669
2020-06-12,4.54708
2020-06-13,2.45913
2020-06-14,2.28828
2020-06-15,4.42372
2020-06-16,4.28812
2020-06-17,3.77022
2020-06-18,3.4341
2020-06-19,3.06737
2020-06-20,1.98815
2020-06-21,2.3469
2020-06-22,3.10781
2020-06-23,3.23524
2020-06-24,3.06533
2020-06-25,3.15882
2020-06-26,2.92157
2020-06-27,2.11262
2020-06-28,2.32612
2020-06-29,3.07071
2020-06-30,2.73255
2020-07-01,2.70936
2020-07-02,2.69229
2020-07-03,2.41424
2020-07-04,1.82936
2020-07-05,1.81953
2020-07-06,2.70157
2020-07-07,2.82604
2020-07-08,2.7242
2020-07-09,2.94049
2020-07-10,2.33206
2020-07-11,1.78151
2020-07-12,1.7969
2020-07-13,2.48343
2020-07-14,2.52943
2020-07-15,2.32149
2020-07-16,2.40236
2020-07-17,2.11855
2020-07-18,1.6064
2020-07-19,1.55427
2020-07-20,2.10779
2020-07-21,2.41516
2020-07-22,2.76649
2020-07-23,2.86258
2020-07-24,2.7153
2020-07-25,2.2944
2020-07-26,2.94995
2020-07-27,7.82851
2020-07-28,13.47429
2020-07-29,6.07297
2020-07-30,5.35677
2020-07-31,4.69566
2020-08-01,5.22637
2020-08-02,9.25907
2020-08-03,6.3399
2020-08-04,5.7426
2020-08-05,5.35621
2020-08-06,5.48996
2020-08-07,5.58326
2020-08-08,3.929
2020-08-09,3.88485
2020-08-10,6.17314
2020-08-11,5.43598
2020-08-12,5.01713
2020-08-13,4.438
2020-08-14,4.32671
2020-08-15,3.72811
2020-08-16,3.58472
2020-08-17,3.8357
2020-08-18,5.70717
2020-08-19,4.56581
2020-08-20,4.27477
2020-08-21,3.9635
2020-08-22,2.99336
2020-08-23,2.77911
2020-08-24,3.82735
2020-08-25,3.61384
2020-08-26,3.85647
2020-08-27,3.68507
2020-08-28,3.36045
