date,ISA계좌서민형
2020-04-27,0.43103
2020-12-29,0.51724
2020-12-30,0.43103
2020-12-31,0.43103
2021-01-01,0.43103
2021-01-04,1.03448
2021-01-06,0.51724
2021-01-08,0.43103
2021-01-14,0.60344
2021-01-21,0.94827
2021-01-26,0.43103
2021-01-27,0.68965
2021-01-28,0.51724
2021-01-29,0.51724
2021-02-02,0.60344
2021-02-08,0.51724
2021-02-09,0.43103
2021-02-15,0.77586
2021-02-16,0.86206
2021-02-18,0.77586
2021-02-19,0.43103
2021-02-22,0.51724
2021-02-23,0.68965
2021-02-25,0.60344
2021-02-26,0.86206
2021-02-28,0.68965
2021-03-01,0.51724
2021-03-02,2.15517
2021-03-03,0.60344
2021-03-04,1.55172
2021-03-05,0.51724
2021-03-06,0.51724
2021-03-07,0.43103
2021-03-08,1.2931
2021-03-10,0.86206
2021-03-11,1.2931
2021-03-12,0.77586
2021-03-14,0.68965
2021-03-15,2.24137
2021-03-16,0.94827
2021-03-17,2.06896
2021-03-18,0.68965
2021-03-19,1.03448
2021-03-22,1.2931
2021-03-23,1.12068
2021-03-24,0.86206
2021-03-25,0.94827
2021-03-26,1.46551
2021-03-27,0.51724
2021-03-28,0.43103
2021-03-29,1.20689
2021-03-30,0.68965
2021-03-31,1.37931
2021-04-01,2.67241
2021-04-02,1.89655
2021-04-03,1.63793
2021-04-04,0.77586
2021-04-05,3.18965
2021-04-06,4.31034
2021-04-07,4.91379
2021-04-08,4.74137
2021-04-09,4.74137
2021-04-10,1.46551
2021-04-11,1.46551
2021-04-12,5.34482
2021-04-13,3.7931
2021-04-14,2.5
2021-04-15,3.87931
2021-04-16,4.39655
2021-04-17,1.98275
2021-04-18,2.67241
2021-04-19,2.84482
2021-04-20,3.7931
2021-04-21,4.22413
2021-04-22,4.56896
2021-04-23,3.27586
2021-04-24,1.12068
2021-04-25,1.72413
2021-04-26,2.75862
2021-04-27,2.75862
2021-04-28,2.67241
2021-04-29,1.55172
2021-04-30,1.98275
2021-05-01,0.86206
2021-05-02,1.37931
2021-05-03,2.41379
2021-05-04,2.24137
2021-05-05,1.89655
2021-05-06,2.15517
2021-05-07,1.89655
2021-05-08,0.86206
2021-05-09,1.12068
2021-05-10,1.81034
2021-05-11,1.63793
2021-05-12,1.72413
2021-05-13,2.15517
2021-05-14,1.2931
2021-05-15,1.12068
2021-05-16,0.68965
2021-05-17,1.2931
2021-05-18,1.03448
2021-05-19,1.12068
2021-05-20,1.2931
2021-05-21,2.15517
2021-05-22,1.46551
2021-05-23,0.68965
2021-05-24,2.5
2021-05-25,2.67241
2021-05-26,3.27586
2021-05-27,1.72413
2021-05-28,1.20689
2021-05-29,0.60344
2021-05-30,1.2931
2021-05-31,1.98275
2021-06-01,2.93103
2021-06-02,3.01724
2021-06-03,2.5862
2021-06-04,2.41379
2021-06-05,1.63793
2021-06-06,2.06896
2021-06-07,1.98275
2021-06-08,3.18965
2021-06-09,2.93103
2021-06-10,1.89655
2021-06-11,2.15517
2021-06-12,1.2931
2021-06-13,1.20689
2021-06-14,1.2931
2021-06-15,2.67241
2021-06-16,2.5862
2021-06-17,1.81034
2021-06-18,1.81034
2021-06-19,1.37931
2021-06-20,1.03448
2021-06-21,1.46551
2021-06-22,1.46551
2021-06-23,2.15517
2021-06-24,1.98275
2021-06-25,1.20689
2021-06-26,1.72413
2021-06-27,0.86206
2021-06-28,3.01724
2021-06-29,2.67241
2021-06-30,2.41379
2021-07-01,3.53448
2021-07-02,1.63793
2021-07-04,2.06896
2021-07-05,1.98275
2021-07-06,2.5
2021-07-07,2.32758
2021-07-08,1.55172
2021-07-09,1.37931
2021-07-10,1.2931
2021-07-11,2.06896
2021-07-12,2.41379
2021-07-13,3.53448
2021-07-14,3.62068
2021-07-15,6.12068
2021-07-16,2.5862
2021-07-17,1.81034
2021-07-18,1.37931
2021-07-19,2.75862
2021-07-20,3.10344
2021-07-21,3.87931
2021-07-22,3.27586
2021-07-23,3.10344
2021-07-24,1.2931
2021-07-25,1.63793
2021-07-26,4.65517
2021-07-27,5.86206
2021-07-28,3.10344
2021-07-29,2.5
2021-07-30,1.89655
2021-07-31,1.63793
2021-08-01,4.39655
2021-08-02,5.17241
2021-08-03,5.86206
2021-08-04,3.62068
2021-08-05,3.27586
2021-08-06,4.13793
2021-08-07,2.32758
2021-08-08,3.01724
2021-08-09,3.87931
2021-08-10,2.84482
2021-08-11,4.56896
2021-08-12,2.84482
2021-08-13,2.5862
2021-08-14,1.03448
