date,삼성전자배당금지급일
2020-03-20,0.55996
2020-03-21,0.35163
2020-03-22,0.393
2020-03-23,0.98399
2020-03-24,1.2588
2020-03-25,1.75819
2020-03-26,1.77592
2020-03-27,1.96504
2020-03-28,0.65008
2020-03-29,0.57473
2020-03-30,1.23369
2020-03-31,1.28835
2020-04-01,1.38587
2020-04-02,1.25733
2020-04-03,1.29426
2020-04-04,0.82443
2020-04-05,0.80522
2020-04-06,2.04187
2020-04-07,3.30215
2020-04-08,2.7348
2020-04-09,2.6565
2020-04-10,2.51614
2020-04-11,1.213
2020-04-12,1.12879
2020-04-13,2.29008
2020-04-14,2.44226
2020-04-15,1.35041
2020-04-16,2.85152
2020-04-17,6.55112
2020-04-18,2.20882
2020-04-19,2.04925
2020-04-20,3.20021
2020-04-21,2.76583
2020-04-22,2.42897
2020-04-23,2.41715
2020-04-24,2.32554
2020-04-25,1.213
2020-04-26,1.15243
2020-04-27,2.35361
2020-04-28,2.10244
2020-04-29,2.75992
2020-04-30,1.59271
2020-05-01,1.26767
2020-05-02,0.78306
2020-05-03,0.81999
2020-05-04,2.87516
2020-05-05,2.23542
2020-05-06,3.32432
2020-05-07,2.62399
2020-05-08,2.01379
2020-05-09,1.16277
2020-05-10,1.22482
2020-05-11,2.35066
2020-05-12,2.92687
2020-05-13,3.84882
2020-05-14,4.5063
2020-05-15,4.30093
2020-05-16,2.12313
2020-05-17,1.83059
2020-05-18,5.08103
2020-05-19,9.75725
2020-05-20,3.61981
2020-05-21,2.79833
2020-05-22,2.15563
2020-05-23,0.98843
2020-05-24,0.93376
2020-05-25,1.78626
2020-05-26,1.85275
2020-05-27,1.47452
2020-05-28,1.30756
2020-05-29,1.1081
2020-05-30,0.53632
2020-05-31,0.51416
2020-06-01,1.07707
2020-06-02,1.21596
2020-06-03,2.14529
2020-06-04,1.50407
2020-06-05,0.95149
2020-06-06,0.37675
2020-06-07,0.35902
2020-06-08,0.70475
2020-06-09,0.81999
2020-06-10,0.67816
2020-06-11,0.59394
2020-06-12,0.41517
2020-06-13,0.15808
2020-06-14,0.14774
2020-06-15,0.3147
2020-06-16,0.30731
2020-06-17,0.07239
2020-06-18,0.0783
2020-06-19,0.05171
2020-06-20,0.04284
2020-06-21,0.04284
2020-06-22,0.1832
2020-06-23,0.21571
2020-06-24,0.13149
2020-06-25,0.17286
2020-06-26,0.25264
2020-06-27,0.08569
2020-06-28,0.08273
2020-06-29,0.13297
2020-06-30,0.29697
2020-07-01,0.38266
2020-07-02,0.32061
2020-07-03,0.35016
2020-07-04,0.17581
2020-07-05,0.19059
2020-07-06,0.55996
2020-07-07,0.64565
2020-07-08,0.52154
2020-07-09,0.45801
2020-07-10,0.4196
2020-07-11,0.16843
2020-07-12,0.20832
2020-07-13,0.57473
2020-07-14,0.57326
2020-07-15,0.77862
2020-07-16,0.85841
2020-07-17,0.84363
2020-07-18,0.37527
2020-07-19,0.47426
2020-07-20,0.9441
2020-07-21,1.65477
2020-07-22,1.59715
2020-07-23,1.53066
2020-07-24,1.36666
2020-07-25,0.61462
2020-07-26,0.62201
2020-07-27,1.85127
2020-07-28,3.673
2020-07-29,2.96824
2020-07-30,3.27556
2020-07-31,2.17927
2020-08-01,1.17607
2020-08-02,0.94706
2020-08-03,2.06107
2020-08-04,2.23394
2020-08-05,2.42601
2020-08-06,2.34918
2020-08-07,2.1512
2020-08-08,1.0623
2020-08-09,1.05048
2020-08-10,2.55898
2020-08-11,3.32727
2020-08-12,4.03055
2020-08-13,5.33221
2020-08-14,4.69541
2020-08-15,2.09949
2020-08-16,1.50702
2020-08-17,1.76853
2020-08-18,5.01012
2020-08-19,6.95152
2020-08-20,4.00543
2020-08-21,2.32997
2020-08-22,0.92933
2020-08-23,0.74021
2020-08-24,1.72864
2020-08-25,1.90594
2020-08-26,1.83059
2020-08-27,1.78774
2020-08-28,1.41837
2020-08-29,0.91308
2020-08-30,0.88944
2020-08-31,2.41271
2020-09-01,1.98572
2020-09-02,1.95765
2020-09-03,2.38464
2020-09-04,1.67102
2020-09-05,1.0165
2020-09-06,1.01945
2020-09-07,2.53978
2020-09-08,3.36125
2020-09-09,2.197
2020-09-10,3.01257
2020-09-11,2.34327
2020-09-12,1.21005
2020-09-13,1.13913
2020-09-14,3.4041
2020-09-15,3.25635
2020-09-16,2.7348
2020-09-17,2.65797
2020-09-18,2.14529
2020-09-19,1.12583
2020-09-20,1.15095
2020-09-21,2.75106
2020-09-22,2.73333
2020-09-23,2.94017
2020-09-24,2.69491
2020-09-25,2.32554
2020-09-26,0.78601
2020-09-27,0.77271
2020-09-28,2.36248
2020-09-29,2.07733
2020-09-30,0.98547
2020-10-01,0.5836
2020-10-02,0.44176
2020-10-03,0.54962
2020-10-04,0.54223
2020-10-05,1.91037
2020-10-06,1.68136
2020-10-07,1.88525
2020-10-08,2.36987
2020-10-09,1.04309
2020-10-10,0.7668
2020-10-11,0.71066
2020-10-12,2.38612
2020-10-13,2.51466
2020-10-14,2.23985
2020-10-15,1.98572
2020-10-16,1.87639
2020-10-17,1.049
2020-10-18,0.98547
2020-10-19,2.13199
2020-10-20,2.79095
2020-10-21,3.08053
2020-10-22,2.34032
2020-10-23,2.1837
2020-10-24,1.05639
2020-10-25,1.22187
2020-10-26,2.11426
2020-10-27,2.42749
2020-10-28,2.61808
2020-10-29,4.25808
2020-10-30,3.17657
2020-10-31,1.10367
2020-11-01,1.16572
2020-11-02,2.43044
2020-11-03,2.55898
2020-11-04,2.1837
2020-11-05,3.22237
2020-11-06,2.69934
2020-11-07,1.21596
2020-11-08,1.15095
2020-11-09,3.57844
2020-11-10,3.1943
2020-11-11,4.86828
2020-11-12,3.88871
2020-11-13,9.63462
2020-11-14,3.7779
2020-11-15,3.07314
2020-11-16,10.82398
2020-11-17,8.9993
