date,골절보험
2020-11-15,15.21739
2020-11-16,34.7826
2020-11-17,23.91304
2020-11-18,41.30434
2020-11-19,28.26086
2020-11-20,41.30434
2020-11-21,21.73913
2020-11-22,32.60869
2020-11-23,32.60869
2020-11-24,36.95652
2020-11-25,28.26086
2020-11-26,34.7826
2020-11-27,13.04347
2020-11-28,23.91304
2020-11-29,23.91304
2020-11-30,34.7826
2020-12-01,36.95652
2020-12-02,17.3913
2020-12-03,15.21739
2020-12-04,58.69565
2020-12-05,13.04347
2020-12-07,21.73913
2020-12-08,21.73913
2020-12-09,17.3913
2020-12-10,32.60869
2020-12-11,21.73913
2020-12-12,45.65217
2020-12-13,15.21739
2020-12-14,19.56521
2020-12-15,19.56521
2020-12-16,36.95652
2020-12-17,30.43478
2020-12-18,32.60869
2020-12-19,21.73913
2020-12-20,23.91304
2020-12-21,43.47826
2020-12-22,43.47826
2020-12-23,45.65217
2020-12-24,30.43478
2020-12-25,17.3913
2020-12-26,28.26086
2020-12-27,10.86956
2020-12-28,28.26086
2020-12-29,32.60869
2020-12-30,21.73913
2020-12-31,34.7826
2021-01-02,19.56521
2021-01-04,32.60869
2021-01-05,34.7826
2021-01-06,21.73913
2021-01-07,21.73913
2021-01-08,13.04347
2021-01-09,15.21739
2021-01-11,30.43478
2021-01-12,32.60869
2021-01-13,17.3913
2021-01-14,39.13043
2021-01-15,28.26086
2021-01-16,19.56521
2021-01-18,17.3913
2021-01-19,23.91304
2021-01-20,26.08695
2021-01-21,15.21739
2021-01-22,54.34782
2021-01-23,21.73913
2021-01-24,13.04347
2021-01-25,52.17391
2021-01-26,10.86956
2021-01-27,28.26086
2021-01-28,28.26086
2021-01-29,17.3913
2021-01-31,23.91304
2021-02-01,26.08695
2021-02-02,13.04347
2021-02-03,41.30434
2021-02-04,34.7826
2021-02-05,19.56521
2021-02-06,10.86956
2021-02-08,17.3913
2021-02-09,41.30434
2021-02-10,17.3913
2021-02-11,19.56521
2021-02-12,13.04347
2021-02-13,21.73913
2021-02-15,39.13043
2021-02-16,26.08695
2021-02-17,28.26086
2021-02-18,23.91304
2021-02-19,23.91304
2021-02-20,32.60869
2021-02-21,23.91304
2021-02-22,13.04347
2021-02-23,28.26086
2021-02-24,15.21739
