date,국내배당주순위
2020-03-20,0.10482
2020-03-21,0.29699
2020-03-22,0.69881
2020-03-23,0.78616
2020-03-24,0.66387
2020-03-25,0.75122
2020-03-26,0.43675
2020-03-27,0.68134
2020-03-28,0.24458
2020-03-29,0.36687
2020-03-30,0.26205
2020-03-31,0.10482
2020-04-01,0.38434
2020-04-02,0.24458
2020-04-03,0.24458
2020-04-04,0.08735
2020-04-05,0.08735
2020-04-06,0.13976
2020-04-07,0.19217
2020-04-08,0.33193
2020-04-09,0.22711
2020-04-10,0.24458
2020-04-13,0.10482
2020-04-15,0.26205
2020-04-16,0.26205
2020-04-17,0.29699
2020-04-19,0.08735
2020-04-20,0.10482
2020-04-21,0.19217
2020-04-22,0.6464
2020-04-23,0.29699
2020-04-24,0.3494
2020-04-25,0.20964
2020-04-26,0.31446
2020-04-27,0.3494
2020-04-28,0.38434
2020-04-29,0.61146
2020-04-30,0.33193
2020-05-01,0.24458
2020-05-02,0.20964
2020-05-03,0.45422
2020-05-04,0.47169
2020-05-05,0.36687
2020-05-06,0.50663
2020-05-07,0.24458
2020-05-08,0.31446
2020-05-09,0.38434
2020-05-10,0.40181
2020-05-11,0.19217
2020-05-12,0.50663
2020-05-13,0.29699
2020-05-14,0.55904
2020-05-15,0.54157
2020-05-16,0.26205
2020-05-17,0.20964
2020-05-18,0.59399
2020-05-19,0.50663
2020-05-20,0.71628
2020-05-21,0.43675
2020-05-22,0.50663
2020-05-23,0.22711
2020-05-24,0.36687
2020-05-25,0.33193
2020-05-26,0.24458
2020-05-27,0.38434
2020-05-28,0.59399
2020-05-29,0.50663
2020-05-30,0.40181
2020-05-31,0.38434
2020-06-01,0.71628
2020-06-02,0.59399
2020-06-03,0.68134
2020-06-04,0.69881
2020-06-05,0.83857
2020-06-06,0.47169
2020-06-07,0.29699
2020-06-08,0.5241
2020-06-09,0.59399
2020-06-10,0.57651
2020-06-11,0.45422
2020-06-12,0.36687
2020-06-13,0.15723
2020-06-14,0.3494
2020-06-15,0.43675
2020-06-16,0.45422
2020-06-17,0.40181
2020-06-18,0.24458
2020-06-19,0.22711
2020-06-21,0.10482
2020-06-22,0.12229
2020-06-23,0.1747
2020-06-24,0.61146
2020-06-25,0.43675
2020-06-26,0.36687
2020-06-27,0.19217
2020-06-28,0.1747
2020-06-30,0.08735
2020-07-01,0.13976
2020-07-02,0.12229
2020-07-03,0.36687
2020-07-04,0.76869
2020-07-05,1.04821
2020-07-06,0.80363
2020-07-07,1.55485
2020-07-08,1.57232
2020-07-09,1.18798
2020-07-10,1.27533
2020-07-11,0.87351
2020-07-12,0.76869
2020-07-13,0.97833
2020-07-14,0.85604
2020-07-15,1.41509
2020-07-16,0.9958
2020-07-17,0.62893
2020-07-18,0.61146
2020-07-19,0.54157
2020-07-20,0.90845
2020-07-21,0.87351
2020-07-22,0.73375
2020-07-23,0.61146
2020-07-24,0.43675
2020-07-25,0.22711
2020-07-26,0.5241
2020-07-27,0.80363
2020-07-28,0.68134
2020-07-29,0.50663
2020-07-30,0.15723
2020-08-01,0.45422
2020-08-02,0.38434
2020-08-03,0.73375
2020-08-04,0.89098
2020-08-05,0.71628
2020-08-06,1.08315
2020-08-07,1.11809
2020-08-08,0.69881
2020-08-09,0.83857
2020-08-10,1.11809
2020-08-11,0.55904
2020-08-12,0.5241
2020-08-13,0.9958
2020-08-14,0.8211
2020-08-15,0.5241
2020-08-16,0.43675
2020-08-17,0.8211
2020-08-18,0.62893
2020-08-19,1.10062
2020-08-20,1.01327
2020-08-21,0.85604
2020-08-22,0.3494
2020-08-23,0.54157
2020-08-24,0.59399
2020-08-25,0.61146
2020-08-26,0.48916
2020-08-27,0.40181
2020-08-28,0.29699
2020-08-29,0.31446
2020-08-30,0.27952
2020-08-31,0.45422
2020-09-01,0.66387
2020-09-02,0.47169
2020-09-03,0.43675
2020-09-04,0.38434
2020-09-05,0.36687
2020-09-06,0.20964
2020-09-07,0.96086
2020-09-08,0.40181
2020-09-09,0.73375
2020-09-10,0.47169
2020-09-11,0.45422
2020-09-12,0.41928
2020-09-13,0.38434
2020-09-14,1.06568
2020-09-15,0.47169
2020-09-16,0.38434
2020-09-17,0.40181
2020-09-18,0.48916
2020-09-19,0.20964
2020-09-20,0.12229
2020-09-21,0.33193
2020-09-22,0.40181
2020-09-23,0.40181
2020-09-24,0.20964
2020-09-25,0.13976
2020-09-27,0.08735
2020-09-28,0.26205
2020-09-29,0.33193
2020-09-30,0.08735
2020-10-01,0.12229
2020-10-02,0.54157
2020-10-03,0.50663
2020-10-04,0.57651
2020-10-05,0.87351
2020-10-06,0.54157
2020-10-07,0.6464
2020-10-08,0.78616
2020-10-09,0.20964
2020-10-10,0.27952
2020-10-11,0.19217
2020-10-12,0.36687
2020-10-13,0.3494
2020-10-14,0.40181
2020-10-15,0.92592
2020-10-16,0.66387
2020-10-17,0.26205
2020-10-18,0.73375
2020-10-19,1.41509
2020-10-20,0.8211
2020-10-21,1.01327
2020-10-22,0.68134
2020-10-23,0.71628
2020-10-24,0.43675
2020-10-25,0.38434
2020-10-26,0.48916
2020-10-27,0.47169
2020-10-28,1.38015
2020-10-29,0.78616
2020-10-30,1.25786
2020-10-31,0.68134
2020-11-01,0.50663
2020-11-02,0.50663
2020-11-03,0.33193
2020-11-04,0.94339
2020-11-05,0.57651
2020-11-06,0.26205
2020-11-07,0.26205
2020-11-08,0.13976
2020-11-10,0.1747
2020-11-11,0.20964
2020-11-12,0.13976
2020-11-13,0.1747
2020-11-14,0.22711
2020-11-15,0.13976
2020-11-16,0.27952
2020-11-17,0.48916
2020-11-18,0.38434
2020-11-19,0.29699
2020-11-20,0.22711
2020-11-21,0.15723
2020-11-22,0.29699
2020-11-23,0.31446
2020-11-24,0.36687
2020-11-25,0.38434
2020-11-26,0.50663
2020-11-27,0.73375
2020-11-28,0.36687
2020-11-29,0.29699
2020-11-30,0.15723
2020-12-01,0.12229
2020-12-02,0.6464
2020-12-03,0.62893
2020-12-04,0.36687
2020-12-05,0.15723
2020-12-06,0.15723
2020-12-07,0.38434
2020-12-08,0.20964
2020-12-09,0.38434
2020-12-10,0.73375
2020-12-11,0.41928
2020-12-12,0.20964
2020-12-13,0.29699
2020-12-14,0.36687
2020-12-15,0.26205
2020-12-16,0.13976
2020-12-17,0.19217
2020-12-18,0.19217
2020-12-19,0.20964
2020-12-20,0.20964
2020-12-21,0.29699
2020-12-22,0.29699
2020-12-23,0.31446
2020-12-24,0.33193
2020-12-25,0.13976
2020-12-26,0.27952
2020-12-27,0.54157
2020-12-28,1.72955
2020-12-29,0.55904
2020-12-30,0.31446
2020-12-31,0.13976
2021-01-01,0.10482
2021-01-03,0.22711
2021-01-04,0.24458
2021-01-05,0.36687
2021-01-06,0.27952
2021-01-07,0.29699
2021-01-08,0.40181
2021-01-09,0.45422
2021-01-10,0.13976
2021-01-11,1.65967
2021-01-12,1.04821
2021-01-13,0.80363
2021-01-14,0.61146
2021-01-15,0.45422
2021-01-16,0.3494
2021-01-17,0.68134
2021-01-18,0.54157
2021-01-19,0.43675
2021-01-20,0.61146
2021-01-21,0.69881
2021-01-22,0.73375
2021-01-23,0.62893
2021-01-24,0.47169
2021-01-25,0.5241
2021-01-26,0.59399
2021-01-27,0.48916
2021-01-28,0.96086
2021-01-29,0.71628
2021-01-30,0.33193
2021-01-31,0.20964
2021-02-01,0.33193
2021-02-02,0.50663
2021-02-03,0.76869
2021-02-04,0.85604
2021-02-05,0.54157
2021-02-06,0.20964
2021-02-07,0.27952
2021-02-08,0.87351
2021-02-09,0.80363
2021-02-10,0.85604
2021-02-11,0.48916
2021-02-12,0.38434
2021-02-13,0.45422
2021-02-14,0.48916
2021-02-15,0.6464
2021-02-16,0.89098
2021-02-17,0.66387
2021-02-18,0.76869
2021-02-19,0.8211
2021-02-20,0.68134
2021-02-21,0.69881
2021-02-22,0.9958
2021-02-23,0.8211
2021-02-24,0.73375
2021-02-25,0.9958
2021-02-26,1.27533
2021-02-27,0.5241
2021-02-28,0.55904
2021-03-01,0.45422
2021-03-02,0.59399
2021-03-03,0.85604
2021-03-04,0.76869
2021-03-05,0.66387
