date,증권사수수료비교
2020-03-20,57.12074
2020-03-21,23.70632
2020-03-22,24.83414
2020-03-23,48.00973
2020-03-24,46.63865
2020-03-25,54.99778
2020-03-26,54.31225
2020-03-27,42.03892
2020-03-28,23.1977
2020-03-29,18.6643
2020-03-30,32.66253
2020-03-31,35.07297
2020-04-01,30.0973
2020-04-02,31.3578
2020-04-03,20.544
2020-04-04,14.2636
2020-04-05,14.68376
2020-04-06,24.50243
2020-04-07,26.27156
2020-04-08,26.29367
2020-04-09,25.16585
2020-04-10,21.76028
2020-04-11,13.40114
2020-04-12,12.93675
2020-04-13,16.40866
2020-04-14,17.91242
2020-04-15,12.0743
2020-04-16,14.66165
2020-04-17,17.77974
2020-04-18,11.47722
2020-04-19,11.7647
2020-04-20,16.82883
2020-04-21,16.45289
2020-04-22,21.60548
2020-04-23,20.03538
2020-04-24,16.47501
2020-04-25,10.01769
2020-04-26,9.68597
2020-04-27,16.69615
2020-04-28,16.7846
2020-04-29,14.94913
2020-04-30,10.48208
2020-05-01,8.6245
2020-05-02,6.01503
2020-05-03,7.49668
2020-05-04,14.99336
2020-05-05,9.66386
2020-05-06,13.53383
2020-05-07,13.00309
2020-05-08,12.93675
2020-05-09,9.02255
2020-05-10,7.80628
2020-05-11,10.15037
2020-05-12,12.18487
2020-05-13,12.36178
2020-05-14,12.98098
2020-05-15,12.18487
2020-05-16,7.01017
2020-05-17,7.54091
2020-05-18,12.82618
2020-05-19,14.13091
2020-05-20,15.59044
2020-05-21,14.97125
2020-05-22,13.71074
2020-05-23,8.24856
2020-05-24,9.50906
2020-05-25,14.70588
2020-05-26,15.8337
2020-05-27,16.20964
2020-05-28,16.6298
2020-05-29,11.85316
2020-05-30,8.71295
2020-05-31,7.93896
2020-06-01,15.08182
2020-06-02,15.70101
2020-06-03,17.95665
2020-06-04,16.54135
2020-06-05,16.09907
2020-06-06,8.71295
2020-06-07,9.17735
2020-06-08,15.34719
2020-06-09,15.70101
2020-06-10,17.31534
2020-06-11,15.34719
2020-06-12,15.61256
2020-06-13,9.15524
2020-06-14,9.68597
2020-06-15,12.69349
2020-06-16,16.38655
2020-06-17,16.74038
2020-06-18,15.78947
2020-06-19,13.29057
2020-06-20,8.11587
2020-06-21,8.71295
2020-06-22,12.93675
2020-06-23,14.55108
2020-06-24,14.79433
2020-06-25,12.75984
2020-06-26,10.28306
2020-06-27,6.03715
2020-06-28,6.56789
2020-06-29,8.95621
2020-06-30,8.91198
2020-07-01,9.44272
2020-07-02,11.85316
2020-07-03,10.81379
2020-07-04,6.52366
2020-07-05,7.73993
2020-07-06,13.60017
2020-07-07,15.03759
2020-07-08,14.72799
2020-07-09,15.08182
2020-07-10,14.79433
2020-07-11,8.69084
2020-07-12,10.06191
2020-07-13,13.75497
2020-07-14,15.25873
2020-07-15,13.90977
2020-07-16,13.90977
2020-07-17,12.69349
2020-07-18,8.42547
2020-07-19,8.80141
2020-07-20,13.55594
2020-07-21,17.84608
2020-07-22,18.26625
2020-07-23,19.70367
2020-07-24,18.17779
2020-07-25,10.43785
2020-07-26,12.33967
2020-07-27,19.65944
2020-07-28,19.81424
2020-07-29,22.00353
2020-07-30,19.72578
2020-07-31,19.4383
2020-08-01,13.42326
2020-08-02,13.71074
