date,KB
2020-03-20,17.735
2020-03-21,8.04835
2020-03-22,7.3644
2020-03-23,17.30555
2020-03-24,15.77859
2020-03-25,18.2758
2020-03-26,17.87816
2020-03-27,15.74677
2020-03-28,8.25512
2020-03-29,6.95085
2020-03-30,15.8263
2020-03-31,18.21218
2020-04-01,16.92381
2020-04-02,14.95148
2020-04-03,13.0905
2020-04-04,6.96675
2020-04-05,6.90313
2020-04-06,14.77652
2020-04-07,13.82217
2020-04-08,14.14028
2020-04-09,12.64514
2020-04-10,26.94448
2020-04-11,9.73437
2020-04-12,7.73023
2020-04-13,17.63957
2020-04-14,14.15619
2020-04-15,8.62096
2020-04-16,15.73087
2020-04-17,15.41275
2020-04-18,7.88929
2020-04-19,7.95291
2020-04-20,16.82837
2020-04-21,15.2855
2020-04-22,15.39685
2020-04-23,16.86018
2020-04-24,15.31732
2020-04-25,6.72816
2020-04-26,5.88515
2020-04-27,20.77302
2020-04-28,15.12645
2020-04-29,14.36297
2020-04-30,8.01654
2020-05-01,8.57324
2020-05-02,6.17146
2020-05-03,6.99856
2020-05-04,15.85811
2020-05-05,9.94114
2020-05-06,17.89406
2020-05-07,16.20804
2020-05-08,18.56211
2020-05-09,9.67074
2020-05-10,10.94321
2020-05-11,33.51359
2020-05-12,24.90854
2020-05-13,23.50882
2020-05-14,21.93414
2020-05-15,23.11118
2020-05-16,12.08843
2020-05-17,10.29107
2020-05-18,19.37331
2020-05-19,19.13472
2020-05-20,17.00334
2020-05-21,16.81247
2020-05-22,14.98329
2020-05-23,8.15969
2020-05-24,8.1915
2020-05-25,18.38714
2020-05-26,17.28964
2020-05-27,19.46874
2020-05-28,38.22172
2020-05-29,20.40718
2020-05-30,8.15969
2020-05-31,7.41212
2020-06-01,17.59185
2020-06-02,21.63193
2020-06-03,25.0835
2020-06-04,19.24606
2020-06-05,16.0967
2020-06-06,8.58915
2020-06-07,8.50962
2020-06-08,15.8263
2020-06-09,15.66724
2020-06-10,16.66931
2020-06-11,16.57388
2020-06-12,17.57595
2020-06-13,10.9114
2020-06-14,9.33672
2020-06-15,17.89406
2020-06-16,16.74884
2020-06-17,15.2696
2020-06-18,17.1783
2020-06-19,16.0808
2020-06-20,7.84157
2020-06-21,8.25512
2020-06-22,18.45077
2020-06-23,15.14235
2020-06-24,17.32145
2020-06-25,16.74884
2020-06-26,15.12645
2020-06-27,7.20534
2020-06-28,7.74614
2020-06-29,15.87402
2020-06-30,16.16033
2020-07-01,16.19214
2020-07-02,15.03101
2020-07-03,13.28137
2020-07-04,7.33259
2020-07-05,8.09607
2020-07-06,16.41482
2020-07-07,14.66518
2020-07-08,13.69492
2020-07-09,14.55384
2020-07-10,12.83601
2020-07-11,7.25306
2020-07-12,7.06219
2020-07-13,15.30141
2020-07-14,14.14028
2020-07-15,14.87195
2020-07-16,12.99506
2020-07-17,13.59949
2020-07-18,6.95085
2020-07-19,6.96675
2020-07-20,17.33736
2020-07-21,16.46254
2020-07-22,15.57181
2020-07-23,13.29728
2020-07-24,14.80833
2020-07-25,7.30077
2020-07-26,7.30077
2020-07-27,15.84221
2020-07-28,14.09257
2020-07-29,12.86782
2020-07-30,13.82217
2020-07-31,13.59949
2020-08-01,7.22125
2020-08-02,7.26896
2020-08-03,13.9176
2020-08-04,13.86989
2020-08-05,14.93558
2020-08-06,13.61539
2020-08-07,12.53379
2020-08-08,6.79179
2020-08-09,7.1099
2020-08-10,17.16239
2020-08-11,17.21011
2020-08-12,15.85811
2020-08-13,16.38301
2020-08-14,15.84221
2020-08-15,6.93494
2020-08-16,6.50548
2020-08-17,8.58915
2020-08-18,14.84014
2020-08-19,14.96739
2020-08-20,15.07873
2020-08-21,13.3768
2020-08-22,7.77795
2020-08-23,6.5532
2020-08-24,15.31732
2020-08-25,15.03101
2020-08-26,15.39685
2020-08-27,15.8104
2020-08-28,17.4646
2020-08-29,7.74614
2020-08-30,7.76204
2020-08-31,19.42102
2020-09-01,19.02338
2020-09-02,17.01924
2020-09-03,17.14649
2020-09-04,14.84014
2020-09-05,7.6507
2020-09-06,7.53936
2020-09-07,17.79863
2020-09-08,16.54207
2020-09-09,16.04898
2020-09-10,17.01924
2020-09-11,14.98329
2020-09-12,8.04835
2020-09-13,8.27103
2020-09-14,17.40098
2020-09-15,16.00127
2020-09-16,19.18243
2020-09-17,15.31732
2020-09-18,13.75854
2020-09-19,8.76411
2020-09-20,8.01654
2020-09-21,17.08286
2020-09-22,14.14028
2020-09-23,19.13472
2020-09-24,15.03101
2020-09-25,15.33322
2020-09-26,7.52346
2020-09-27,7.25306
2020-09-28,15.96946
2020-09-29,13.39271
2020-09-30,6.91903
2020-10-01,6.98266
2020-10-02,7.094
2020-10-03,7.30077
2020-10-04,8.60505
2020-10-05,19.61189
2020-10-06,16.27167
2020-10-07,16.43073
2020-10-08,15.69906
2020-10-09,12.86782
2020-10-10,8.87545
2020-10-11,11.00683
2020-10-12,28.58278
2020-10-13,14.90376
2020-10-14,16.76475
2020-10-15,15.60362
2020-10-16,17.30555
2020-10-17,8.70049
2020-10-18,8.90726
2020-10-19,17.35326
2020-10-20,19.73914
2020-10-21,15.50819
2020-10-22,16.73294
2020-10-23,17.14649
2020-10-24,7.93701
2020-10-25,7.69842
2020-10-26,24.82901
2020-10-27,17.13058
2020-10-28,16.65341
2020-10-29,16.41482
2020-10-30,14.85605
2020-10-31,8.60505
2020-11-01,8.15969
2020-11-02,17.95769
2020-11-03,17.32145
2020-11-04,15.84221
2020-11-05,15.54
2020-11-06,13.44043
2020-11-07,7.14172
2020-11-08,7.53936
2020-11-09,15.8263
2020-11-10,17.81453
2020-11-11,18.57801
2020-11-12,15.63543
2020-11-13,14.66518
2020-11-14,8.00063
2020-11-15,7.73023
2020-11-16,19.26196
2020-11-17,17.27373
2020-11-18,16.38301
2020-11-19,14.87195
2020-11-20,15.8263
2020-11-21,8.54143
2020-11-22,7.98473
2020-11-23,17.06696
2020-11-24,16.17623
2020-11-25,17.68729
2020-11-26,16.12851
2020-11-27,14.95148
2020-11-28,8.55734
2020-11-29,7.71433
2020-11-30,20.08907
2020-12-01,17.56004
2020-12-02,16.25576
2020-12-03,16.46254
2020-12-04,17.28964
2020-12-05,8.78002
2020-12-06,8.95498
2020-12-07,18.08493
2020-12-08,16.93971
2020-12-09,17.81453
2020-12-10,17.41689
2020-12-11,15.85811
2020-12-12,8.28694
2020-12-13,8.43009
2020-12-14,17.4646
2020-12-15,18.92794
2020-12-16,18.64164
2020-12-17,18.11674
2020-12-18,27.19898
2020-12-19,9.33672
2020-12-20,8.79592
2020-12-21,20.7253
2020-12-22,19.78686
2020-12-23,18.80069
2020-12-24,20.15269
2020-12-25,8.60505
2020-12-26,7.98473
2020-12-27,9.0027
2020-12-28,25.56068
2020-12-29,29.93478
2020-12-30,20.74121
2020-12-31,19.24606
2021-01-01,9.40034
2021-01-02,8.41418
2021-01-03,9.67074
2021-01-04,30.92094
2021-01-05,20.13679
2021-01-06,19.11881
2021-01-07,21.95005
2021-01-08,22.20454
2021-01-09,11.22952
2021-01-10,9.44806
2021-01-11,23.03165
2021-01-12,19.61189
2021-01-13,20.51853
2021-01-14,21.8228
2021-01-15,21.32972
2021-01-16,9.8298
2021-01-17,10.56147
2021-01-18,22.44313
2021-01-19,23.28614
2021-01-20,22.47494
2021-01-21,21.50469
2021-01-22,18.91204
2021-01-23,9.09813
2021-01-24,8.33465
2021-01-25,23.52473
2021-01-26,20.66168
2021-01-27,18.68935
2021-01-28,19.30968
2021-01-29,17.52823
2021-01-30,8.30284
2021-01-31,9.12995
2021-02-01,21.61603
2021-02-02,20.1845
2021-02-03,19.67552
2021-02-04,23.06346
2021-02-05,20.59805
2021-02-06,10.02067
2021-02-07,8.04835
2021-02-08,19.00747
2021-02-09,16.14442
2021-02-10,16.39891
2021-02-11,7.53936
2021-02-12,6.63273
2021-02-13,6.93494
2021-02-14,8.35056
2021-02-15,21.40925
2021-02-16,18.59392
2021-02-17,18.40305
2021-02-18,17.9895
2021-02-19,17.78272
2021-02-20,8.25512
2021-02-21,9.89343
2021-02-22,19.85048
2021-02-23,16.6216
2021-02-24,16.04898
2021-02-25,16.9079
2021-02-26,17.06696
2021-02-27,8.03244
2021-02-28,8.15969
2021-03-01,8.87545
2021-03-02,18.32352
2021-03-03,16.17623
2021-03-04,17.05105
2021-03-05,16.0808
2021-03-06,7.55527
2021-03-07,7.79386
2021-03-08,20.61396
2021-03-09,22.76125
2021-03-10,18.5303
2021-03-11,17.36917
2021-03-12,16.52616
2021-03-13,8.52552
2021-03-14,8.66868
2021-03-15,19.19834
2021-03-16,17.19421
2021-03-17,15.25369
2021-03-18,15.47637
2021-03-19,14.63337
2021-03-20,7.3803
2021-03-21,7.61889
2021-03-22,16.81247
2021-03-23,16.04898
2021-03-24,15.22188
2021-03-25,16.55797
2021-03-26,15.93764
2021-03-27,7.58708
2021-03-28,7.45983
2021-03-29,18.45077
2021-03-30,15.96946
2021-03-31,17.30555
2021-04-01,15.92174
2021-04-02,22.53857
2021-04-03,8.62096
2021-04-04,7.77795
2021-04-05,16.86018
2021-04-06,15.92174
2021-04-07,14.84014
2021-04-08,15.42866
2021-04-09,15.04692
2021-04-10,7.66661
2021-04-11,13.48815
2021-04-12,20.24813
2021-04-13,16.79656
2021-04-14,17.86225
2021-04-15,17.40098
2021-04-16,14.90376
2021-04-17,8.95498
2021-04-18,9.41625
2021-04-19,17.4646
2021-04-20,17.41689
2021-04-21,17.32145
2021-04-22,18.62573
2021-04-23,19.69142
2021-04-24,7.76204
2021-04-25,8.22331
2021-04-26,18.56211
2021-04-27,15.54
2021-04-28,54.92285
2021-04-29,34.46794
2021-04-30,25.94242
2021-05-01,12.88372
2021-05-02,31.46174
2021-05-03,26.81724
2021-05-04,19.61189
2021-05-05,20.58215
2021-05-06,24.94035
2021-05-07,19.24606
2021-05-08,9.47987
2021-05-09,11.59535
2021-05-10,23.93828
2021-05-11,21.34563
2021-05-12,18.14856
2021-05-13,16.66931
2021-05-14,16.41482
2021-05-15,7.80976
2021-05-16,9.03451
2021-05-17,17.95769
2021-05-18,15.03101
2021-05-19,9.44806
2021-05-20,34.42023
2021-05-21,17.86225
2021-05-22,7.79386
2021-05-23,8.68458
2021-05-24,18.49848
2021-05-25,18.30761
2021-05-26,17.22602
2021-05-27,18.84841
2021-05-28,17.70319
2021-05-29,8.36647
2021-05-30,8.81183
2021-05-31,18.76888
2021-06-01,15.69906
2021-06-02,16.31938
2021-06-03,14.188
2021-06-04,14.9992
2021-06-05,7.66661
2021-06-06,8.50962
2021-06-07,16.92381
2021-06-08,16.82837
2021-06-09,14.84014
2021-06-10,15.77859
2021-06-11,100.0
2021-06-12,33.21138
2021-06-13,14.188
2021-06-14,23.986
2021-06-15,18.73707
2021-06-16,19.3574
2021-06-17,18.35533
2021-06-18,16.43073
2021-06-19,7.39621
2021-06-20,8.06425
2021-06-21,19.99363
2021-06-22,14.69699
2021-06-23,14.88786
2021-06-24,15.63543
2021-06-25,15.42866
2021-06-26,6.63273
2021-06-27,7.17353
2021-06-28,18.41895
2021-06-29,19.40512
2021-06-30,19.69142
2021-07-01,16.12851
2021-07-02,14.4425
2021-07-03,8.00063
2021-07-04,8.27103
2021-07-05,16.68522
2021-07-06,15.2696
2021-07-07,15.8263
2021-07-08,15.74677
2021-07-09,15.8263
2021-07-10,8.7323
2021-07-11,7.60299
2021-07-12,17.05105
2021-07-13,15.41275
2021-07-14,14.26753
