date,주말아르바이트
2020-03-20,89.01098
2020-03-21,86.81318
2020-03-22,75.82417
2020-03-23,87.91208
2020-03-24,72.52747
2020-03-25,87.91208
2020-03-26,74.72527
2020-03-27,69.23076
2020-03-28,65.93406
2020-03-29,73.62637
2020-03-30,65.93406
2020-03-31,80.21978
2020-04-01,65.93406
2020-04-02,59.34065
2020-04-03,67.03296
2020-04-04,58.24175
2020-04-05,69.23076
2020-04-06,65.93406
2020-04-07,57.14285
2020-04-08,48.35164
2020-04-09,56.04395
2020-04-10,67.03296
2020-04-11,70.32967
2020-04-12,78.02197
2020-04-13,58.24175
2020-04-14,62.63736
2020-04-15,40.65934
2020-04-16,60.43956
2020-04-17,61.53846
2020-04-18,51.64835
2020-04-19,60.43956
2020-04-20,37.36263
2020-04-21,73.62637
2020-04-22,74.72527
2020-04-23,63.73626
2020-04-24,50.54945
2020-04-25,69.23076
2020-04-26,62.63736
2020-04-27,62.63736
2020-04-28,63.73626
2020-04-29,52.74725
2020-04-30,19.78021
2020-05-01,51.64835
2020-05-02,39.56043
2020-05-03,54.94505
2020-05-04,63.73626
2020-05-05,56.04395
2020-05-06,70.32967
2020-05-07,62.63736
2020-05-08,60.43956
2020-05-09,42.85714
2020-05-10,57.14285
2020-05-11,58.24175
2020-05-12,47.25274
2020-05-13,67.03296
2020-05-14,52.74725
2020-05-15,61.53846
2020-05-16,43.95604
2020-05-17,65.93406
2020-05-18,58.24175
2020-05-19,60.43956
2020-05-20,69.23076
2020-05-21,53.84615
2020-05-22,59.34065
2020-05-23,49.45054
2020-05-24,59.34065
2020-05-25,86.81318
2020-05-26,46.15384
2020-05-27,67.03296
2020-05-28,61.53846
2020-05-29,40.65934
2020-05-30,50.54945
2020-05-31,24.17582
2020-06-01,58.24175
2020-06-02,47.25274
2020-06-03,29.67032
2020-06-04,50.54945
2020-06-05,36.26373
2020-06-06,30.76923
2020-06-07,51.64835
2020-06-08,74.72527
2020-06-09,53.84615
2020-06-10,59.34065
2020-06-11,64.83516
2020-06-12,51.64835
2020-06-13,46.15384
2020-06-14,51.64835
2020-06-15,80.21978
2020-06-16,60.43956
