date,현대건설우
2020-03-20,0.74227
2020-03-21,0.078
2020-03-22,0.10283
2020-03-23,0.70681
2020-03-24,0.8711
2020-03-25,0.96448
2020-03-26,0.95029
2020-03-27,0.76827
2020-03-28,0.11346
2020-03-29,0.07209
2020-03-30,0.64416
2020-03-31,1.43844
2020-04-01,0.91956
2020-04-02,0.79427
2020-04-03,0.69854
2020-04-04,0.08037
2020-04-05,0.08037
2020-04-06,0.74109
2020-04-07,0.80846
2020-04-08,0.67608
2020-04-09,0.82855
2020-04-10,0.78009
2020-04-11,0.12765
2020-04-12,0.10401
2020-04-13,0.58507
2020-04-14,0.8841
2020-04-15,0.10519
2020-04-16,1.64411
2020-04-17,1.3167
2020-04-18,0.14419
2020-04-19,0.17256
2020-04-20,1.57437
2020-04-21,1.75994
2020-04-22,1.16305
2020-04-23,1.24578
2020-04-24,0.94438
2020-04-25,0.1241
2020-04-26,0.1111
2020-04-27,0.83564
2020-04-28,0.79546
2020-04-29,0.66071
2020-04-30,0.0851
2020-05-01,0.10401
2020-05-02,0.05909
2020-05-03,0.07919
2020-05-04,0.54724
2020-05-05,0.09928
2020-05-06,0.62998
2020-05-07,0.66544
2020-05-08,0.49169
2020-05-09,0.06737
2020-05-10,0.04491
2020-05-11,0.48815
2020-05-12,0.40777
2020-05-13,0.40895
2020-05-14,0.38886
2020-05-15,0.40895
2020-05-16,0.05318
2020-05-17,0.04964
2020-05-18,0.4255
2020-05-19,0.4846
2020-05-20,0.35695
2020-05-21,0.38886
2020-05-22,0.34513
2020-05-23,0.04255
2020-05-24,0.02718
2020-05-25,0.36522
2020-05-26,0.56379
2020-05-27,0.53306
2020-05-28,0.38532
2020-05-29,0.35931
2020-05-30,0.04373
2020-05-31,0.02127
2020-06-01,0.37113
2020-06-02,0.42077
2020-06-03,0.6158
2020-06-04,4.00921
2020-06-05,1.82849
2020-06-06,0.33213
2020-06-07,0.20684
2020-06-08,1.80722
2020-06-09,2.00815
2020-06-10,1.35689
2020-06-11,1.34389
2020-06-12,1.01057
2020-06-13,0.1832
2020-06-14,0.20329
2020-06-15,1.18078
2020-06-16,1.46799
2020-06-17,1.61456
2020-06-18,3.87565
2020-06-19,8.05862
2020-06-20,2.19017
2020-06-21,28.93564
2020-06-22,100.0
2020-06-23,29.37533
2020-06-24,28.06217
2020-06-25,18.19396
2020-06-26,22.63814
2020-06-27,3.68299
2020-06-28,3.11447
2020-06-29,17.3784
2020-06-30,12.61863
2020-07-01,9.16848
2020-07-02,8.13663
2020-07-03,7.48182
2020-07-04,1.47981
2020-07-05,1.19023
2020-07-06,11.3953
2020-07-07,11.14
2020-07-08,19.82743
2020-07-09,20.63116
2020-07-10,10.61875
2020-07-11,1.61456
2020-07-12,1.41599
2020-07-13,8.05626
2020-07-14,7.34826
2020-07-15,5.83062
2020-07-16,5.06234
2020-07-17,5.68406
2020-07-18,1.11577
2020-07-19,1.12286
2020-07-20,7.70285
2020-07-21,6.44406
2020-07-22,7.04804
2020-07-23,6.69582
2020-07-24,5.96182
2020-07-25,0.97748
2020-07-26,0.85574
2020-07-27,4.43945
2020-07-28,7.77022
2020-07-29,4.19005
2020-07-30,3.35086
2020-07-31,3.31422
2020-08-01,0.5827
2020-08-02,0.47751
2020-08-03,2.99509
2020-08-04,9.10584
2020-08-05,5.45357
2020-08-06,3.8591
2020-08-07,3.34377
2020-08-08,0.68553
2020-08-09,0.60043
2020-08-10,3.1452
2020-08-11,4.17233
2020-08-12,2.6535
2020-08-13,2.31428
2020-08-14,1.94905
2020-08-15,0.29312
2020-08-16,0.22575
2020-08-17,0.50115
2020-08-18,2.0767
2020-08-19,1.93369
2020-08-20,1.9656
2020-08-21,2.47739
2020-08-22,0.29194
2020-08-23,0.26948
2020-08-24,1.9786
2020-08-25,3.96075
2020-08-26,2.97736
2020-08-27,2.1949
2020-08-28,1.98688
2020-08-29,0.29903
2020-08-30,0.30376
