date,신용점수등급
2020-03-20,1.31861
2020-03-21,0.52131
2020-03-22,0.49064
2020-03-23,0.85863
2020-03-24,0.39865
2020-03-25,0.82796
2020-03-26,0.6133
2020-03-27,0.98129
2020-03-28,0.45998
2020-03-29,0.39865
2020-03-30,1.01195
2020-03-31,0.58264
2020-04-01,1.13462
2020-04-02,0.98129
2020-04-03,0.95062
2020-04-04,0.39865
2020-04-05,0.30665
2020-04-06,1.65593
2020-04-07,1.19595
2020-04-08,1.19595
2020-04-09,1.16528
2020-04-10,0.76663
2020-04-11,0.55197
2020-04-12,0.45998
2020-04-13,1.07329
2020-04-14,0.91996
2020-04-15,0.98129
2020-04-16,1.01195
2020-04-17,0.64397
2020-04-18,0.18399
2020-04-19,0.15332
2020-04-20,0.73597
2020-04-21,0.98129
2020-04-22,1.07329
2020-04-23,1.28794
2020-04-24,0.91996
2020-04-25,0.21465
2020-04-26,0.58264
2020-04-27,0.88929
2020-04-28,1.31861
2020-04-29,0.7973
2020-04-30,0.42931
2020-05-01,0.27598
2020-05-02,0.15332
2020-05-03,0.30665
2020-05-04,1.25728
2020-05-05,0.52131
2020-05-06,1.07329
2020-05-07,0.67463
2020-05-08,0.45998
2020-05-09,0.39865
2020-05-10,0.39865
2020-05-11,0.49064
2020-05-12,0.55197
2020-05-13,0.88929
2020-05-14,1.13462
2020-05-15,2.05458
2020-05-16,1.07329
2020-05-17,0.55197
2020-05-18,1.07329
2020-05-19,1.22661
2020-05-20,1.19595
2020-05-21,1.10395
2020-05-22,0.91996
2020-05-23,0.58264
2020-05-25,1.31861
2020-05-26,1.28794
2020-05-27,0.7973
2020-05-28,1.37994
2020-05-29,0.91996
2020-05-30,0.7053
2020-05-31,0.39865
2020-06-01,0.76663
2020-06-02,1.13462
2020-06-03,1.07329
2020-06-04,0.91996
2020-06-05,1.07329
2020-06-06,0.6133
2020-06-07,0.49064
2020-06-08,1.31861
2020-06-09,1.31861
2020-06-10,1.10395
2020-06-11,1.19595
2020-06-12,0.7973
2020-06-13,0.36798
2020-06-14,0.30665
2020-06-15,1.68659
2020-06-16,0.91996
2020-06-17,1.16528
2020-06-18,1.16528
2020-06-19,0.73597
2020-06-20,0.42931
2020-06-21,0.52131
2020-06-22,0.91996
2020-06-23,0.67463
2020-06-24,1.10395
2020-06-25,1.31861
2020-06-26,1.07329
2020-06-27,0.55197
2020-06-28,0.36798
2020-06-29,1.07329
2020-06-30,0.76663
2020-07-01,0.45998
2020-07-02,0.82796
2020-07-03,0.45998
2020-07-04,0.30665
2020-07-05,0.30665
2020-07-06,0.7053
2020-07-07,0.55197
2020-07-08,0.91996
2020-07-09,0.7053
2020-07-10,0.7053
2020-07-11,0.49064
2020-07-12,0.39865
2020-07-13,0.91996
2020-07-14,0.95062
2020-07-15,1.34927
2020-07-16,0.98129
2020-07-17,0.76663
2020-07-18,0.33731
2020-07-19,0.42931
2020-07-20,1.04262
2020-07-21,1.5946
2020-07-22,0.91996
2020-07-23,0.6133
2020-07-24,0.58264
2020-07-25,0.21465
2020-07-26,0.18399
2020-07-27,0.45998
2020-07-28,0.73597
2020-07-29,0.7053
2020-07-30,0.52131
