date,자동차보험
2020-11-08,41.98548
2020-11-09,79.24362
2020-11-10,76.82497
2020-11-11,71.29507
2020-11-12,73.32893
2020-11-13,62.92875
2020-11-14,38.26956
2020-11-15,39.50087
2020-11-16,78.10026
2020-11-17,74.59322
2020-11-18,70.32761
2020-11-19,66.27088
2020-11-20,63.45646
2020-11-21,35.11433
2020-11-22,39.67678
2020-11-23,74.24142
2020-11-24,69.58003
2020-11-25,68.93139
2020-11-26,64.8087
2020-11-27,62.73087
2020-11-28,37.56596
2020-11-29,40.38038
2020-11-30,75.83553
2020-12-01,78.52902
2020-12-02,75.39577
2020-12-03,73.81266
2020-12-04,67.07343
2020-12-05,41.9635
2020-12-06,45.31662
2020-12-07,81.20052
2020-12-08,77.78144
2020-12-09,79.00175
2020-12-10,77.15479
2020-12-11,71.87774
2020-12-12,44.17326
2020-12-13,47.73526
2020-12-14,89.13808
2020-12-15,91.47977
2020-12-16,82.94854
2020-12-17,77.08883
2020-12-18,70.23966
2020-12-19,45.92128
2020-12-20,47.19656
2020-12-21,84.88346
2020-12-22,80.29903
2020-12-23,74.32937
2020-12-24,61.74142
2020-12-25,35.47713
2020-12-26,40.46833
2020-12-27,43.99736
2020-12-28,89.01715
2020-12-29,75.61565
2020-12-30,70.44854
2020-12-31,65.77616
2021-01-01,42.06244
2021-01-02,46.18513
2021-01-03,47.71328
2021-01-04,93.65655
2021-01-05,88.51143
2021-01-06,79.70536
2021-01-07,74.01055
2021-01-08,73.70272
2021-01-09,47.05364
2021-01-10,44.34916
2021-01-11,82.28891
2021-01-12,74.68117
2021-01-13,76.12137
2021-01-14,97.3065
2021-01-15,70.15171
2021-01-16,43.93139
2021-01-17,44.59102
2021-01-18,76.67106
2021-01-19,72.4934
2021-01-20,69.87686
2021-01-21,67.53518
2021-01-22,59.67458
2021-01-23,37.44503
2021-01-24,43.15083
2021-01-25,70.50351
2021-01-26,64.40193
2021-01-27,65.23746
2021-01-28,63.65435
2021-01-29,59.49868
2021-01-30,39.53386
2021-01-31,40.25945
2021-02-01,73.33992
2021-02-02,67.07343
2021-02-03,63.79727
2021-02-04,60.09234
2021-02-05,59.44371
2021-02-06,35.42216
2021-02-07,40.11653
2021-02-08,71.52594
2021-02-09,64.06112
2021-02-10,58.0255
2021-02-11,36.98328
2021-02-12,33.76209
2021-02-13,33.69613
2021-02-14,44.74494
2021-02-15,86.58751
2021-02-16,73.17502
2021-02-17,69.96481
2021-02-18,66.30386
2021-02-19,59.28979
2021-02-20,36.55452
2021-02-21,38.28056
2021-02-22,72.1416
2021-02-23,69.38214
2021-02-24,65.43535
2021-02-25,63.25857
2021-02-26,58.08047
2021-02-27,39.89665
2021-02-28,36.45558
2021-03-01,51.29727
2021-03-02,79.47449
2021-03-03,70.18469
2021-03-04,68.18381
2021-03-05,60.67502
2021-03-06,38.81926
2021-03-07,41.61169
2021-03-08,71.87774
2021-03-09,66.64467
2021-03-10,66.08399
2021-03-11,64.67678
2021-03-12,61.30167
2021-03-13,38.29155
2021-03-14,39.03913
2021-03-15,73.09806
2021-03-16,67.21635
2021-03-17,65.80914
2021-03-18,62.02726
2021-03-19,54.49648
2021-03-20,36.30167
2021-03-21,40.10554
2021-03-22,73.42788
2021-03-23,64.37994
2021-03-24,60.43315
2021-03-25,58.81706
2021-03-26,52.34168
2021-03-27,37.34608
2021-03-28,38.47845
2021-03-29,72.09762
2021-03-30,61.15875
2021-03-31,59.12489
2021-04-01,63.81926
2021-04-02,54.69437
2021-04-03,36.91732
2021-04-04,38.50043
2021-04-05,68.70052
2021-04-06,61.09278
2021-04-07,59.74054
2021-04-08,60.38918
2021-04-09,55.71679
2021-04-10,32.46481
2021-04-11,37.64291
2021-04-12,71.54793
2021-04-13,65.03957
2021-04-14,60.697
2021-04-15,57.80562
2021-04-16,53.63896
2021-04-17,34.9934
2021-04-18,33.36631
2021-04-19,65.96306
2021-04-20,59.44371
2021-04-21,59.16886
