date,중국주식
2020-03-20,37.73413
2020-03-21,14.62235
2020-03-22,13.80664
2020-03-23,36.97885
2020-03-24,33.29305
2020-03-25,34.53172
2020-03-26,35.8006
2020-03-27,35.55891
2020-03-28,16.76737
2020-03-29,11.63141
2020-03-30,28.61027
2020-03-31,28.30815
2020-04-01,26.43504
2020-04-02,27.22054
2020-04-03,23.23262
2020-04-04,10.0
2020-04-05,10.8157
2020-04-06,31.57099
2020-04-07,29.33534
2020-04-08,26.22356
2020-04-09,23.32326
2020-04-10,23.80664
2020-04-11,10.75528
2020-04-12,10.66465
2020-04-13,19.24471
2020-04-14,23.80664
2020-04-15,23.4441
2020-04-16,20.99697
2020-04-17,31.99395
2020-04-18,12.05438
2020-04-19,11.78247
2020-04-20,24.92447
2020-04-21,23.38368
2020-04-22,22.41691
2020-04-23,20.33232
2020-04-24,18.7009
2020-04-25,10.12084
2020-04-26,9.84894
2020-04-27,19.60725
2020-04-28,18.45921
2020-04-29,20.48338
2020-04-30,15.5287
2020-05-01,10.8157
2020-05-02,7.31117
2020-05-03,7.55287
2020-05-04,18.27794
2020-05-05,13.50453
2020-05-06,20.57401
2020-05-07,18.27794
2020-05-08,18.48942
2020-05-09,9.60725
2020-05-10,7.97583
2020-05-11,17.88519
2020-05-12,18.82175
2020-05-13,20.42296
2020-05-14,18.67069
2020-05-15,18.21752
2020-05-16,7.43202
2020-05-17,7.34138
2020-05-18,17.97583
2020-05-19,19.30513
2020-05-20,18.58006
2020-05-21,21.96374
2020-05-22,25.07552
2020-05-23,11.17824
2020-05-24,8.24773
2020-05-25,21.78247
2020-05-26,22.23564
2020-05-27,20.78549
2020-05-28,22.9003
2020-05-29,20.66465
2020-05-30,8.91238
2020-05-31,6.67673
2020-06-01,21.38972
2020-06-02,23.41389
2020-06-03,25.37764
2020-06-04,23.08157
2020-06-05,22.32628
2020-06-06,8.36858
2020-06-07,5.64954
2020-06-08,21.81268
2020-06-09,21.54078
2020-06-10,21.48036
2020-06-11,21.6012
2020-06-12,19.24471
2020-06-13,6.43504
2020-06-14,5.89123
2020-06-15,22.9003
2020-06-16,21.66163
2020-06-17,20.48338
2020-06-18,18.18731
2020-06-19,19.54682
2020-06-20,5.98187
2020-06-21,6.73716
2020-06-22,20.24169
2020-06-23,22.17522
2020-06-24,22.77945
2020-06-25,26.46525
2020-06-26,20.18126
2020-06-27,9.30513
2020-06-28,6.49546
2020-06-29,19.33534
2020-06-30,25.70996
2020-07-01,24.16918
2020-07-02,29.66767
2020-07-03,33.62537
2020-07-04,15.55891
2020-07-05,12.83987
2020-07-06,71.20845
2020-07-07,76.76737
2020-07-08,62.83987
2020-07-09,71.11782
2020-07-10,55.16616
2020-07-11,21.72205
2020-07-12,21.38972
2020-07-13,59.39577
2020-07-14,60.0
2020-07-15,56.37462
2020-07-16,70.63444
2020-07-17,49.72809
2020-07-18,14.38066
2020-07-19,13.50453
2020-07-20,49.00302
2020-07-21,42.32628
2020-07-22,45.287
2020-07-23,42.59818
2020-07-24,42.87009
2020-07-25,15.58912
2020-07-26,12.23564
2020-07-27,41.38972
2020-07-28,39.96978
2020-07-29,34.77341
2020-07-30,33.11178
2020-07-31,29.7583
2020-08-01,11.20845
2020-08-02,9.81873
2020-08-03,34.41087
2020-08-04,35.77039
2020-08-05,39.06344
2020-08-06,38.85196
2020-08-07,38.03625
2020-08-08,12.44712
2020-08-09,11.78247
2020-08-10,37.58308
2020-08-11,38.79154
2020-08-12,36.52567
2020-08-13,34.2296
2020-08-14,29.84894
2020-08-15,9.69788
2020-08-16,9.00302
2020-08-17,30.93655
2020-08-18,33.23262
2020-08-19,31.23867
2020-08-20,27.61329
2020-08-21,23.50453
2020-08-22,11.6012
2020-08-23,9.78851
2020-08-24,30.0
2020-08-25,30.5438
2020-08-26,33.80664
2020-08-27,32.41691
2020-08-28,29.45619
2020-08-29,13.26283
2020-08-30,14.07854
2020-08-31,35.07552
2020-09-01,33.47432
2020-09-02,34.29003
2020-09-03,31.99395
2020-09-04,30.84592
2020-09-05,11.51057
2020-09-06,10.96676
2020-09-07,31.81268
2020-09-08,31.08761
2020-09-09,34.38066
2020-09-10,31.48036
2020-09-11,25.49848
2020-09-12,10.84592
2020-09-13,9.39577
2020-09-14,25.89123
2020-09-15,28.51963
2020-09-16,27.61329
2020-09-17,26.91842
2020-09-18,24.2296
2020-09-19,10.57401
2020-09-20,9.69788
2020-09-21,23.26283
2020-09-22,24.2296
2020-09-23,26.64652
2020-09-24,27.3716
2020-09-25,19.57703
