date,중소기업청년지원금
2020-11-07,6.47965
2020-11-08,6.47965
2020-11-09,13.59146
2020-11-10,13.63097
2020-11-11,13.51244
2020-11-12,16.0806
2020-11-13,11.49743
2020-11-14,6.71671
2020-11-15,8.69221
2020-11-16,15.36941
2020-11-17,16.31766
2020-11-18,14.10509
2020-11-19,11.26037
2020-11-20,11.65547
2020-11-21,8.2576
2020-11-22,8.6527
2020-11-23,16.59423
2020-11-24,17.74002
2020-11-25,16.71276
2020-11-26,16.94982
2020-11-27,12.9593
2020-11-28,7.8625
2020-11-29,9.36388
2020-11-30,15.68549
2020-12-01,16.35717
2020-12-02,15.84354
2020-12-03,14.42117
2020-12-04,12.01106
2020-12-05,8.06005
2020-12-06,8.85025
2020-12-07,16.0806
2020-12-08,13.63097
2020-12-09,14.65823
2020-12-10,17.54247
2020-12-11,14.65823
2020-12-12,8.81074
2020-12-13,10.70723
2020-12-14,16.19913
2020-12-15,20.62425
2020-12-16,16.83129
2020-12-17,16.0806
2020-12-18,14.81627
2020-12-19,8.45515
2020-12-20,8.96878
2020-12-21,16.91031
2020-12-22,16.75227
2020-12-23,18.0561
2020-12-24,14.34215
2020-12-25,7.66495
2020-12-26,9.56143
2020-12-27,9.71947
2020-12-28,19.35993
2020-12-29,19.83405
2020-12-30,16.91031
2020-12-31,14.77676
2021-01-01,7.50691
2021-01-02,7.23034
2021-01-03,9.71947
2021-01-04,17.58198
2021-01-05,16.27815
2021-01-06,18.8463
2021-01-07,14.89529
2021-01-08,13.78901
2021-01-09,7.62544
2021-01-10,7.58593
2021-01-11,17.93757
2021-01-12,17.81904
2021-01-13,17.22639
2021-01-14,16.67325
2021-01-15,12.88028
2021-01-16,6.16357
2021-01-17,7.26985
2021-01-18,14.97431
2021-01-19,13.70999
2021-01-20,14.1446
2021-01-21,12.48518
2021-01-22,10.31212
2021-01-23,6.00553
2021-01-24,5.68945
2021-01-25,12.64322
2021-01-26,11.02331
2021-01-27,10.19359
2021-01-28,8.33662
2021-01-29,7.0723
2021-01-30,4.58316
2021-01-31,4.82022
2021-02-01,12.5642
2021-02-02,13.27538
2021-02-03,12.88028
2021-02-04,11.3789
2021-02-05,10.11457
2021-02-06,6.00553
2021-02-07,6.12406
2021-02-08,11.06282
2021-02-09,12.1691
2021-02-10,11.14184
2021-02-11,4.3461
2021-02-12,6.04504
2021-02-13,5.41288
2021-02-14,6.16357
2021-02-15,13.23587
2021-02-16,17.89806
2021-02-17,16.75227
2021-02-18,13.55195
2021-02-19,14.5397
2021-02-20,6.83524
2021-02-21,8.73172
