date,다이나믹디자인주가
2021-08-10,0.85158
2021-08-11,0.83637
2021-08-12,0.38017
2021-08-13,0.28892
2021-08-16,0.09124
2021-08-17,0.34975
2021-08-18,0.85158
2021-08-19,0.48661
2021-08-20,0.42579
2021-08-23,0.76034
2021-08-24,0.71472
2021-08-25,0.72992
2021-08-26,0.72992
2021-08-27,0.74513
2021-08-28,0.07603
2021-08-30,0.56265
2021-08-31,0.6843
2021-09-01,0.83637
2021-09-02,0.95802
2021-09-03,0.80596
2021-09-04,0.13686
2021-09-05,0.09124
2021-09-06,0.83637
2021-09-07,0.97323
2021-09-08,0.59306
2021-09-09,0.41058
2021-09-10,0.44099
2021-09-11,0.15206
2021-09-13,0.57785
2021-09-14,0.53223
2021-09-15,0.42579
2021-09-16,0.53223
2021-09-17,0.51703
2021-09-18,0.09124
2021-09-19,0.07603
2021-09-22,0.10644
2021-09-23,0.4562
2021-09-24,0.47141
2021-09-27,0.36496
2021-09-28,0.47141
2021-09-29,0.62347
2021-09-30,0.4562
2021-10-01,0.62347
2021-10-02,0.07603
2021-10-03,0.16727
2021-10-04,0.16727
2021-10-05,0.54744
2021-10-06,0.53223
2021-10-07,0.51703
2021-10-08,0.4562
2021-10-10,0.10644
2021-10-11,0.15206
2021-10-12,0.21289
2021-10-13,0.38017
2021-10-14,0.4562
2021-10-15,0.28892
2021-10-16,0.07603
2021-10-18,0.28892
2021-10-19,0.34975
2021-10-20,0.42579
2021-10-21,0.47141
2021-10-22,0.31934
2021-10-25,0.21289
2021-10-26,0.53223
2021-10-27,0.38017
2021-10-28,0.30413
2021-10-29,0.19768
2021-11-01,0.50182
2021-11-02,0.44099
2021-11-03,0.36496
2021-11-04,0.51703
2021-11-05,0.42579
2021-11-06,0.10644
2021-11-08,0.42579
2021-11-09,0.51703
2021-11-10,0.47141
2021-11-11,0.74513
2021-11-12,0.51703
2021-11-14,0.10644
2021-11-15,0.56265
2021-11-16,0.41058
2021-11-17,0.39537
2021-11-18,0.51703
2021-11-19,0.65389
2021-11-22,0.59306
2021-11-23,0.65389
2021-11-24,1.18613
2021-11-25,1.17092
2021-11-26,1.06447
2021-11-27,0.12165
2021-11-28,0.10644
2021-11-29,0.71472
2021-11-30,0.53223
2021-12-01,0.82116
2021-12-02,0.62347
2021-12-03,0.44099
2021-12-04,0.07603
2021-12-06,0.63868
2021-12-07,1.42944
2021-12-08,1.1253
2021-12-09,1.17092
2021-12-10,1.70316
2021-12-11,0.79075
2021-12-12,2.4635
2021-12-13,19.6472
2021-12-14,15.75425
2021-12-15,10.34063
2021-12-16,6.14355
2021-12-17,3.84732
2021-12-18,0.53223
2021-12-19,0.50182
2021-12-20,3.04136
2021-12-21,2.64598
2021-12-22,2.47871
2021-12-23,1.90085
2021-12-24,1.76399
2021-12-25,0.25851
2021-12-26,0.2433
2021-12-27,1.41423
2021-12-28,1.94647
2021-12-29,1.36861
2021-12-30,1.15571
2021-12-31,0.34975
2022-01-01,0.13686
2022-01-02,0.2281
2022-01-03,0.9124
2022-01-04,1.09489
2022-01-05,1.11009
2022-01-06,0.74513
2022-01-07,1.09489
2022-01-08,0.34975
2022-01-09,0.21289
2022-01-10,0.98844
2022-01-11,1.41423
2022-01-12,1.18613
2022-01-13,1.09489
2022-01-14,0.79075
2022-01-15,0.10644
2022-01-17,1.03406
2022-01-18,1.04927
2022-01-19,1.33819
2022-01-20,0.88199
2022-01-21,0.92761
2022-01-22,0.15206
2022-01-23,0.13686
2022-01-24,0.83637
2022-01-25,0.80596
2022-01-26,1.17092
2022-01-27,0.86678
2022-01-28,0.92761
2022-01-29,0.09124
2022-01-30,0.07603
2022-02-03,0.85158
2022-02-04,0.77554
2022-02-05,0.09124
2022-02-07,0.79075
2022-02-08,0.83637
2022-02-09,0.83637
2022-02-10,0.80596
2022-02-11,0.57785
2022-02-14,0.77554
2022-02-15,1.04927
2022-02-16,0.83637
2022-02-17,0.50182
2022-02-18,0.53223
2022-02-19,0.10644
2022-02-20,0.09124
2022-02-21,0.65389
2022-02-22,0.39537
2022-02-23,0.65389
2022-02-24,1.74878
2022-02-25,6.00669
2022-02-26,1.49026
2022-02-27,1.09489
2022-02-28,3.28467
2022-03-01,1.24695
2022-03-02,1.91605
2022-03-03,1.32299
2022-03-04,1.00364
2022-03-05,0.10644
2022-03-06,0.09124
2022-03-07,0.74513
2022-03-08,0.94282
